pelvis_qw,pelvis_qx,pelvis_qy,pelvis_qz,left_hip_roll_link_qw,left_hip_roll_link_qx,left_hip_roll_link_qy,left_hip_roll_link_qz,left_knee_link_qw,left_knee_link_qx,left_knee_link_qy,left_knee_link_qz,left_ankle_roll_link_qw,left_ankle_roll_link_qx,left_ankle_roll_link_qy,left_ankle_roll_link_qz,right_hip_roll_link_qw,right_hip_roll_link_qx,right_hip_roll_link_qy,right_hip_roll_link_qz,right_knee_link_qw,right_knee_link_qx,right_knee_link_qy,right_knee_link_qz,right_ankle_roll_link_qw,right_ankle_roll_link_qx,right_ankle_roll_link_qy,right_ankle_roll_link_qz,torso_link_qw,torso_link_qx,torso_link_qy,torso_link_qz,left_shoulder_roll_link_qw,left_shoulder_roll_link_qx,left_shoulder_roll_link_qy,left_shoulder_roll_link_qz,left_elbow_link_qw,left_elbow_link_qx,left_elbow_link_qy,left_elbow_link_qz,left_wrist_yaw_link_qw,left_wrist_yaw_link_qx,left_wrist_yaw_link_qy,left_wrist_yaw_link_qz,right_shoulder_roll_link_qw,right_shoulder_roll_link_qx,right_shoulder_roll_link_qy,right_shoulder_roll_link_qz,right_elbow_link_qw,right_elbow_link_qx,right_elbow_link_qy,right_elbow_link_qz,right_wrist_yaw_link_qw,right_wrist_yaw_link_qx,right_wrist_yaw_link_qy,right_wrist_yaw_link_qz
0.670661,0.110950,0.097150,-0.726956,0.626928,-0.284407,-0.378444,-0.618752,0.709906,0.215675,0.095708,-0.663595,0.715437,-0.021611,0.013230,-0.698217,0.569653,-0.387963,-0.289501,-0.664206,0.626393,0.128960,0.185661,-0.746010,0.652054,0.017286,-0.008338,-0.757930,0.605473,0.273247,0.289516,-0.689144,0.595130,0.078951,0.012973,-0.799637,0.489638,0.168794,0.075076,-0.852131,0.589496,0.226965,0.050235,-0.773600,0.737466,0.007642,0.048694,-0.673583,0.831324,0.058512,0.112953,-0.541035,0.732021,-0.033911,0.198621,-0.650804
0.670476,0.111248,0.097370,-0.727052,0.626850,-0.284362,-0.378500,-0.618818,0.709891,0.215851,0.095886,-0.663527,0.715444,-0.021530,0.013099,-0.698215,0.569544,-0.387981,-0.289634,-0.664231,0.626383,0.129076,0.185792,-0.745966,0.652073,0.017182,-0.008026,-0.757919,0.605015,0.273344,0.289938,-0.689330,0.594772,0.079415,0.013079,-0.799855,0.489713,0.168716,0.074900,-0.852119,0.589716,0.226676,0.050174,-0.773522,0.737277,0.008052,0.048457,-0.673803,0.831335,0.059002,0.112820,-0.540992,0.731547,-0.034299,0.199208,-0.651136
0.670343,0.111551,0.097517,-0.727109,0.626764,-0.284288,-0.378560,-0.618901,0.709888,0.216032,0.096099,-0.663441,0.715469,-0.021508,0.013058,-0.698191,0.569405,-0.388010,-0.289765,-0.664276,0.626335,0.129264,0.185985,-0.745926,0.652076,0.017129,-0.007831,-0.757920,0.604737,0.273504,0.290220,-0.689392,0.594550,0.079786,0.013113,-0.799983,0.489842,0.168632,0.074703,-0.852078,0.589709,0.226507,0.049943,-0.773591,0.737175,0.008463,0.048245,-0.673924,0.831387,0.059479,0.112700,-0.540886,0.731202,-0.034453,0.199345,-0.651474
0.670316,0.111863,0.097515,-0.727086,0.626666,-0.284156,-0.378628,-0.619020,0.709908,0.216222,0.096378,-0.663317,0.715530,-0.021602,0.013198,-0.698124,0.569208,-0.388060,-0.289893,-0.664360,0.626211,0.129596,0.186301,-0.745893,0.652043,0.017179,-0.007870,-0.757946,0.604818,0.273792,0.290224,-0.689205,0.594601,0.079975,0.013005,-0.799928,0.490079,0.168539,0.074465,-0.851982,0.589250,0.226581,0.049372,-0.773956,0.737248,0.008877,0.048083,-0.673851,0.831519,0.059929,0.112605,-0.540653,0.731110,-0.034132,0.198585,-0.651826
0.670346,0.112158,0.097358,-0.727034,0.626509,-0.284040,-0.378697,-0.619190,0.709890,0.216471,0.096738,-0.663203,0.715561,-0.021626,0.013221,-0.698091,0.568930,-0.388143,-0.290038,-0.664486,0.626044,0.129935,0.186693,-0.745876,0.651997,0.017131,-0.007876,-0.757987,0.604874,0.274091,0.290061,-0.689105,0.594572,0.080125,0.012783,-0.799938,0.490191,0.168598,0.074198,-0.851928,0.588657,0.226813,0.048787,-0.774376,0.737261,0.009203,0.047715,-0.673859,0.831639,0.060294,0.112362,-0.540477,0.731395,-0.033696,0.198281,-0.651621
0.670403,0.112444,0.097123,-0.726968,0.626322,-0.283932,-0.378766,-0.619386,0.709853,0.216748,0.097138,-0.663093,0.715577,-0.021615,0.013187,-0.698075,0.568611,-0.388243,-0.290192,-0.664634,0.625856,0.130280,0.187123,-0.745866,0.651944,0.017035,-0.007866,-0.758035,0.604918,0.274396,0.289816,-0.689048,0.594502,0.080255,0.012505,-0.799981,0.490241,0.168734,0.073917,-0.851897,0.587997,0.227125,0.048197,-0.774823,0.737243,0.009484,0.047243,-0.673907,0.831755,0.060616,0.112045,-0.540329,0.731868,-0.033204,0.198206,-0.651138
0.670132,0.112429,0.096980,-0.727240,0.626183,-0.283785,-0.378830,-0.619554,0.709793,0.217224,0.097593,-0.662935,0.715586,-0.021605,0.013243,-0.698065,0.568373,-0.388299,-0.290368,-0.664727,0.625723,0.130673,0.187514,-0.745811,0.651904,0.017034,-0.007442,-0.758074,0.605092,0.274610,0.289432,-0.688972,0.594534,0.080305,0.012216,-0.799957,0.490400,0.168911,0.073699,-0.851790,0.588249,0.227421,0.048127,-0.774549,0.737241,0.009935,0.046720,-0.673940,0.831845,0.061051,0.111579,-0.540237,0.732065,-0.032991,0.199130,-0.650645
0.669860,0.112481,0.096881,-0.727495,0.626052,-0.283603,-0.378873,-0.619744,0.709744,0.217648,0.098022,-0.662785,0.715603,-0.021581,0.013293,-0.698047,0.568159,-0.388305,-0.290505,-0.664847,0.625619,0.130981,0.187847,-0.745760,0.651884,0.017020,-0.007173,-0.758094,0.605272,0.274925,0.289047,-0.688850,0.594564,0.080426,0.011931,-0.799927,0.490558,0.169138,0.073483,-0.851672,0.588550,0.227710,0.048162,-0.774234,0.737251,0.010464,0.046145,-0.673960,0.831904,0.061556,0.111048,-0.540199,0.732129,-0.032782,0.199677,-0.650417
0.669588,0.112669,0.096870,-0.727718,0.625936,-0.283350,-0.378873,-0.619977,0.709718,0.217970,0.098397,-0.662652,0.715639,-0.021528,0.013334,-0.698011,0.567990,-0.388210,-0.290564,-0.665021,0.625573,0.131121,0.188064,-0.745719,0.651907,0.016979,-0.007214,-0.758075,0.605464,0.275442,0.288657,-0.688638,0.594587,0.080689,0.011653,-0.799887,0.490714,0.169466,0.073270,-0.851535,0.588945,0.227989,0.048408,-0.773836,0.737288,0.011153,0.045465,-0.673955,0.831897,0.062205,0.110389,-0.540270,0.731928,-0.032582,0.199471,-0.650716
0.669495,0.112840,0.096939,-0.727768,0.625933,-0.283147,-0.378780,-0.620130,0.709694,0.218172,0.098679,-0.662570,0.715663,-0.021481,0.013367,-0.697987,0.567962,-0.388110,-0.290483,-0.665139,0.625503,0.131315,0.188307,-0.745683,0.651900,0.017052,-0.007184,-0.758079,0.605616,0.275869,0.288421,-0.688432,0.594633,0.080999,0.011565,-0.799823,0.490853,0.169976,0.073344,-0.851347,0.589299,0.227686,0.048461,-0.773652,0.737339,0.011775,0.044960,-0.673923,0.831864,0.062682,0.109702,-0.540406,0.731907,-0.031933,0.198977,-0.650923
