joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
-1.093878,-1.128022,-0.039275,0.186320,-0.121838,-0.067247,-0.082190,0.068860,0.520000,1.243934,1.273607,-0.679093,-0.765858,-0.454900,-0.426697,0.229066,-0.076428,-0.229601,0.150915,-0.240620,0.328412,0.214003,0.158488,0.042046,-0.199673,0.092700,0.084816,0.263378,-0.315673
-1.094613,-1.129017,-0.039780,0.186682,-0.121442,-0.067961,-0.081946,0.069195,0.520000,1.244488,1.274183,-0.678785,-0.766598,-0.455491,-0.426808,0.230355,-0.074870,-0.229321,0.150344,-0.239641,0.329005,0.212766,0.158902,0.041657,-0.201596,0.092425,0.085471,0.263627,-0.317074
-1.095208,-1.129937,-0.040030,0.186899,-0.121261,-0.068434,-0.081597,0.069570,0.520000,1.245063,1.274967,-0.678710,-0.767106,-0.456082,-0.427185,0.231220,-0.073745,-0.229223,0.150030,-0.238876,0.329487,0.211721,0.159276,0.041793,-0.202681,0.092251,0.085477,0.263266,-0.318464
-1.095524,-1.130711,-0.039772,0.186827,-0.121512,-0.068422,-0.081040,0.070022,0.520000,1.245684,1.276167,-0.679099,-0.767149,-0.456678,-0.428095,0.231235,-0.073486,-0.229486,0.150231,-0.238539,0.329749,0.211059,0.159570,0.042982,-0.202088,0.092281,0.084185,0.261682,-0.319831
-1.095614,-1.131341,-0.039841,0.186464,-0.122060,-0.068360,-0.080363,0.070698,0.520000,1.246541,1.277555,-0.679481,-0.767363,-0.457553,-0.429222,0.231149,-0.073220,-0.229442,0.150375,-0.238282,0.330103,0.210796,0.159971,0.044111,-0.201935,0.092364,0.084000,0.260063,-0.319608
-1.095591,-1.131900,-0.040072,0.185955,-0.122757,-0.068272,-0.079626,0.071485,0.520000,1.247517,1.279039,-0.679858,-0.767662,-0.458566,-0.430459,0.231013,-0.072950,-0.229244,0.150489,-0.238066,0.330503,0.210734,0.160426,0.045210,-0.202003,0.092473,0.084368,0.258425,-0.318590
-1.095180,-1.132079,-0.039070,0.186621,-0.122198,-0.067688,-0.079155,0.072079,0.520000,1.248778,1.280513,-0.680077,-0.767419,-0.459828,-0.431036,0.230583,-0.072445,-0.229385,0.149952,-0.237828,0.330712,0.210966,0.160711,0.044963,-0.203716,0.092891,0.086538,0.258710,-0.317755
-1.094837,-1.132276,-0.038045,0.187261,-0.121663,-0.066978,-0.078612,0.072698,0.520000,1.249839,1.281633,-0.680362,-0.767276,-0.460959,-0.431632,0.230111,-0.071935,-0.229464,0.149645,-0.237589,0.330743,0.211155,0.161000,0.044448,-0.205242,0.093293,0.088072,0.259078,-0.317434
-1.094630,-1.132507,-0.036975,0.187849,-0.121174,-0.066015,-0.077922,0.073369,0.520000,1.250497,1.282043,-0.680783,-0.767332,-0.461829,-0.432264,0.229554,-0.071416,-0.229420,0.149800,-0.237343,0.330419,0.211257,0.161297,0.043397,-0.206393,0.093663,0.088333,0.259612,-0.318143
-1.094478,-1.132574,-0.036404,0.188003,-0.121119,-0.065192,-0.077534,0.073644,0.520000,1.250754,1.282365,-0.680918,-0.767367,-0.462414,-0.432740,0.229109,-0.070900,-0.229317,0.149974,-0.237117,0.329912,0.211736,0.161092,0.042630,-0.206339,0.092154,0.088556,0.259938,-0.318189
