joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
-0.036743,0.018088,0.012217,0.027663,-0.029504,0.013977,-0.049735,0.019810,0.016790,0.028775,-0.005545,-0.028572,-0.025233,-0.035721,0.000000,0.015389,0.064488,0.048940,-0.061854,-0.019491,-0.013763,0.012479,-0.037009,0.077896,0.029627,0.020688,-0.096180,0.032729,-0.070040
-0.029768,0.010850,0.017431,0.028782,-0.029597,0.004929,-0.046043,0.009035,0.018733,0.039183,-0.018858,-0.015691,-0.012525,-0.023620,0.000000,0.003769,0.043243,0.038248,-0.052267,0.006824,-0.008682,-0.018072,-0.025384,0.056244,0.024117,0.018694,-0.054232,0.000292,-0.069485
-0.015818,-0.003626,0.027859,0.031021,-0.029782,-0.013167,-0.038660,-0.012515,0.022621,0.059999,-0.045485,0.010071,0.012890,0.000582,0.000000,-0.019469,0.000754,0.016864,-0.033093,0.059453,0.001479,-0.079174,-0.002135,0.012940,0.013097,0.014704,0.029662,-0.064582,-0.068376
-0.004505,-0.018153,0.033854,0.042877,-0.043721,0.002204,-0.031517,-0.027411,0.033771,0.069438,-0.056375,0.007167,-0.003416,0.003114,0.000000,-0.019072,-0.004299,0.012833,-0.013122,0.056451,0.004148,-0.080979,-0.010698,0.013316,0.017699,0.020062,0.007625,-0.009263,0.011146
0.001152,-0.025416,0.036851,0.048805,-0.050690,0.009890,-0.027945,-0.034859,0.039346,0.074158,-0.061820,0.005715,-0.011569,0.004380,0.000000,-0.018874,-0.006825,0.010818,-0.003137,0.054951,0.005482,-0.081881,-0.014979,0.013504,0.019999,0.022741,-0.003394,0.018397,0.050907
0.020564,0.033287,0.023526,0.063046,-0.063066,-0.007056,-0.008976,0.027949,0.029691,0.073739,-0.028884,-0.026867,0.050123,0.029206,0.000000,-0.010924,-0.021505,0.011857,0.011632,-0.012373,0.020899,0.014242,0.012152,0.025232,0.010454,0.014245,-0.085668,0.108524,0.041775
0.017158,0.031994,0.027173,0.053012,-0.056547,-0.003956,-0.009828,0.026768,0.030972,0.055991,-0.029781,-0.015330,0.051242,0.035522,0.000000,-0.014287,-0.023615,0.011996,0.009449,-0.025760,0.020096,0.018401,0.007167,0.025485,0.001557,0.014445,-0.076296,0.076696,0.016040
0.010346,0.029409,0.034469,0.032945,-0.043509,0.002244,-0.011530,0.024408,0.033533,0.020496,-0.031575,0.007745,0.053479,0.048153,0.000000,-0.021014,-0.027835,0.012273,0.005084,-0.052535,0.018491,0.026721,-0.002804,0.025990,-0.016237,0.014845,-0.057553,0.013040,-0.035431
0.007614,0.007697,0.019434,0.012815,-0.029282,0.005146,-0.003388,0.002763,0.013773,0.016087,-0.023825,0.008711,0.028573,0.041145,0.000000,-0.006793,-0.022234,0.011315,0.023929,-0.038356,-0.075437,0.016283,-0.001746,0.025756,-0.025356,-0.010240,0.002717,0.011146,-0.002302
0.006248,-0.003158,0.011917,0.002750,-0.022168,0.006598,0.000683,-0.008059,0.003893,0.013883,-0.019949,0.009195,0.016120,0.037641,0.000000,0.000318,-0.019433,0.010836,0.033351,-0.031267,-0.122401,0.011064,-0.001218,0.025639,-0.029915,-0.022782,0.032852,0.010200,0.014263
