pelvis_x,pelvis_y,pelvis_z,left_hip_roll_link_x,left_hip_roll_link_y,left_hip_roll_link_z,left_knee_link_x,left_knee_link_y,left_knee_link_z,left_ankle_roll_link_x,left_ankle_roll_link_y,left_ankle_roll_link_z,right_hip_roll_link_x,right_hip_roll_link_y,right_hip_roll_link_z,right_knee_link_x,right_knee_link_y,right_knee_link_z,right_ankle_roll_link_x,right_ankle_roll_link_y,right_ankle_roll_link_z,torso_link_x,torso_link_y,torso_link_z,left_shoulder_roll_link_x,left_shoulder_roll_link_y,left_shoulder_roll_link_z,left_elbow_link_x,left_elbow_link_y,left_elbow_link_z,left_wrist_yaw_link_x,left_wrist_yaw_link_y,left_wrist_yaw_link_z,right_shoulder_roll_link_x,right_shoulder_roll_link_y,right_shoulder_roll_link_z,right_elbow_link_x,right_elbow_link_y,right_elbow_link_z,right_wrist_yaw_link_x,right_wrist_yaw_link_y,right_wrist_yaw_link_z
0.030995,-0.010170,-0.015550,0.001301,-0.013850,-0.006818,0.028878,0.001164,0.008101,-0.001813,-0.007659,0.002564,-0.014838,-0.011528,-0.007825,0.026832,-0.000903,-0.001836,0.012073,0.019821,0.000505,0.034349,0.017975,-0.023344,0.026938,-0.027059,-0.029148,-0.021395,-0.005577,0.007807,-0.026091,0.002045,-0.004666,0.012749,-0.044245,-0.021168,0.032134,-0.038229,0.003615,-0.001784,0.036916,-0.038182
0.025867,-0.014242,-0.012881,0.002458,-0.015804,-0.007957,0.032241,0.002150,0.009360,-0.000915,-0.003691,0.003354,-0.016011,-0.012408,-0.010677,0.032948,-0.000707,-0.004155,0.009316,0.015343,-0.000963,0.028126,0.004690,-0.017052,0.018482,-0.026246,-0.021774,-0.021630,-0.008466,0.009103,-0.024636,-0.007500,-0.020364,0.011055,-0.045439,-0.015391,0.029793,-0.039424,0.006716,0.000320,0.014273,-0.026954
0.019311,-0.018033,-0.011241,0.003864,-0.018043,-0.009484,0.037004,0.003050,0.010555,0.000023,-0.000379,0.003837,-0.017270,-0.013545,-0.013871,0.039530,-0.000329,-0.006547,0.007158,0.011843,-0.002493,0.020244,-0.010215,-0.011062,0.008780,-0.025598,-0.014485,-0.020974,-0.012683,0.009870,-0.021334,-0.017661,-0.033052,0.008116,-0.048180,-0.010024,0.026215,-0.042121,0.009007,0.007081,-0.005118,-0.011902
0.012521,-0.019861,-0.012082,0.005559,-0.020082,-0.010977,0.042538,0.003484,0.011401,0.000967,0.001431,0.003839,-0.017887,-0.014729,-0.016478,0.044772,0.000099,-0.008249,0.006627,0.010413,-0.003600,0.012000,-0.024194,-0.006585,-0.000123,-0.025397,-0.008664,-0.018889,-0.017887,0.010137,-0.015905,-0.025576,-0.035870,0.004636,-0.052924,-0.006291,0.021911,-0.046855,0.009197,0.017895,-0.015144,0.003039
0.007168,-0.018811,-0.015571,0.007777,-0.021405,-0.011851,0.047458,0.003334,0.011781,0.001992,0.001770,0.003508,-0.016846,-0.015616,-0.017678,0.047124,0.000416,-0.008709,0.007709,0.010612,-0.003916,0.005151,-0.035632,-0.003747,-0.006252,-0.025827,-0.004585,-0.014984,-0.023491,0.010479,-0.009272,-0.028832,-0.026003,0.002018,-0.059452,-0.004306,0.017753,-0.053589,0.006609,0.028651,-0.016147,0.012288
0.004662,-0.015515,-0.019792,0.010797,-0.021537,-0.011685,0.049998,0.002924,0.011678,0.003104,0.001173,0.003146,-0.013225,-0.015746,-0.017221,0.046044,0.000614,-0.007948,0.009165,0.010743,-0.003439,0.001232,-0.044130,-0.001859,-0.008406,-0.026909,-0.001658,-0.008863,-0.029035,0.011416,-0.003814,-0.026515,-0.007836,0.001471,-0.066629,-0.003250,0.014248,-0.061438,0.001443,0.033919,-0.015407,0.012101
0.005353,-0.011566,-0.021741,0.014714,-0.020062,-0.010386,0.048847,0.002777,0.011028,0.004115,-0.000006,0.002897,-0.006607,-0.014618,-0.015431,0.042147,0.000822,-0.006531,0.009660,0.009419,-0.002566,0.000781,-0.049710,-0.000267,-0.006493,-0.028415,0.000729,-0.000105,-0.034350,0.012852,-0.002553,-0.019529,0.008973,0.003289,-0.072623,-0.002292,0.011115,-0.068828,-0.005476,0.030670,-0.021366,0.003025
0.008257,-0.008158,-0.019571,0.019430,-0.016834,-0.008160,0.043912,0.003167,0.009715,0.004735,-0.001709,0.002609,0.002750,-0.011958,-0.012870,0.036619,0.001131,-0.005166,0.008946,0.006825,-0.001841,0.002966,-0.052296,0.001222,-0.001631,-0.029889,0.002765,0.011164,-0.039398,0.014087,-0.007328,-0.010273,0.014846,0.006888,-0.075715,-0.001209,0.007694,-0.074154,-0.013131,0.019806,-0.037013,-0.011088
0.011698,-0.005426,-0.014103,0.024906,-0.012362,-0.005470,0.036333,0.003926,0.007706,0.004761,-0.003608,0.002002,0.014001,-0.008116,-0.010126,0.030280,0.001522,-0.004265,0.007675,0.004404,-0.001605,0.006109,-0.052064,0.002478,0.004090,-0.030858,0.004319,0.023499,-0.043930,0.014162,-0.017193,-0.001319,0.004702,0.011236,-0.075274,-0.000258,0.003713,-0.076560,-0.020647,0.004565,-0.058455,-0.026163
0.014414,-0.002960,-0.008320,0.031344,-0.007915,-0.003016,0.027732,0.004688,0.005161,0.004160,-0.004649,0.000926,0.025906,-0.004181,-0.007814,0.023150,0.001962,-0.003789,0.006396,0.003450,-0.001838,0.008807,-0.049786,0.003317,0.008384,-0.031004,0.005170,0.034201,-0.047272,0.012223,-0.028734,0.007092,-0.020963,0.015117,-0.072054,0.000326,-0.000491,-0.076199,-0.027366,-0.011322,-0.078728,-0.039502
0.016236,-0.000596,-0.005386,0.039019,-0.005034,-0.001530,0.019350,0.005221,0.002420,0.003072,-0.003625,-0.000489,0.037129,-0.001524,-0.006527,0.014865,0.002466,-0.003457,0.005185,0.004122,-0.002302,0.010746,-0.046519,0.003630,0.009850,-0.030233,0.005141,0.040555,-0.048542,0.007935,-0.038423,0.018673,-0.057997,0.017334,-0.067465,0.000640,-0.004417,-0.073773,-0.032671,-0.023894,-0.092113,-0.048764
0.017890,0.001368,-0.006791,0.047899,-0.004720,-0.001397,0.011664,0.005564,-0.000093,0.001859,-0.000658,-0.001840,0.046760,-0.001053,-0.006591,0.005291,0.003057,-0.003012,0.004001,0.005509,-0.002783,0.012595,-0.043027,0.003319,0.008584,-0.028798,0.004087,0.041360,-0.047348,0.001732,-0.045013,0.038689,-0.102079,0.017179,-0.062505,0.000933,-0.007695,-0.069843,-0.035884,-0.029591,-0.095668,-0.051015
0.020243,0.002571,-0.011825,0.057435,-0.006904,-0.002388,0.004529,0.005904,-0.001993,0.001085,0.002154,-0.002599,0.054781,-0.002730,-0.007829,-0.005332,0.003749,-0.002298,0.002893,0.006204,-0.003151,0.015233,-0.039531,0.002208,0.005830,-0.027335,0.001847,0.037444,-0.044287,-0.005471,-0.049928,0.068233,-0.151222,0.014965,-0.057262,0.001186,-0.009862,-0.064496,-0.036417,-0.027459,-0.088997,-0.044343
