pelvis_x,pelvis_y,pelvis_z,left_hip_roll_link_x,left_hip_roll_link_y,left_hip_roll_link_z,left_knee_link_x,left_knee_link_y,left_knee_link_z,left_ankle_roll_link_x,left_ankle_roll_link_y,left_ankle_roll_link_z,right_hip_roll_link_x,right_hip_roll_link_y,right_hip_roll_link_z,right_knee_link_x,right_knee_link_y,right_knee_link_z,right_ankle_roll_link_x,right_ankle_roll_link_y,right_ankle_roll_link_z,torso_link_x,torso_link_y,torso_link_z,left_shoulder_roll_link_x,left_shoulder_roll_link_y,left_shoulder_roll_link_z,left_elbow_link_x,left_elbow_link_y,left_elbow_link_z,left_wrist_yaw_link_x,left_wrist_yaw_link_y,left_wrist_yaw_link_z,right_shoulder_roll_link_x,right_shoulder_roll_link_y,right_shoulder_roll_link_z,right_elbow_link_x,right_elbow_link_y,right_elbow_link_z,right_wrist_yaw_link_x,right_wrist_yaw_link_y,right_wrist_yaw_link_z
0.001309,0.007145,0.647157,0.118936,0.005687,0.528537,0.167129,-0.212760,0.319489,0.215295,-0.082903,0.035596,-0.113249,0.023970,0.527530,-0.173928,-0.195663,0.323038,-0.187855,-0.063535,0.036240,0.001360,-0.004894,0.699918,0.132379,-0.200961,0.843698,0.150825,-0.195165,0.660342,0.070457,-0.340757,0.580750,-0.144914,-0.174439,0.862591,-0.156048,-0.175254,0.678602,-0.088677,-0.336244,0.619132
0.001305,0.006984,0.647065,0.118939,0.005551,0.528468,0.167136,-0.212904,0.319429,0.215288,-0.082907,0.035603,-0.113239,0.023925,0.527463,-0.173918,-0.195754,0.323021,-0.187845,-0.063526,0.036270,0.001362,-0.005096,0.699816,0.132356,-0.201369,0.843334,0.150924,-0.195455,0.659993,0.070569,-0.341090,0.580466,-0.144906,-0.174689,0.862454,-0.155870,-0.175444,0.678454,-0.088477,-0.336393,0.618901
0.001301,0.006794,0.646953,0.118958,0.005389,0.528393,0.167159,-0.213065,0.319354,0.215282,-0.082913,0.035599,-0.113216,0.023826,0.527359,-0.173910,-0.195900,0.322971,-0.187824,-0.063519,0.036293,0.001353,-0.005322,0.699695,0.132315,-0.201746,0.843034,0.150993,-0.195750,0.659707,0.070673,-0.341441,0.580247,-0.144930,-0.174977,0.862261,-0.155730,-0.175668,0.678251,-0.088279,-0.336571,0.618638
0.001296,0.006544,0.646801,0.119006,0.005175,0.528302,0.167217,-0.213262,0.319248,0.215278,-0.082920,0.035574,-0.113166,0.023619,0.527181,-0.173906,-0.196152,0.322854,-0.187780,-0.063518,0.036298,0.001321,-0.005593,0.699539,0.132238,-0.202060,0.842867,0.151001,-0.196056,0.659548,0.070760,-0.341828,0.580158,-0.145020,-0.175342,0.861954,-0.155668,-0.175960,0.677936,-0.088086,-0.336806,0.618315
0.001292,0.006287,0.646641,0.119080,0.004938,0.528220,0.167271,-0.213492,0.319156,0.215261,-0.082910,0.035588,-0.113093,0.023367,0.526962,-0.173919,-0.196458,0.322719,-0.187775,-0.063536,0.036304,0.001282,-0.005860,0.699377,0.132085,-0.202364,0.842762,0.150944,-0.196395,0.659452,0.070760,-0.342214,0.580089,-0.145183,-0.175629,0.861662,-0.155645,-0.176248,0.677633,-0.087959,-0.337052,0.618017
0.001288,0.006025,0.646476,0.119166,0.004689,0.528144,0.167322,-0.213739,0.319070,0.215238,-0.082891,0.035621,-0.113008,0.023091,0.526724,-0.173942,-0.196791,0.322573,-0.187789,-0.063564,0.036309,0.001239,-0.006124,0.699211,0.131893,-0.202662,0.842689,0.150854,-0.196751,0.659387,0.070717,-0.342599,0.580031,-0.145383,-0.175877,0.861376,-0.155641,-0.176533,0.677336,-0.087865,-0.337303,0.617733
0.001306,0.005721,0.646289,0.119190,0.004274,0.527955,0.167356,-0.214134,0.318863,0.215251,-0.082918,0.035590,-0.112971,0.022847,0.526531,-0.173951,-0.197097,0.322461,-0.187758,-0.063555,0.036346,0.001229,-0.006414,0.699028,0.131753,-0.202909,0.842686,0.150795,-0.197074,0.659391,0.070749,-0.342956,0.580005,-0.145539,-0.176111,0.861115,-0.155541,-0.176773,0.677061,-0.087712,-0.337505,0.617418
0.001327,0.005426,0.646156,0.119222,0.003889,0.527826,0.167396,-0.214480,0.318695,0.215261,-0.082926,0.035584,-0.112925,0.022629,0.526390,-0.173948,-0.197348,0.322367,-0.187736,-0.063548,0.036376,0.001218,-0.006702,0.698897,0.131587,-0.203175,0.842730,0.150731,-0.197399,0.659443,0.070782,-0.343310,0.580014,-0.145723,-0.176369,0.860857,-0.155438,-0.177028,0.676788,-0.087560,-0.337736,0.617136
0.001354,0.005153,0.646130,0.119270,0.003564,0.527817,0.167449,-0.214728,0.318608,0.215267,-0.082896,0.035625,-0.112864,0.022465,0.526352,-0.173922,-0.197485,0.322311,-0.187730,-0.063546,0.036392,0.001204,-0.006985,0.698870,0.131370,-0.203478,0.842864,0.150656,-0.197728,0.659591,0.070815,-0.343659,0.580091,-0.145965,-0.176671,0.860604,-0.155328,-0.177314,0.676516,-0.087407,-0.338024,0.616919
0.001378,0.004830,0.646143,0.119309,0.003259,0.527841,0.167485,-0.214937,0.318532,0.215252,-0.082913,0.035634,-0.112821,0.022207,0.526358,-0.173909,-0.197674,0.322252,-0.187717,-0.063560,0.036418,0.001201,-0.007323,0.698880,0.131228,-0.203840,0.842970,0.150628,-0.198048,0.659710,0.070889,-0.343983,0.580112,-0.146127,-0.177058,0.860418,-0.155205,-0.177661,0.676315,-0.087263,-0.338398,0.616815
