pelvis_x,pelvis_y,pelvis_z,left_hip_roll_link_x,left_hip_roll_link_y,left_hip_roll_link_z,left_knee_link_x,left_knee_link_y,left_knee_link_z,left_ankle_roll_link_x,left_ankle_roll_link_y,left_ankle_roll_link_z,right_hip_roll_link_x,right_hip_roll_link_y,right_hip_roll_link_z,right_knee_link_x,right_knee_link_y,right_knee_link_z,right_ankle_roll_link_x,right_ankle_roll_link_y,right_ankle_roll_link_z,torso_link_x,torso_link_y,torso_link_z,left_shoulder_roll_link_x,left_shoulder_roll_link_y,left_shoulder_roll_link_z,left_elbow_link_x,left_elbow_link_y,left_elbow_link_z,left_wrist_yaw_link_x,left_wrist_yaw_link_y,left_wrist_yaw_link_z,right_shoulder_roll_link_x,right_shoulder_roll_link_y,right_shoulder_roll_link_z,right_elbow_link_x,right_elbow_link_y,right_elbow_link_z,right_wrist_yaw_link_x,right_wrist_yaw_link_y,right_wrist_yaw_link_z
0.086736,0.199374,-0.098530,-0.000865,-0.193166,-0.105419,-0.068083,0.072876,0.001114,-0.034250,0.072124,0.001504,-0.082630,-0.229305,-0.117177,-0.007802,0.017632,0.005296,0.018733,0.001695,0.005946,0.126080,0.148101,0.010177,0.084481,0.208421,0.031514,-0.017212,-0.050562,0.398572,0.002457,-0.173876,0.344797,0.038585,0.027995,0.054058,0.022203,0.058114,0.066566,0.054275,0.087709,0.119701
0.096486,0.231145,-0.097639,0.002002,-0.304870,-0.105219,-0.104338,0.166483,-0.005375,-0.070439,0.096965,-0.010089,-0.124946,-0.314437,-0.123850,0.004714,0.079607,0.008064,0.011016,0.013578,0.013549,0.155874,0.175928,0.011946,0.085578,0.225838,0.032718,-0.003933,-0.044090,0.471427,0.044418,-0.229768,0.441841,0.037984,0.045761,0.062102,0.024240,0.064017,0.054276,0.053913,0.089796,0.094843
0.102583,0.259047,-0.085715,0.005150,-0.459336,-0.093666,-0.149084,0.297818,-0.031142,-0.142836,0.126007,-0.042927,-0.174822,-0.401992,-0.120902,0.013793,0.145224,0.009628,0.001388,0.026197,0.020176,0.193589,0.213836,0.018295,0.086530,0.241832,0.035756,0.017510,-0.030695,0.552168,0.113254,-0.303266,0.554214,0.033708,0.073269,0.076232,0.026686,0.071971,0.044370,0.054981,0.093581,0.069272
0.098279,0.268937,-0.053964,0.006251,-0.641739,-0.061367,-0.191187,0.454412,-0.095695,-0.261963,0.152958,-0.115484,-0.222578,-0.462057,-0.097407,0.012754,0.195914,0.009792,-0.009266,0.037208,0.024034,0.233287,0.257148,0.032030,0.088068,0.249318,0.042018,0.046379,-0.010815,0.618897,0.207072,-0.384301,0.655190,0.022269,0.110185,0.097893,0.027645,0.081916,0.045199,0.058188,0.100262,0.055090
0.079588,0.250369,0.001383,0.004340,-0.827751,-0.003660,-0.214792,0.615265,-0.214113,-0.419120,0.171703,-0.241332,-0.259770,-0.471392,-0.047565,-0.002681,0.218256,0.009477,-0.019688,0.044948,0.024858,0.267607,0.298331,0.054734,0.092150,0.242591,0.052625,0.078947,0.010932,0.649382,0.311213,-0.458966,0.719757,0.000033,0.152447,0.127434,0.023123,0.094590,0.067692,0.061745,0.111361,0.066573
0.049532,0.202558,0.072708,0.006341,-0.991819,0.073731,-0.203529,0.759344,-0.374729,-0.572179,0.178298,-0.407941,-0.283766,-0.428203,0.021504,-0.031767,0.212228,0.009492,-0.028249,0.048443,0.023485,0.290424,0.329454,0.085391,0.101305,0.220112,0.067528,0.109470,0.026730,0.630117,0.401557,-0.515245,0.734773,-0.035489,0.191903,0.163581,0.007218,0.111864,0.122278,0.059621,0.128664,0.114384
0.018462,0.135028,0.140579,0.033674,-1.112792,0.155565,-0.144240,0.870651,-0.519265,-0.645267,0.169924,-0.557782,-0.298124,-0.353605,0.088760,-0.069310,0.190452,0.009273,-0.033608,0.047337,0.020575,0.298420,0.344391,0.119565,0.117252,0.185706,0.084815,0.131891,0.028139,0.562051,0.456343,-0.547318,0.696148,-0.084481,0.218134,0.202675,-0.026474,0.135895,0.212652,0.042306,0.154241,0.199761
-0.000322,0.063559,0.181282,0.120484,-1.175197,0.224948,-0.029812,0.936102,-0.550685,-0.552612,0.142810,-0.595898,-0.309227,-0.279548,0.127553,-0.108779,0.169887,0.007213,-0.035727,0.042283,0.016161,0.291113,0.340180,0.149453,0.139839,0.148061,0.100406,0.141490,0.008964,0.460828,0.467743,-0.555745,0.601398,-0.144098,0.222056,0.237952,-0.082458,0.167337,0.328811,0.000370,0.189582,0.310218
0.002988,0.004466,0.177922,0.297165,-1.169806,0.271714,0.137856,0.940699,-0.382395,-0.242694,0.093090,-0.437154,-0.322230,-0.232606,0.118330,-0.145453,0.162576,0.002257,-0.035941,0.034981,0.010346,0.269884,0.317710,0.165306,0.167122,0.118320,0.108404,0.136476,-0.031973,0.350306,0.443231,-0.544556,0.452160,-0.208457,0.199448,0.260096,-0.160780,0.203715,0.445181,-0.071087,0.233451,0.419243
0.029600,-0.030591,0.128703,0.564959,-1.096770,0.295065,0.345339,0.867711,-0.005491,0.259421,0.021632,-0.070913,-0.338885,-0.223063,0.058372,-0.177760,0.171015,-0.004877,-0.035944,0.027571,0.004021,0.236927,0.281637,0.158656,0.196346,0.105927,0.102660,0.119479,-0.088553,0.251785,0.398152,-0.518879,0.263885,-0.269607,0.153074,0.260010,-0.255268,0.238781,0.526678,-0.169090,0.280051,0.492047
