pelvis_x,pelvis_y,pelvis_z,left_hip_roll_link_x,left_hip_roll_link_y,left_hip_roll_link_z,left_knee_link_x,left_knee_link_y,left_knee_link_z,left_ankle_roll_link_x,left_ankle_roll_link_y,left_ankle_roll_link_z,right_hip_roll_link_x,right_hip_roll_link_y,right_hip_roll_link_z,right_knee_link_x,right_knee_link_y,right_knee_link_z,right_ankle_roll_link_x,right_ankle_roll_link_y,right_ankle_roll_link_z,torso_link_x,torso_link_y,torso_link_z,left_shoulder_roll_link_x,left_shoulder_roll_link_y,left_shoulder_roll_link_z,left_elbow_link_x,left_elbow_link_y,left_elbow_link_z,left_wrist_yaw_link_x,left_wrist_yaw_link_y,left_wrist_yaw_link_z,right_shoulder_roll_link_x,right_shoulder_roll_link_y,right_shoulder_roll_link_z,right_elbow_link_x,right_elbow_link_y,right_elbow_link_z,right_wrist_yaw_link_x,right_wrist_yaw_link_y,right_wrist_yaw_link_z
-0.034087,0.016213,-0.000672,-0.037063,0.026816,0.008452,0.014581,0.021480,0.005247,0.000392,0.003845,0.007191,-0.058305,0.027719,-0.008702,-0.003506,-0.001486,-0.008857,-0.002118,-0.005685,-0.008905,-0.023998,0.010884,-0.000383,0.006447,-0.016044,0.011329,-0.027526,0.003808,0.015229,-0.015648,0.011078,0.017572,0.011647,-0.016041,-0.019992,0.009007,-0.009245,-0.021108,-0.001274,-0.002950,-0.023083
-0.038628,0.024756,-0.000831,-0.041648,0.036361,0.009251,0.037293,0.032833,0.005274,0.000755,0.006358,0.011413,-0.063560,0.037330,-0.009580,0.013021,-0.004448,-0.009326,-0.001605,-0.005477,-0.006750,-0.027012,0.018624,-0.000546,0.008758,-0.014090,0.013656,-0.027489,0.006754,0.017852,-0.015360,0.017320,0.020327,0.014042,-0.013944,-0.024346,0.009251,-0.007440,-0.025307,-0.001890,-0.001224,-0.027429
-0.045052,0.037161,-0.001498,-0.047788,0.049534,0.009423,0.071166,0.050020,0.004876,0.001204,0.012462,0.017659,-0.069608,0.050543,-0.010772,0.032759,-0.006767,-0.009744,-0.000914,-0.004888,-0.003975,-0.031840,0.030104,-0.001237,0.011435,-0.010442,0.016224,-0.027250,0.011535,0.020785,-0.015443,0.026943,0.023340,0.017507,-0.010090,-0.030897,0.009193,-0.004451,-0.031526,-0.003169,0.001803,-0.033855
-0.052576,0.052710,-0.002906,-0.054640,0.064856,0.008108,0.114203,0.072904,0.003896,0.001774,0.025587,0.025813,-0.074241,0.065800,-0.011949,0.050903,-0.006637,-0.009761,-0.000165,-0.003863,-0.000959,-0.038361,0.044910,-0.002698,0.013672,-0.004445,0.018258,-0.026735,0.018605,0.023207,-0.016126,0.040003,0.025736,0.021875,-0.003834,-0.039278,0.008543,-0.000131,-0.039288,-0.005373,0.006294,-0.041876
-0.059721,0.069917,-0.005092,-0.060813,0.080187,0.004708,0.161426,0.100628,0.002575,0.002710,0.050367,0.035591,-0.074819,0.080881,-0.012685,0.062529,-0.002593,-0.009093,0.000479,-0.002567,0.001810,-0.045753,0.061889,-0.004964,0.014577,0.004402,0.018999,-0.025942,0.028395,0.024321,-0.017228,0.055964,0.026745,0.026823,0.005295,-0.048453,0.007333,0.005444,-0.047460,-0.008504,0.011968,-0.050357
-0.064791,0.087253,-0.007866,-0.064587,0.094002,-0.000605,0.206976,0.132639,0.001725,0.004552,0.091403,0.046912,-0.069682,0.094252,-0.012847,0.065511,0.005624,-0.007844,0.000896,-0.001290,0.003870,-0.052619,0.079654,-0.007832,0.013637,0.016337,0.018027,-0.024905,0.041303,0.023716,-0.017969,0.073943,0.026082,0.031998,0.017495,-0.057048,0.006202,0.012069,-0.054625,-0.012140,0.018063,-0.057911
-0.066440,0.103800,-0.010876,-0.064201,0.106331,-0.006710,0.246234,0.169762,0.002656,0.008014,0.151319,0.060055,-0.059183,0.106049,-0.012857,0.061696,0.016919,-0.006590,0.001070,-0.000241,0.004919,-0.057370,0.097110,-0.010932,0.011020,0.031314,0.015408,-0.023647,0.057607,0.021512,-0.017148,0.093059,0.024058,0.037034,0.032690,-0.063770,0.006297,0.019584,-0.059536,-0.015524,0.023480,-0.063350
-0.063985,0.119454,-0.013681,-0.058309,0.118667,-0.011845,0.276276,0.214514,0.006837,0.013826,0.229244,0.075314,-0.045601,0.117961,-0.013509,0.055548,0.029477,-0.006050,0.001077,0.000565,0.004962,-0.058646,0.113725,-0.013807,0.007642,0.049041,0.011639,-0.022139,0.077336,0.018284,-0.013582,0.112727,0.021427,0.041453,0.050574,-0.067655,0.008704,0.028026,-0.061370,-0.017908,0.027062,-0.065892
-0.057457,0.134648,-0.015850,-0.046593,0.132963,-0.014329,0.294965,0.270019,0.015352,0.022891,0.320867,0.092175,-0.032046,0.132137,-0.015504,0.051474,0.041654,-0.006631,0.001018,0.001225,0.004337,-0.055618,0.129478,-0.016022,0.005030,0.069057,0.007402,-0.020203,0.100216,0.014787,-0.006552,0.132813,0.019024,0.044640,0.070688,-0.068165,0.013814,0.037720,-0.059795,-0.018851,0.028029,-0.065166
-0.047495,0.149918,-0.017178,-0.030171,0.150430,-0.013416,0.300398,0.337466,0.028231,0.036868,0.420086,0.108546,-0.021102,0.149889,-0.019074,0.051706,0.052563,-0.008254,0.000961,0.001801,0.003525,-0.048181,0.144670,-0.017376,0.004968,0.090863,0.003148,-0.017404,0.125760,0.011528,0.003902,0.153655,0.017277,0.046022,0.092541,-0.065304,0.021036,0.049280,-0.055039,-0.018258,0.026526,-0.061230
-0.035174,0.165607,-0.017909,-0.011425,0.170850,-0.009852,0.291734,0.413449,0.043993,0.058502,0.521037,0.120814,-0.013845,0.170956,-0.023921,0.055776,0.062157,-0.010495,0.000906,0.002270,0.002895,-0.037011,0.159760,-0.018113,0.008877,0.114096,-0.001225,-0.013100,0.153439,0.008417,0.016874,0.176015,0.015836,0.045357,0.115764,-0.059741,0.028966,0.063518,-0.047944,-0.016205,0.024002,-0.054641
-0.021752,0.181857,-0.018713,0.006784,0.192780,-0.005673,0.270558,0.489510,0.059858,0.090824,0.619244,0.125157,-0.009574,0.193724,-0.029393,0.061554,0.070945,-0.012849,0.000804,0.002564,0.002606,-0.023416,0.175299,-0.018908,0.017185,0.138682,-0.006346,-0.006665,0.182862,0.004771,0.030701,0.200955,0.013635,0.042936,0.140269,-0.052701,0.035852,0.081224,-0.039801,-0.012745,0.023077,-0.046368
-0.008337,0.198784,-0.020424,0.022166,0.214469,-0.003305,0.241168,0.555006,0.072631,0.135358,0.711615,0.119448,-0.006251,0.216210,-0.034829,0.066976,0.079575,-0.014964,0.000617,0.002641,0.002669,-0.008940,0.191894,-0.020595,0.029140,0.164854,-0.013008,0.002285,0.213827,-0.000322,0.043410,0.229588,0.009346,0.039546,0.166266,-0.045617,0.040174,0.102895,-0.031969,-0.007808,0.026853,-0.037526
0.004387,0.216653,-0.023757,0.033753,0.234865,-0.004585,0.209166,0.601548,0.079670,0.190670,0.795785,0.104339,-0.001473,0.237143,-0.039933,0.071347,0.088511,-0.016817,0.000394,0.002539,0.003014,0.005100,0.210141,-0.023891,0.043196,0.192963,-0.021790,0.013834,0.246227,-0.007606,0.053402,0.262667,0.001903,0.036224,0.194112,-0.039789,0.041140,0.128538,-0.025573,-0.001243,0.038012,-0.029184
0.016217,0.235899,-0.029175,0.041972,0.254041,-0.010280,0.179224,0.626068,0.079407,0.252336,0.869371,0.082734,0.006456,0.256471,-0.044956,0.075501,0.097920,-0.018725,0.000262,0.002428,0.003510,0.017940,0.230520,-0.029259,0.057656,0.223160,-0.032853,0.027799,0.279808,-0.017421,0.060048,0.300127,-0.009141,0.033929,0.223998,-0.036254,0.038896,0.157609,-0.021454,0.006978,0.058094,-0.022358
0.027283,0.256975,-0.036812,0.048121,0.272944,-0.020105,0.153580,0.631077,0.071475,0.314136,0.929457,0.058328,0.017876,0.275143,-0.050504,0.080929,0.107756,-0.021126,0.000351,0.002552,0.004043,0.029397,0.253271,-0.036842,0.071127,0.255174,-0.045877,0.043775,0.314001,-0.029600,0.063892,0.340900,-0.023448,0.033275,0.255718,-0.035695,0.034355,0.189099,-0.020136,0.016513,0.087106,-0.017951
0.037840,0.280174,-0.046381,0.053643,0.292812,-0.032959,0.132221,0.622697,0.056692,0.369652,0.972700,0.034357,0.031905,0.294516,-0.057107,0.088647,0.117986,-0.024241,0.000719,0.003086,0.004643,0.039707,0.278341,-0.046358,0.082680,0.288391,-0.060091,0.061277,0.348020,-0.043482,0.066436,0.383240,-0.039957,0.034456,0.288719,-0.038251,0.028825,0.221804,-0.021669,0.026569,0.123584,-0.016470
