pelvis_x,pelvis_y,pelvis_z,left_hip_roll_link_x,left_hip_roll_link_y,left_hip_roll_link_z,left_knee_link_x,left_knee_link_y,left_knee_link_z,left_ankle_roll_link_x,left_ankle_roll_link_y,left_ankle_roll_link_z,right_hip_roll_link_x,right_hip_roll_link_y,right_hip_roll_link_z,right_knee_link_x,right_knee_link_y,right_knee_link_z,right_ankle_roll_link_x,right_ankle_roll_link_y,right_ankle_roll_link_z,torso_link_x,torso_link_y,torso_link_z,left_shoulder_roll_link_x,left_shoulder_roll_link_y,left_shoulder_roll_link_z,left_elbow_link_x,left_elbow_link_y,left_elbow_link_z,left_wrist_yaw_link_x,left_wrist_yaw_link_y,left_wrist_yaw_link_z,right_shoulder_roll_link_x,right_shoulder_roll_link_y,right_shoulder_roll_link_z,right_elbow_link_x,right_elbow_link_y,right_elbow_link_z,right_wrist_yaw_link_x,right_wrist_yaw_link_y,right_wrist_yaw_link_z
-0.019223,-0.001893,0.787299,-0.020277,0.114140,0.653788,-0.040429,0.131698,0.348673,-0.095635,0.146246,0.036592,-0.030096,-0.118555,0.654768,-0.045134,-0.135099,0.349160,-0.094436,-0.144730,0.035770,-0.021112,-0.001733,0.841411,0.009324,0.136940,1.075556,0.009032,0.171568,0.894642,0.043103,0.174528,0.713483,-0.002369,-0.143926,1.074661,-0.010621,-0.177395,0.893725,0.023717,-0.178356,0.712723
-0.019810,-0.001746,0.787280,-0.020914,0.114469,0.653925,-0.040584,0.131902,0.348768,-0.095636,0.146296,0.036649,-0.031133,-0.118210,0.654611,-0.045616,-0.135034,0.348995,-0.094490,-0.144842,0.035540,-0.021539,-0.001673,0.841397,0.009395,0.136590,1.075720,0.008485,0.171589,0.894876,0.042774,0.174627,0.713759,-0.002186,-0.144278,1.074346,-0.010452,-0.177612,0.893385,0.023698,-0.178441,0.712347
-0.020499,-0.001400,0.787286,-0.021687,0.115043,0.654125,-0.040300,0.132344,0.348892,-0.095623,0.146356,0.036802,-0.032339,-0.117618,0.654443,-0.045517,-0.135133,0.348813,-0.094529,-0.144968,0.035381,-0.022005,-0.001441,0.841409,0.009547,0.136254,1.075983,0.007924,0.171667,0.895222,0.042482,0.174852,0.714157,-0.001945,-0.144614,1.073950,-0.010261,-0.177804,0.892965,0.023680,-0.178516,0.711887
-0.021392,-0.000658,0.787339,-0.022732,0.116105,0.654454,-0.039138,0.133257,0.349083,-0.095578,0.146430,0.037161,-0.033884,-0.116533,0.654258,-0.044260,-0.135562,0.348620,-0.094551,-0.145142,0.035391,-0.022548,-0.000866,0.841471,0.009866,0.135944,1.076444,0.007335,0.171858,0.895786,0.042265,0.175331,0.714796,-0.001590,-0.144917,1.073389,-0.010026,-0.177950,0.892381,0.023661,-0.178571,0.711255
-0.022625,0.000639,0.787278,-0.023965,0.117762,0.654711,-0.036095,0.134977,0.349142,-0.095537,0.146634,0.037739,-0.035731,-0.114844,0.653925,-0.042444,-0.135910,0.348329,-0.094517,-0.145187,0.035396,-0.023403,0.000223,0.841415,0.010264,0.135836,1.076905,0.006814,0.172238,0.896354,0.041966,0.176239,0.715416,-0.001085,-0.145010,1.072468,-0.009799,-0.177922,0.891450,0.023584,-0.178414,0.710267
-0.024027,0.002213,0.787160,-0.025290,0.119715,0.654941,-0.032106,0.137078,0.349214,-0.095485,0.146875,0.038555,-0.037730,-0.112853,0.653529,-0.040363,-0.136230,0.348049,-0.094483,-0.145197,0.035470,-0.024414,0.001569,0.841299,0.010707,0.135825,1.077354,0.006330,0.172711,0.896914,0.041628,0.177376,0.716020,-0.000512,-0.144998,1.071350,-0.009581,-0.177803,0.890329,0.023476,-0.178144,0.709086
-0.025568,0.004303,0.786980,-0.026868,0.121844,0.654827,-0.026976,0.140105,0.349089,-0.095495,0.148364,0.039521,-0.039193,-0.110729,0.653331,-0.038982,-0.135995,0.347991,-0.094457,-0.145179,0.035664,-0.025712,0.003510,0.841116,0.010997,0.136235,1.077796,0.005792,0.173595,0.897468,0.041109,0.179145,0.716605,0.000187,-0.144560,1.069986,-0.009646,-0.177484,0.889025,0.023069,-0.177648,0.707720
-0.027074,0.006534,0.786742,-0.028410,0.124018,0.654587,-0.021509,0.143506,0.349028,-0.095437,0.150970,0.040732,-0.040369,-0.108575,0.653143,-0.037860,-0.135555,0.347958,-0.094434,-0.145164,0.035847,-0.027048,0.005624,0.840875,0.011231,0.136865,1.078133,0.005313,0.174724,0.897926,0.040628,0.181148,0.717095,0.000969,-0.143895,1.068551,-0.009677,-0.177065,0.887680,0.022653,-0.177058,0.706307
-0.028511,0.009047,0.786388,-0.029879,0.126284,0.654082,-0.015332,0.147684,0.348960,-0.095197,0.156093,0.042222,-0.040970,-0.106355,0.652969,-0.037246,-0.134719,0.347912,-0.094406,-0.145180,0.035936,-0.028459,0.008081,0.840517,0.011341,0.137941,1.078287,0.004942,0.176346,0.898207,0.040225,0.183601,0.717408,0.001928,-0.142784,1.066998,-0.009627,-0.176456,0.886276,0.022223,-0.176285,0.704821
-0.029662,0.011911,0.785976,-0.030776,0.128945,0.653563,-0.008646,0.153105,0.349133,-0.094684,0.163680,0.044206,-0.041228,-0.103730,0.652686,-0.036513,-0.133653,0.347784,-0.094398,-0.145140,0.035980,-0.029683,0.010888,0.840101,0.011242,0.139560,1.078328,0.004522,0.178598,0.898396,0.040064,0.186495,0.717682,0.002948,-0.141135,1.065494,-0.009340,-0.175640,0.884980,0.021785,-0.175586,0.703402
-0.030670,0.014951,0.785535,-0.031386,0.131806,0.653046,-0.001726,0.159178,0.349552,-0.094047,0.172750,0.046671,-0.041314,-0.100899,0.652350,-0.035712,-0.132472,0.347623,-0.094387,-0.145070,0.036011,-0.030812,0.013870,0.839655,0.011044,0.141457,1.078307,0.004077,0.181170,0.898531,0.040020,0.189616,0.717932,0.004009,-0.139201,1.064009,-0.008914,-0.174711,0.883738,0.021363,-0.174923,0.702019
-0.031139,0.018492,0.785263,-0.031113,0.135627,0.653090,0.004434,0.169277,0.350853,-0.093349,0.184968,0.049905,-0.041395,-0.097065,0.651801,-0.034369,-0.131104,0.347372,-0.094361,-0.145034,0.036075,-0.031383,0.017253,0.839379,0.011078,0.144061,1.078340,0.003778,0.184628,0.898768,0.040612,0.193360,0.718366,0.004958,-0.136561,1.062983,-0.008084,-0.173408,0.882993,0.021040,-0.174707,0.701090
-0.031439,0.022228,0.784955,-0.030648,0.139735,0.653182,0.009919,0.180385,0.352424,-0.091998,0.198114,0.053073,-0.041553,-0.092927,0.651145,-0.032946,-0.129644,0.347077,-0.094327,-0.144970,0.036124,-0.031742,0.020817,0.839066,0.011347,0.146952,1.078272,0.003591,0.188442,0.898929,0.041416,0.197394,0.718746,0.005828,-0.133632,1.062030,-0.007164,-0.171828,0.882322,0.020777,-0.174504,0.700247
-0.031400,0.026352,0.784574,-0.029796,0.144412,0.653351,0.014202,0.193490,0.354305,-0.089199,0.213825,0.055718,-0.041867,-0.088181,0.650278,-0.031383,-0.128014,0.346677,-0.094316,-0.144886,0.036123,-0.031680,0.024743,0.838681,0.012083,0.150402,1.078014,0.003631,0.192962,0.898952,0.042652,0.202006,0.719032,0.006535,-0.130150,1.061230,-0.006096,-0.169713,0.881797,0.020583,-0.174322,0.699568
