pelvis_qw,pelvis_qx,pelvis_qy,pelvis_qz,left_hip_roll_link_qw,left_hip_roll_link_qx,left_hip_roll_link_qy,left_hip_roll_link_qz,left_knee_link_qw,left_knee_link_qx,left_knee_link_qy,left_knee_link_qz,left_ankle_roll_link_qw,left_ankle_roll_link_qx,left_ankle_roll_link_qy,left_ankle_roll_link_qz,right_hip_roll_link_qw,right_hip_roll_link_qx,right_hip_roll_link_qy,right_hip_roll_link_qz,right_knee_link_qw,right_knee_link_qx,right_knee_link_qy,right_knee_link_qz,right_ankle_roll_link_qw,right_ankle_roll_link_qx,right_ankle_roll_link_qy,right_ankle_roll_link_qz,torso_link_qw,torso_link_qx,torso_link_qy,torso_link_qz,left_shoulder_roll_link_qw,left_shoulder_roll_link_qx,left_shoulder_roll_link_qy,left_shoulder_roll_link_qz,left_elbow_link_qw,left_elbow_link_qx,left_elbow_link_qy,left_elbow_link_qz,left_wrist_yaw_link_qw,left_wrist_yaw_link_qx,left_wrist_yaw_link_qy,left_wrist_yaw_link_qz,right_shoulder_roll_link_qw,right_shoulder_roll_link_qx,right_shoulder_roll_link_qy,right_shoulder_roll_link_qz,right_elbow_link_qw,right_elbow_link_qx,right_elbow_link_qy,right_elbow_link_qz,right_wrist_yaw_link_qw,right_wrist_yaw_link_qx,right_wrist_yaw_link_qy,right_wrist_yaw_link_qz
0.999569,-0.001749,0.019174,-0.022156,0.997024,0.054129,-0.051485,-0.019053,0.989610,0.031905,0.089630,0.107798,0.994340,-0.019680,-0.012585,0.103642,0.995741,-0.068035,-0.056677,-0.025676,0.977319,-0.029511,0.077409,-0.194895,0.981194,0.016679,-0.006072,-0.192206,0.998817,0.002545,0.044228,-0.020032,0.993667,0.102535,0.038487,-0.025109,0.746759,0.248177,0.577823,-0.216518,0.741392,0.218133,0.618734,-0.141154,0.993373,-0.098832,0.056115,-0.017114,0.749345,-0.221163,0.592592,0.195968,0.769516,-0.240534,0.575859,0.135552
0.999520,-0.001067,0.020673,-0.023054,0.996971,0.054058,-0.052227,-0.019981,0.989644,0.031637,0.089378,0.107777,0.994338,-0.019765,-0.012182,0.103699,0.995636,-0.068327,-0.057667,-0.026733,0.977363,-0.029661,0.076645,-0.194953,0.981173,0.016997,-0.006182,-0.192281,0.998765,0.003408,0.045415,-0.019879,0.993520,0.103292,0.040334,-0.024955,0.747766,0.246363,0.578109,-0.214337,0.742435,0.216699,0.618359,-0.139513,0.993412,-0.098496,0.056179,-0.016609,0.748918,-0.221425,0.592742,0.196851,0.768947,-0.240876,0.576071,0.137265
0.999451,-0.000207,0.022761,-0.024068,0.996864,0.053994,-0.053905,-0.020993,0.989620,0.031083,0.089862,0.107753,0.994337,-0.019800,-0.011471,0.103783,0.995410,-0.069141,-0.059939,-0.028047,0.977365,-0.029740,0.076860,-0.194846,0.981192,0.017162,-0.006087,-0.192172,0.998696,0.004598,0.046840,-0.019761,0.993350,0.104084,0.042504,-0.024831,0.749035,0.243974,0.578589,-0.211325,0.743948,0.214704,0.617843,-0.136795,0.993447,-0.098125,0.056354,-0.016073,0.748500,-0.221528,0.592991,0.197572,0.768403,-0.241039,0.576378,0.138724
0.999340,0.001010,0.026027,-0.025314,0.996643,0.053942,-0.057456,-0.022178,0.989480,0.029952,0.091815,0.107710,0.994340,-0.019744,-0.010137,0.103904,0.994922,-0.071004,-0.064775,-0.029895,0.977274,-0.029698,0.079038,-0.194439,0.981286,0.016996,-0.005577,-0.191725,0.998596,0.006442,0.048742,-0.019718,0.993136,0.104947,0.045317,-0.024769,0.750815,0.240441,0.579450,-0.206649,0.746384,0.211595,0.617040,-0.131912,0.993477,-0.097683,0.056754,-0.015482,0.748105,-0.221309,0.593438,0.197970,0.767914,-0.240846,0.576880,0.139676
0.999207,0.002422,0.029569,-0.026543,0.996180,0.054246,-0.064387,-0.023184,0.989043,0.028076,0.097013,0.107675,0.994319,-0.020916,-0.008137,0.104046,0.994238,-0.073623,-0.071057,-0.031963,0.977069,-0.029745,0.082061,-0.194211,0.981352,0.016875,-0.005187,-0.191404,0.998441,0.008940,0.051531,-0.019482,0.992921,0.105702,0.048204,-0.024720,0.752238,0.236642,0.581155,-0.200989,0.749664,0.208351,0.615828,-0.123892,0.993477,-0.097321,0.057632,-0.014500,0.747653,-0.220983,0.593965,0.198463,0.767510,-0.240343,0.577529,0.140085
0.999054,0.003932,0.033248,-0.027764,0.995538,0.054704,-0.073005,-0.024125,0.988423,0.025809,0.103836,0.107573,0.994286,-0.022726,-0.005796,0.104144,0.993412,-0.076632,-0.078049,-0.034195,0.976781,-0.029870,0.085521,-0.194149,0.981393,0.016738,-0.004845,-0.191219,0.998246,0.011771,0.054760,-0.019155,0.992700,0.106409,0.051125,-0.024680,0.753453,0.232734,0.583259,-0.194812,0.753276,0.205089,0.614384,-0.114224,0.993461,-0.096988,0.058742,-0.013332,0.747180,-0.220592,0.594525,0.199000,0.767155,-0.239673,0.578246,0.140217
0.999004,0.004159,0.035528,-0.026660,0.994666,0.055284,-0.084145,-0.022411,0.987807,0.023976,0.112671,0.104726,0.994380,-0.030023,-0.003101,0.101477,0.992821,-0.079443,-0.082795,-0.033757,0.976596,-0.030606,0.087655,-0.194009,0.981451,0.016048,-0.004200,-0.190995,0.998005,0.015009,0.058569,-0.018198,0.992499,0.107107,0.053718,-0.024233,0.754269,0.229029,0.585822,-0.188247,0.756562,0.206120,0.611844,-0.103804,0.993320,-0.097230,0.061057,-0.011525,0.746730,-0.220034,0.595133,0.199488,0.766603,-0.238838,0.579042,0.141372
0.998995,0.004017,0.037125,-0.024795,0.993647,0.055330,-0.095965,-0.019871,0.987384,0.022930,0.121927,0.098390,0.994672,-0.039241,-0.000070,0.095333,0.992322,-0.082167,-0.086564,-0.032434,0.976440,-0.031590,0.089305,-0.193884,0.981504,0.015463,-0.003667,-0.190779,0.997738,0.018170,0.062465,-0.016943,0.992300,0.107968,0.055918,-0.023612,0.754761,0.226099,0.588172,-0.182397,0.759723,0.206588,0.609470,-0.093210,0.993128,-0.097863,0.063499,-0.009396,0.745942,-0.220179,0.595691,0.200610,0.765928,-0.238474,0.579677,0.143034
0.999068,0.003135,0.037358,-0.021406,0.992415,0.054328,-0.109156,-0.015691,0.987296,0.023789,0.131985,0.085214,0.995241,-0.052010,0.003759,0.082316,0.992043,-0.084738,-0.088383,-0.029294,0.976363,-0.033082,0.089974,-0.193716,0.981564,0.015080,-0.003368,-0.190510,0.997446,0.021173,0.066534,-0.015072,0.992112,0.109155,0.057332,-0.022640,0.754683,0.224674,0.590154,-0.178027,0.762788,0.205871,0.607444,-0.082354,0.992833,-0.099286,0.066198,-0.006607,0.744463,-0.221729,0.596148,0.203022,0.764998,-0.239054,0.579995,0.145731
0.999153,0.002414,0.036673,-0.018513,0.990921,0.055111,-0.122059,-0.011838,0.986650,0.026674,0.142410,0.074357,0.995660,-0.059563,0.006443,0.071214,0.991738,-0.087564,-0.089871,-0.026679,0.976216,-0.034903,0.090811,-0.193744,0.981591,0.014686,-0.003089,-0.190405,0.997179,0.023836,0.070021,-0.012728,0.991917,0.110757,0.058170,-0.021201,0.754746,0.224334,0.591106,-0.175007,0.765817,0.206445,0.604485,-0.074175,0.992452,-0.101759,0.068362,-0.003369,0.741799,-0.225568,0.596739,0.206774,0.762826,-0.241934,0.580506,0.150259
