joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
0.035863,0.020005,0.004279,0.115052,-0.129512,0.007500,0.242937,-0.329104,0.050288,0.121879,0.120084,-0.007183,0.020467,-0.192968,-0.146335,0.200730,-0.203523,-0.124351,0.123043,-0.600282,0.616869,1.174878,1.163263,-0.150072,0.043906,0.087373,-0.017527,0.061995,-0.128551
0.031455,0.014849,0.006358,0.113780,-0.131213,0.007832,0.244795,-0.327053,0.049672,0.122924,0.120498,-0.005865,0.018208,-0.191696,-0.144858,0.200499,-0.204550,-0.123846,0.123718,-0.594299,0.617748,1.170531,1.164037,-0.148517,0.042795,0.086211,-0.017432,0.062117,-0.127324
0.023996,0.005876,0.008599,0.112271,-0.134211,0.008460,0.246756,-0.323933,0.048365,0.127330,0.125603,-0.004381,0.015678,-0.191341,-0.145016,0.199683,-0.206162,-0.122765,0.124227,-0.586095,0.618101,1.165766,1.164813,-0.147184,0.041832,0.084361,-0.017367,0.062912,-0.126214
0.010436,-0.010728,0.011166,0.110293,-0.139803,0.009677,0.248922,-0.318673,0.045676,0.138458,0.140089,-0.002565,0.012606,-0.192821,-0.148445,0.197695,-0.208945,-0.120534,0.124402,-0.573449,0.617404,1.160161,1.165594,-0.146293,0.041165,0.081132,-0.017364,0.065054,-0.125336
-0.010456,-0.030881,0.014093,0.108892,-0.147194,0.011762,0.250456,-0.313037,0.044237,0.162969,0.159451,-0.002475,0.008739,-0.199360,-0.153709,0.194238,-0.213199,-0.119812,0.125237,-0.558940,0.615927,1.156578,1.165631,-0.147908,0.041656,0.075268,-0.017323,0.071481,-0.125191
-0.035013,-0.052810,0.017202,0.107780,-0.155485,0.014280,0.251674,-0.307212,0.043423,0.194172,0.181251,-0.003247,0.004474,-0.208427,-0.159891,0.190048,-0.218188,-0.119843,0.126402,-0.543500,0.614061,1.154007,1.165296,-0.150777,0.042724,0.068085,-0.017263,0.080051,-0.125411
-0.062042,-0.066963,0.016967,0.109082,-0.161528,0.020257,0.241727,-0.306746,0.046593,0.233936,0.196079,-0.006007,0.001619,-0.219964,-0.162851,0.185085,-0.225178,-0.131401,0.127040,-0.528628,0.610509,1.153332,1.162367,-0.147522,0.042432,0.059923,-0.017272,0.094231,-0.123932
-0.089195,-0.077616,0.015791,0.109810,-0.166961,0.026862,0.222952,-0.308131,0.051286,0.275275,0.208043,-0.009795,-0.001064,-0.231747,-0.164942,0.180634,-0.232818,-0.147489,0.128229,-0.516325,0.608247,1.153134,1.159135,-0.147567,0.042680,0.051790,-0.017658,0.108051,-0.122499
-0.116594,-0.081269,0.012734,0.109392,-0.171175,0.034723,0.186522,-0.313216,0.059029,0.319766,0.214280,-0.015637,-0.003404,-0.244021,-0.165298,0.177206,-0.241755,-0.172635,0.130516,-0.509160,0.608566,1.153890,1.155298,-0.154213,0.044008,0.043715,-0.018797,0.121153,-0.121156
-0.141523,-0.082507,0.011507,0.112191,-0.176166,0.041573,0.154251,-0.317504,0.067395,0.365146,0.220259,-0.021522,-0.005493,-0.260139,-0.165887,0.175268,-0.252136,-0.191892,0.133531,-0.506422,0.613169,1.153211,1.153119,-0.158757,0.044858,0.035798,-0.019622,0.132294,-0.119064
