joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
-0.220406,-0.257825,0.103955,-0.063634,-0.085077,0.016627,0.092914,0.102512,-0.030809,0.052266,0.020719,0.065916,-0.112962,0.063588,0.073842,-0.011527,-0.051342,0.025266,0.033750,0.299161,0.043926,-0.217327,0.038677,0.077751,-0.055583,-0.058074,0.004739,0.006079,0.061355
-0.372942,-0.448614,0.112073,-0.075404,-0.149907,0.031368,0.098044,0.156008,-0.065354,0.220312,0.255250,0.074198,-0.126504,0.017724,-0.007911,-0.040819,-0.080614,0.054026,0.025432,0.410213,0.017665,-0.238293,0.038810,0.066683,-0.048158,-0.092526,0.003223,0.039753,0.055530
-0.678014,-0.830192,0.128308,-0.098943,-0.279566,0.060851,0.108303,0.262999,-0.134443,0.556405,0.724312,0.090763,-0.153587,-0.074003,-0.171416,-0.099402,-0.139158,0.111547,0.008796,0.632316,-0.034856,-0.280226,0.039074,0.044547,-0.033306,-0.161430,0.000190,0.107103,0.043880
-1.044585,-1.007681,0.146391,-0.070048,-0.369554,0.104245,0.076711,0.281826,-0.071931,1.225547,0.968100,0.004519,-0.193352,-0.326915,-0.263218,-0.172807,-0.212684,0.036124,0.041744,0.725427,-0.073832,-0.179135,0.001845,-0.080787,0.024510,-0.293233,0.002043,0.321371,0.007270
-1.227871,-1.096426,0.155432,-0.055600,-0.414548,0.125942,0.060916,0.291240,-0.040675,1.560118,1.089994,-0.038603,-0.213235,-0.453372,-0.309119,-0.209510,-0.249446,-0.001588,0.058217,0.771983,-0.093319,-0.128589,-0.016769,-0.143454,0.053418,-0.359135,0.002969,0.428505,-0.011036
-1.351470,-0.707664,-0.011767,0.065116,-0.302162,0.298846,-0.497375,0.023277,0.158462,1.988196,0.741372,-0.138011,-0.142757,-0.576859,-0.147968,-0.248151,-0.349525,-0.577898,0.031937,0.743605,-0.177591,-0.033749,-0.146452,0.162762,-0.014583,-0.408115,-0.000439,0.708983,0.073949
-1.357632,-0.532661,-0.058790,0.036428,-0.271669,0.330246,-0.938751,-0.069235,0.234682,2.066976,0.598202,-0.189373,-0.134168,-0.589139,-0.104579,-0.222571,-0.381969,-0.804368,0.059407,0.615153,-0.113086,-0.009896,-0.161585,-0.002258,0.012410,-0.406653,-0.019281,0.691022,0.071678
-1.369956,-0.182654,-0.152836,-0.020947,-0.210684,0.393045,-1.821502,-0.254259,0.387122,2.224535,0.311862,-0.292096,-0.116990,-0.613698,-0.017800,-0.171409,-0.446857,-1.257307,0.114349,0.358250,0.015925,0.037812,-0.191849,-0.332299,0.066396,-0.403728,-0.056964,0.655102,0.067137
-1.246431,-0.061873,-0.061357,0.139991,-0.249572,0.342515,-1.613534,-0.214367,0.418302,2.269005,0.298951,-0.294282,-0.104436,-0.805910,-0.029435,-0.096870,-0.519032,-0.962837,0.150762,0.136904,0.230142,-0.033971,-0.108944,-0.227173,0.042483,-0.395863,-0.041256,0.557045,0.104625
-1.184668,-0.001482,-0.015618,0.220460,-0.269016,0.317249,-1.509551,-0.194421,0.433893,2.291240,0.292495,-0.295375,-0.098158,-0.902016,-0.035252,-0.059600,-0.555120,-0.815602,0.168969,0.026230,0.337250,-0.069863,-0.067492,-0.174610,0.030526,-0.391931,-0.033402,0.508016,0.123369
