pelvis_x,pelvis_y,pelvis_z,left_hip_roll_link_x,left_hip_roll_link_y,left_hip_roll_link_z,left_knee_link_x,left_knee_link_y,left_knee_link_z,left_ankle_roll_link_x,left_ankle_roll_link_y,left_ankle_roll_link_z,right_hip_roll_link_x,right_hip_roll_link_y,right_hip_roll_link_z,right_knee_link_x,right_knee_link_y,right_knee_link_z,right_ankle_roll_link_x,right_ankle_roll_link_y,right_ankle_roll_link_z,torso_link_x,torso_link_y,torso_link_z,left_shoulder_roll_link_x,left_shoulder_roll_link_y,left_shoulder_roll_link_z,left_elbow_link_x,left_elbow_link_y,left_elbow_link_z,left_wrist_yaw_link_x,left_wrist_yaw_link_y,left_wrist_yaw_link_z,right_shoulder_roll_link_x,right_shoulder_roll_link_y,right_shoulder_roll_link_z,right_elbow_link_x,right_elbow_link_y,right_elbow_link_z,right_wrist_yaw_link_x,right_wrist_yaw_link_y,right_wrist_yaw_link_z
0.002507,-0.085329,-0.009175,0.016913,-0.090339,-0.004718,-0.036428,-0.053773,-0.010490,0.001616,0.000710,-0.006277,-0.000549,-0.090396,-0.013489,0.000615,-0.046615,-0.008106,0.001014,0.000844,-0.003272,-0.001841,-0.083409,-0.008952,-0.031324,-0.073545,-0.007169,-0.025477,-0.077871,-0.005735,-0.028885,-0.069532,-0.004132,-0.019684,-0.073944,-0.016888,-0.007803,-0.069854,-0.017316,0.012988,-0.044310,-0.028188
0.000311,-0.090244,-0.009840,0.015140,-0.095682,-0.004961,-0.047306,-0.058225,-0.011116,0.001548,0.000845,-0.004792,-0.005535,-0.095769,-0.014589,-0.003195,-0.049234,-0.008753,0.001036,0.000628,-0.002966,-0.003588,-0.088030,-0.009655,-0.030848,-0.077292,-0.007104,-0.025786,-0.080637,-0.005968,-0.029328,-0.073711,-0.004416,-0.023745,-0.077644,-0.018505,-0.009076,-0.070726,-0.018686,0.012346,-0.043648,-0.029834
-0.003349,-0.097121,-0.010808,0.012370,-0.103517,-0.004969,-0.056553,-0.063663,-0.011390,0.001522,0.000907,-0.003203,-0.013178,-0.103682,-0.016479,-0.009366,-0.052924,-0.009941,0.000987,0.000316,-0.002672,-0.006521,-0.094414,-0.010683,-0.030346,-0.082538,-0.007055,-0.026292,-0.084749,-0.006269,-0.029782,-0.079662,-0.004854,-0.029151,-0.082832,-0.020666,-0.010959,-0.072173,-0.020490,0.011223,-0.042932,-0.031972
-0.008789,-0.105524,-0.012116,0.008423,-0.113668,-0.004518,-0.059178,-0.069198,-0.010887,0.001567,0.000746,-0.002044,-0.023552,-0.113994,-0.019417,-0.018695,-0.057325,-0.011895,0.000810,-0.000093,-0.002496,-0.010939,-0.102090,-0.012077,-0.029974,-0.089069,-0.007183,-0.026931,-0.090327,-0.006695,-0.030097,-0.087308,-0.005519,-0.035355,-0.089303,-0.023144,-0.013477,-0.074483,-0.022526,0.009355,-0.042486,-0.034309
-0.016006,-0.114696,-0.013872,0.003240,-0.125569,-0.003518,-0.052039,-0.074055,-0.009407,0.001686,0.000221,-0.001753,-0.036182,-0.126188,-0.023673,-0.032495,-0.061590,-0.014839,0.000475,-0.000586,-0.002471,-0.016923,-0.110293,-0.013944,-0.029942,-0.096482,-0.007813,-0.027584,-0.097368,-0.007450,-0.030176,-0.096460,-0.006594,-0.041712,-0.096663,-0.025711,-0.016566,-0.077892,-0.024619,0.006428,-0.042548,-0.036531
-0.024490,-0.123716,-0.016308,-0.002972,-0.138414,-0.002085,-0.035729,-0.077943,-0.007096,0.001870,-0.000724,-0.002407,-0.050002,-0.139500,-0.029565,-0.053122,-0.064291,-0.018980,-0.000038,-0.001137,-0.002410,-0.024146,-0.118113,-0.016506,-0.030567,-0.104205,-0.009445,-0.028230,-0.105602,-0.008936,-0.030048,-0.106778,-0.008459,-0.047781,-0.104341,-0.028345,-0.020046,-0.082296,-0.026806,0.002174,-0.042893,-0.038502
-0.033210,-0.131555,-0.019758,-0.009677,-0.151238,-0.000479,-0.013867,-0.080967,-0.004328,0.002106,-0.002029,-0.003700,-0.063518,-0.153009,-0.037468,-0.084361,-0.063426,-0.024414,-0.000824,-0.001771,-0.001667,-0.031841,-0.124531,-0.020089,-0.032346,-0.111471,-0.012721,-0.029078,-0.114393,-0.011743,-0.029889,-0.117667,-0.011713,-0.053422,-0.111567,-0.031275,-0.023635,-0.087086,-0.029361,-0.003562,-0.042709,-0.040317
-0.040955,-0.137152,-0.024529,-0.016276,-0.162983,0.001005,0.008983,-0.083302,-0.001513,0.002354,-0.003573,-0.005137,-0.075289,-0.165674,-0.047641,-0.131143,-0.056720,-0.030840,-0.002198,-0.002697,0.001232,-0.039023,-0.128514,-0.024993,-0.035921,-0.117447,-0.018279,-0.030548,-0.122907,-0.016493,-0.030012,-0.128380,-0.017014,-0.058713,-0.117499,-0.034798,-0.027022,-0.091370,-0.032611,-0.010867,-0.040963,-0.042123
-0.046860,-0.139621,-0.030640,-0.022696,-0.172516,0.002113,0.028547,-0.084956,0.001003,0.002529,-0.005217,-0.006197,-0.084508,-0.176327,-0.059783,-0.197735,-0.042430,-0.037061,-0.004797,-0.004388,0.008899,-0.044891,-0.129278,-0.031233,-0.041968,-0.121489,-0.026421,-0.033161,-0.130470,-0.023478,-0.030819,-0.138321,-0.024693,-0.063773,-0.121481,-0.038954,-0.029938,-0.094430,-0.036625,-0.019798,-0.037026,-0.043835
-0.050812,-0.138523,-0.037501,-0.029839,-0.178598,0.002630,0.040825,-0.085707,0.002900,0.002545,-0.006752,-0.006392,-0.091230,-0.183574,-0.072447,-0.284275,-0.020491,-0.040577,-0.009611,-0.007515,0.024860,-0.049142,-0.126621,-0.038221,-0.051068,-0.123313,-0.036645,-0.037482,-0.136803,-0.032176,-0.032691,-0.147242,-0.034288,-0.068572,-0.123226,-0.043243,-0.032150,-0.096086,-0.040944,-0.030249,-0.031096,-0.044922
-0.053483,-0.134002,-0.043792,-0.039362,-0.179909,0.002374,0.042337,-0.085102,0.003859,0.002373,-0.007846,-0.005354,-0.096056,-0.185799,-0.082851,-0.383784,0.006657,-0.037839,-0.017965,-0.012773,0.052386,-0.052082,-0.121083,-0.044636,-0.063636,-0.122981,-0.047397,-0.044139,-0.141949,-0.041023,-0.035841,-0.155162,-0.044353,-0.072891,-0.122817,-0.046576,-0.033530,-0.096719,-0.044532,-0.041719,-0.024159,-0.044453
