pelvis_x,pelvis_y,pelvis_z,left_hip_roll_link_x,left_hip_roll_link_y,left_hip_roll_link_z,left_knee_link_x,left_knee_link_y,left_knee_link_z,left_ankle_roll_link_x,left_ankle_roll_link_y,left_ankle_roll_link_z,right_hip_roll_link_x,right_hip_roll_link_y,right_hip_roll_link_z,right_knee_link_x,right_knee_link_y,right_knee_link_z,right_ankle_roll_link_x,right_ankle_roll_link_y,right_ankle_roll_link_z,torso_link_x,torso_link_y,torso_link_z,left_shoulder_roll_link_x,left_shoulder_roll_link_y,left_shoulder_roll_link_z,left_elbow_link_x,left_elbow_link_y,left_elbow_link_z,left_wrist_yaw_link_x,left_wrist_yaw_link_y,left_wrist_yaw_link_z,right_shoulder_roll_link_x,right_shoulder_roll_link_y,right_shoulder_roll_link_z,right_elbow_link_x,right_elbow_link_y,right_elbow_link_z,right_wrist_yaw_link_x,right_wrist_yaw_link_y,right_wrist_yaw_link_z
0.022483,-0.010694,0.788619,0.023502,-0.130687,0.658681,0.043693,-0.153708,0.354020,0.099707,-0.173688,0.042273,0.026839,0.102111,0.652428,0.037465,0.138695,0.348502,0.084964,0.169275,0.036147,0.025879,-0.009527,0.842644,-0.004672,-0.145426,1.078392,0.004200,-0.192536,0.900569,-0.049714,-0.180630,0.724763,0.000137,0.135578,1.073552,-0.016745,0.166054,0.892710,-0.085839,0.149154,0.722798
0.022572,-0.012292,0.788450,0.023876,-0.132382,0.658598,0.043311,-0.154671,0.353836,0.099743,-0.173678,0.042107,0.026928,0.100415,0.652178,0.037550,0.137819,0.348350,0.084982,0.169297,0.036072,0.025874,-0.011092,0.842480,-0.005313,-0.146812,1.078248,0.003694,-0.194034,0.900461,-0.050279,-0.181927,0.724687,-0.000162,0.134182,1.073251,-0.016874,0.164675,0.892396,-0.085567,0.148252,0.722273
0.022624,-0.014030,0.788262,0.024208,-0.134210,0.658489,0.042303,-0.155802,0.353596,0.099771,-0.173658,0.042000,0.026906,0.098587,0.651911,0.037558,0.136873,0.348192,0.085005,0.169311,0.036014,0.025837,-0.012792,0.842297,-0.005928,-0.148313,1.078101,0.003191,-0.195609,0.900340,-0.050865,-0.183350,0.724602,-0.000590,0.132674,1.072902,-0.017038,0.163269,0.892039,-0.085309,0.147367,0.721696
0.022601,-0.016047,0.788035,0.024453,-0.136306,0.658328,0.040042,-0.157277,0.353257,0.099781,-0.173632,0.042030,0.026664,0.096491,0.651613,0.037408,0.135787,0.348023,0.085037,0.169312,0.035986,0.025739,-0.014765,0.842073,-0.006494,-0.150042,1.077954,0.002693,-0.197342,0.900197,-0.051495,-0.185027,0.724503,-0.001278,0.130942,1.072458,-0.017274,0.161807,0.891598,-0.085083,0.146520,0.721015
0.022432,-0.018262,0.787787,0.024626,-0.138674,0.658222,0.038326,-0.158790,0.353006,0.099822,-0.173590,0.042064,0.026134,0.094120,0.651226,0.037032,0.134581,0.347790,0.085063,0.169312,0.035948,0.025535,-0.016907,0.841826,-0.007088,-0.151870,1.077833,0.002121,-0.199148,0.900071,-0.052114,-0.186809,0.724393,-0.002088,0.129109,1.071940,-0.017544,0.160370,0.891099,-0.084867,0.145745,0.720270
0.022192,-0.020575,0.787529,0.024763,-0.141177,0.658144,0.036875,-0.160327,0.352802,0.099862,-0.173554,0.042106,0.025459,0.091610,0.650796,0.036535,0.133315,0.347529,0.085070,0.169315,0.035909,0.025277,-0.019133,0.841566,-0.007697,-0.153749,1.077723,0.001511,-0.200991,0.899952,-0.052727,-0.188642,0.724276,-0.002961,0.127226,1.071384,-0.017834,0.158944,0.890573,-0.084658,0.145005,0.719495
0.021517,-0.023274,0.787208,0.024603,-0.144195,0.658132,0.036595,-0.161944,0.352704,0.099892,-0.173583,0.042018,0.024143,0.088573,0.650187,0.035590,0.131784,0.347138,0.085063,0.169260,0.035843,0.024647,-0.021710,0.841239,-0.008244,-0.156043,1.077568,0.000980,-0.203279,0.899796,-0.053325,-0.190979,0.724137,-0.004048,0.124932,1.070815,-0.018341,0.157163,0.890045,-0.084646,0.144042,0.718703
0.020711,-0.026064,0.786846,0.024321,-0.147368,0.658144,0.036580,-0.163597,0.352647,0.099922,-0.173640,0.041921,0.022648,0.085369,0.649477,0.034249,0.130275,0.346676,0.085043,0.169216,0.035777,0.023903,-0.024358,0.840869,-0.008824,-0.158408,1.077382,0.000430,-0.205679,0.899621,-0.053914,-0.193455,0.723968,-0.005173,0.122566,1.070211,-0.018866,0.155323,0.889486,-0.084717,0.143075,0.717901
0.019644,-0.029034,0.786401,0.023793,-0.150853,0.658208,0.037111,-0.165314,0.352668,0.099986,-0.173724,0.041802,0.020797,0.081832,0.648568,0.032132,0.128802,0.346064,0.085034,0.169171,0.035708,0.022929,-0.027148,0.840412,-0.009471,-0.160912,1.077132,-0.000154,-0.208304,0.899408,-0.054485,-0.196209,0.723743,-0.006373,0.120059,1.069536,-0.019425,0.153366,0.888860,-0.084950,0.142102,0.717076
0.018563,-0.031996,0.785755,0.023282,-0.154538,0.658278,0.038164,-0.167063,0.352728,0.100057,-0.173843,0.041622,0.018947,0.078065,0.647270,0.028436,0.127769,0.345140,0.084994,0.169159,0.035585,0.021898,-0.029881,0.839754,-0.010277,-0.163473,1.076601,-0.000788,-0.211056,0.898938,-0.055053,-0.199132,0.723242,-0.007708,0.117497,1.068721,-0.020092,0.151375,0.888099,-0.085384,0.141355,0.716158
0.017475,-0.034953,0.785008,0.022781,-0.158318,0.658357,0.039473,-0.168811,0.352825,0.100116,-0.173947,0.041437,0.017101,0.074178,0.645785,0.023958,0.126930,0.344102,0.084943,0.169106,0.035525,0.020836,-0.032585,0.838993,-0.011163,-0.166063,1.075929,-0.001447,-0.213871,0.898339,-0.055619,-0.202140,0.722602,-0.009111,0.114907,1.067835,-0.020812,0.149369,0.887271,-0.085909,0.140730,0.715199
0.016424,-0.037588,0.783784,0.022212,-0.162273,0.658464,0.041465,-0.170604,0.353016,0.100166,-0.174266,0.041220,0.015076,0.070042,0.643400,0.013056,0.127977,0.342620,0.084640,0.168868,0.036238,0.019735,-0.034860,0.837751,-0.012529,-0.168535,1.074539,-0.002335,-0.216781,0.897094,-0.056371,-0.205385,0.721296,-0.010731,0.112443,1.066640,-0.021554,0.147496,0.886124,-0.087026,0.140444,0.714117
0.015352,-0.040104,0.782582,0.021301,-0.166032,0.658527,0.042581,-0.172345,0.353165,0.100195,-0.174483,0.041147,0.013020,0.066097,0.641150,0.001461,0.129218,0.341657,0.084189,0.168441,0.037967,0.018658,-0.037046,0.836526,-0.014109,-0.170972,1.073104,-0.003336,-0.219752,0.895839,-0.057182,-0.208712,0.719960,-0.012338,0.110016,1.065493,-0.022256,0.145606,0.885018,-0.088261,0.140238,0.713152
