joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
0.058708,0.026944,-0.006232,0.083517,-0.208309,-0.009716,0.164002,-0.257797,0.089511,0.121480,0.126795,0.024395,-0.128298,-0.155043,-0.132404,0.259613,-0.205378,-0.135227,0.185541,-0.663397,0.673468,0.980440,1.019331,0.095728,-0.184156,-0.003553,0.174165,-0.093141,0.065438
0.054295,0.025339,-0.009072,0.079956,-0.211945,-0.009867,0.161978,-0.258584,0.089681,0.125420,0.126535,0.023560,-0.129408,-0.156668,-0.131796,0.259590,-0.205875,-0.129857,0.188478,-0.663036,0.671767,0.978410,1.022187,0.097678,-0.184649,-0.003412,0.173729,-0.092963,0.066029
0.048060,0.024086,-0.011886,0.076431,-0.215873,-0.009817,0.159327,-0.259886,0.090081,0.133431,0.126448,0.022362,-0.129945,-0.160687,-0.131316,0.259223,-0.206996,-0.124459,0.191435,-0.662458,0.669281,0.976702,1.024543,0.098855,-0.185287,-0.003325,0.173498,-0.092724,0.066569
0.038180,0.023534,-0.014648,0.072979,-0.220387,-0.009366,0.155426,-0.262217,0.090939,0.149583,0.126704,0.020437,-0.129333,-0.169492,-0.131091,0.258167,-0.209368,-0.119004,0.194429,-0.661447,0.665224,0.975636,1.025896,0.098489,-0.186214,-0.003348,0.173674,-0.092364,0.067009
0.031013,0.024048,-0.017733,0.068026,-0.226160,-0.009153,0.151197,-0.265214,0.092380,0.161924,0.127504,0.018212,-0.128038,-0.176502,-0.131202,0.256714,-0.212790,-0.112243,0.198173,-0.661442,0.661232,0.975356,1.026518,0.097919,-0.187488,-0.003380,0.174672,-0.091271,0.066961
0.025201,0.025093,-0.020978,0.062323,-0.232562,-0.009059,0.146804,-0.268544,0.094111,0.172360,0.128575,0.015836,-0.126402,-0.182613,-0.131479,0.255062,-0.216736,-0.104830,0.202292,-0.661940,0.657273,0.975467,1.026774,0.097248,-0.188937,-0.003418,0.176080,-0.089810,0.066670
0.025375,0.028196,-0.024194,0.053991,-0.241064,-0.010133,0.141848,-0.272782,0.095803,0.173939,0.130479,0.014471,-0.123310,-0.185777,-0.132500,0.253750,-0.220778,-0.099178,0.207258,-0.662848,0.651726,0.975313,1.027652,0.101176,-0.189828,-0.003179,0.176330,-0.090602,0.065439
0.027197,0.030901,-0.027363,0.044764,-0.250638,-0.011736,0.137008,-0.276668,0.097470,0.173331,0.134465,0.013492,-0.119720,-0.188199,-0.134472,0.252682,-0.224782,-0.093411,0.212637,-0.664095,0.644881,0.975171,1.028465,0.103764,-0.191530,-0.003026,0.175841,-0.091415,0.064283
0.032317,0.032812,-0.030438,0.033746,-0.262357,-0.014395,0.132398,-0.279847,0.099086,0.168347,0.142618,0.013282,-0.115131,-0.189138,-0.138345,0.252102,-0.228711,-0.087417,0.218842,-0.666019,0.635443,0.975053,1.029148,0.103670,-0.194855,-0.003047,0.173876,-0.092270,0.063278
0.038458,0.028310,-0.032734,0.020885,-0.277421,-0.019210,0.129214,-0.280083,0.100271,0.159926,0.161647,0.013363,-0.110611,-0.188308,-0.147037,0.252375,-0.231994,-0.082230,0.224287,-0.667567,0.622385,0.974710,1.028931,0.102140,-0.197517,-0.003499,0.176197,-0.092069,0.060943
