pelvis_x,pelvis_y,pelvis_z,left_hip_roll_link_x,left_hip_roll_link_y,left_hip_roll_link_z,left_knee_link_x,left_knee_link_y,left_knee_link_z,left_ankle_roll_link_x,left_ankle_roll_link_y,left_ankle_roll_link_z,right_hip_roll_link_x,right_hip_roll_link_y,right_hip_roll_link_z,right_knee_link_x,right_knee_link_y,right_knee_link_z,right_ankle_roll_link_x,right_ankle_roll_link_y,right_ankle_roll_link_z,torso_link_x,torso_link_y,torso_link_z,left_shoulder_roll_link_x,left_shoulder_roll_link_y,left_shoulder_roll_link_z,left_elbow_link_x,left_elbow_link_y,left_elbow_link_z,left_wrist_yaw_link_x,left_wrist_yaw_link_y,left_wrist_yaw_link_z,right_shoulder_roll_link_x,right_shoulder_roll_link_y,right_shoulder_roll_link_z,right_elbow_link_x,right_elbow_link_y,right_elbow_link_z,right_wrist_yaw_link_x,right_wrist_yaw_link_y,right_wrist_yaw_link_z
-0.398781,0.267325,-0.274111,0.657584,0.196680,-0.301105,0.630086,0.228417,-0.030027,0.024044,0.105091,-0.004922,0.629278,0.608932,0.045933,0.583409,-0.405598,0.063106,0.185210,-0.126949,0.014224,-0.019463,-0.104607,-0.245499,-0.104713,-0.198371,-0.274954,-0.151603,-0.392909,0.254234,-0.081906,-0.504580,0.475949,0.035791,-0.251396,-0.214424,0.053004,-0.144521,0.041117,0.241127,-0.135507,-0.155757
-0.397252,0.258565,-0.273801,0.670039,0.172789,-0.302431,0.617621,0.245769,-0.023660,0.019822,0.102813,0.000460,0.630496,0.553060,0.037964,0.587235,-0.361570,0.051262,0.171859,-0.114462,0.009536,-0.022865,-0.102071,-0.255043,-0.146349,-0.175984,-0.279842,-0.201098,-0.371648,0.229081,-0.127300,-0.475464,0.413510,0.039421,-0.278061,-0.217125,0.058588,-0.188180,0.015413,0.191332,-0.163956,-0.112904
-0.394828,0.236550,-0.270359,0.689702,0.136876,-0.300896,0.597250,0.276677,-0.012874,0.016333,0.100777,0.008311,0.630417,0.487278,0.030863,0.591413,-0.305104,0.037302,0.152378,-0.101244,0.004821,-0.026845,-0.098260,-0.263320,-0.198988,-0.149247,-0.283074,-0.266402,-0.343471,0.176431,-0.190795,-0.439741,0.317105,0.034378,-0.308606,-0.216065,0.061924,-0.242687,0.002261,0.124759,-0.210739,-0.051164
-0.391901,0.198778,-0.261053,0.715501,0.090930,-0.293392,0.569912,0.320113,0.002037,0.014646,0.099998,0.018094,0.627929,0.423152,0.028147,0.594900,-0.243179,0.023366,0.128746,-0.090293,0.001021,-0.030368,-0.093796,-0.267690,-0.256257,-0.123058,-0.283220,-0.339772,-0.309694,0.086274,-0.267760,-0.399771,0.181034,0.016010,-0.337476,-0.209537,0.059788,-0.300007,0.012630,0.048361,-0.273642,0.026026
-0.389021,0.149521,-0.243120,0.743843,0.039547,-0.276643,0.539107,0.369196,0.019342,0.014694,0.101081,0.028819,0.622125,0.370149,0.033296,0.596723,-0.183293,0.011425,0.105203,-0.083181,-0.001366,-0.032494,-0.089704,-0.267136,-0.311148,-0.102289,-0.280264,-0.410621,-0.271439,-0.045343,-0.349438,-0.354827,0.002513,-0.014957,-0.359301,-0.198295,0.050971,-0.352288,0.043554,-0.027858,-0.343684,0.108191
-0.386021,0.099193,-0.214717,0.770098,-0.013043,-0.248141,0.508804,0.414261,0.036768,0.015359,0.104119,0.039626,0.612305,0.330618,0.048535,0.596283,-0.129712,0.002330,0.086491,-0.079256,-0.002574,-0.033101,-0.086638,-0.261965,-0.358515,-0.089942,-0.275032,-0.469404,-0.229384,-0.214328,-0.425137,-0.301149,-0.216595,-0.051912,-0.369987,-0.184854,0.037423,-0.395294,0.076243,-0.093869,-0.408623,0.178450
-0.381411,0.059732,-0.176014,0.790497,-0.065233,-0.207285,0.481127,0.447702,0.052227,0.015269,0.109579,0.049882,0.598003,0.299824,0.073827,0.593406,-0.082417,-0.004454,0.075270,-0.076579,-0.003484,-0.033047,-0.084267,-0.252397,-0.396302,-0.086658,-0.267884,-0.510561,-0.184299,-0.409381,-0.484655,-0.235820,-0.468749,-0.085945,-0.367224,-0.171251,0.022848,-0.427806,0.087986,-0.141848,-0.457555,0.218983
-0.372850,0.039297,-0.129803,0.802883,-0.117380,-0.156192,0.456001,0.466417,0.063486,0.013262,0.118966,0.058514,0.579334,0.270394,0.106517,0.588203,-0.039370,-0.010187,0.070466,-0.073378,-0.005127,-0.033483,-0.081316,-0.237778,-0.425426,-0.090997,-0.258050,-0.533668,-0.137732,-0.613995,-0.520608,-0.160913,-0.741097,-0.110295,-0.350847,-0.157482,0.010359,-0.448686,0.067832,-0.167875,-0.483931,0.219236
-0.358303,0.039054,-0.080698,0.806196,-0.169337,-0.099244,0.432669,0.470718,0.067683,0.008163,0.134127,0.063585,0.557345,0.237783,0.142208,0.580882,0.000035,-0.015715,0.067760,-0.068697,-0.008040,-0.034913,-0.076140,-0.216815,-0.448263,-0.099966,-0.243840,-0.542828,-0.092658,-0.808862,-0.530693,-0.083879,-1.016502,-0.122359,-0.322360,-0.141674,0.001564,-0.455472,0.022350,-0.172890,-0.486985,0.180595
-0.336665,0.052686,-0.033054,0.799975,-0.219139,-0.041297,0.411043,0.462371,0.062283,-0.001289,0.156393,0.063354,0.533871,0.202916,0.176531,0.571640,0.033686,-0.020771,0.061791,-0.062192,-0.011876,-0.036952,-0.067340,-0.188018,-0.466496,-0.109951,-0.223105,-0.544676,-0.053707,-0.974908,-0.519286,-0.014009,-1.274762,-0.123050,-0.283800,-0.121134,-0.003031,-0.445431,-0.030583,-0.161846,-0.471358,0.114852
-0.307497,0.068910,0.010745,0.784695,-0.264133,0.014096,0.391609,0.443999,0.047127,-0.015560,0.186890,0.058156,0.510944,0.170400,0.206588,0.560762,0.058709,-0.024214,0.048585,-0.053878,-0.015514,-0.039058,-0.054085,-0.150034,-0.479930,-0.117834,-0.193699,-0.545800,-0.026110,-1.096426,-0.496718,0.041426,-1.494329,-0.115249,-0.237182,-0.093250,-0.003709,-0.417148,-0.071500,-0.141766,-0.443631,0.040094
-0.270864,0.077103,0.050480,0.762150,-0.303159,0.065403,0.374570,0.419016,0.025159,-0.032734,0.226918,0.050753,0.490155,0.144347,0.231469,0.548826,0.074111,-0.024859,0.027013,-0.044192,-0.017601,-0.041414,-0.036008,-0.102238,-0.486821,-0.121290,-0.154149,-0.550617,-0.013357,-1.162866,-0.475180,0.078207,-1.653999,-0.102422,-0.184810,-0.056253,-0.001524,-0.371085,-0.085632,-0.120404,-0.406895,-0.022314
-0.227873,0.073078,0.087689,0.734807,-0.337814,0.113369,0.359411,0.390536,0.000741,-0.047621,0.276776,0.044324,0.472104,0.125666,0.252531,0.536623,0.081394,-0.022185,-0.001209,-0.033999,-0.017203,-0.044909,-0.012877,-0.045393,-0.484881,-0.118163,-0.104290,-0.560412,-0.015126,-1.169034,-0.463352,0.093919,-1.734281,-0.087537,-0.129718,-0.009771,0.001892,-0.309064,-0.064851,-0.104582,-0.357884,-0.050828
-0.181148,0.060460,0.125748,0.704513,-0.371969,0.161397,0.345143,0.359903,-0.022616,-0.053115,0.333800,0.040257,0.455965,0.112622,0.273727,0.524707,0.083305,-0.016546,-0.032736,-0.024278,-0.014195,-0.050187,0.015462,0.018427,-0.472139,-0.106268,-0.045267,-0.573415,-0.027187,-1.114920,-0.463355,0.087175,-1.720205,-0.072460,-0.075649,0.045306,0.004584,-0.233302,-0.006931,-0.096819,-0.289759,-0.029018
-0.134460,0.047125,0.169512,0.672064,-0.409970,0.214957,0.330968,0.326588,-0.042715,-0.044005,0.391451,0.038255,0.439648,0.103062,0.300888,0.513009,0.082477,-0.008956,-0.063767,-0.015885,-0.009219,-0.056700,0.048675,0.086866,-0.447642,-0.084612,0.021121,-0.585061,-0.043125,-1.006107,-0.471136,0.058689,-1.607359,-0.057998,-0.026194,0.107617,0.004642,-0.145961,0.085977,-0.093416,-0.198185,0.049047
-0.091731,0.040503,0.223256,0.638223,-0.454659,0.279067,0.316884,0.289709,-0.057174,-0.020728,0.440421,0.038606,0.420861,0.095802,0.339232,0.501021,0.080782,-0.000711,-0.090246,-0.009576,-0.003338,-0.062691,0.085445,0.158353,-0.412027,-0.055052,0.093071,-0.588294,-0.056439,-0.854074,-0.478858,0.013129,-1.407757,-0.044361,0.016631,0.175934,0.000915,-0.049679,0.208291,-0.087557,-0.085663,0.177585
-0.056025,0.044884,0.288026,0.604923,-0.506219,0.355259,0.303786,0.249510,-0.061772,0.010497,0.471484,0.044377,0.398475,0.090416,0.390549,0.488399,0.079157,0.006951,-0.107870,-0.005949,0.002329,-0.066036,0.123535,0.232449,-0.367751,-0.022614,0.169030,-0.574572,-0.061990,-0.674483,-0.477612,-0.040143,-1.148446,-0.031459,0.053131,0.249277,-0.006305,0.051656,0.351569,-0.074483,0.038691,0.342209
-0.028889,0.060636,0.360689,0.575203,-0.561988,0.440430,0.292942,0.207297,-0.049952,0.041740,0.478716,0.061943,0.373136,0.086478,0.452197,0.475372,0.077738,0.013056,-0.113434,-0.005141,0.006832,-0.065272,0.160422,0.309548,-0.318940,0.006022,0.247739,-0.536125,-0.056620,-0.482906,-0.459339,-0.088355,-0.861620,-0.018873,0.085104,0.326921,-0.015299,0.152744,0.505659,-0.053325,0.163136,0.523824
-0.010261,0.084338,0.435364,0.552018,-0.616748,0.528201,0.285343,0.164089,-0.013355,0.068300,0.460913,0.100052,0.346803,0.083324,0.518399,0.462661,0.076334,0.017005,-0.106941,-0.006712,0.009504,-0.060156,0.194056,0.390176,-0.270805,0.025177,0.328181,-0.469085,-0.039273,-0.289726,-0.417949,-0.118148,-0.572810,-0.005904,0.114140,0.408341,-0.023780,0.247484,0.660333,-0.025761,0.278098,0.702353
0.001003,0.109683,0.505743,0.537196,-0.663555,0.611352,0.281071,0.119791,0.057212,0.091347,0.420270,0.167958,0.321735,0.080276,0.582535,0.451039,0.074922,0.018663,-0.092090,-0.009871,0.010085,-0.051545,0.223411,0.473803,-0.228100,0.033010,0.409163,-0.376358,-0.010967,-0.096971,-0.351014,-0.118779,-0.293686,0.007878,0.140393,0.492577,-0.030360,0.330250,0.806594,0.004644,0.378528,0.862212
0.006252,0.129265,0.566463,0.530995,-0.695689,0.683485,0.278085,0.074652,0.169324,0.117839,0.359999,0.271589,0.299739,0.076721,0.638715,0.440948,0.073651,0.018417,-0.074296,-0.013640,0.008845,-0.040778,0.248768,0.557527,-0.193032,0.033037,0.488482,-0.267984,0.025587,0.100341,-0.262012,-0.085287,-0.022080,0.021924,0.162434,0.577155,-0.035747,0.397347,0.937305,0.032237,0.462674,0.996841
0.006466,0.136790,0.613124,0.530671,-0.709431,0.739163,0.270001,0.032823,0.322094,0.158421,0.283504,0.405452,0.281899,0.071898,0.682097,0.432305,0.072409,0.017066,-0.058190,-0.016883,0.006522,-0.028878,0.271439,0.635832,-0.164351,0.032678,0.562374,-0.157271,0.067228,0.308152,-0.160440,-0.021432,0.251590,0.034860,0.177848,0.657673,-0.042395,0.447469,1.047334,0.051168,0.529321,1.106011
0.002670,0.128793,0.642396,0.526506,-0.706129,0.773457,0.243984,0.005303,0.494266,0.220796,0.195546,0.541442,0.268343,0.064898,0.708977,0.424347,0.070673,0.015467,-0.046346,-0.018642,0.003976,-0.015979,0.292752,0.702145,-0.138604,0.039237,0.626113,-0.054967,0.111697,0.526039,-0.058435,0.059668,0.535033,0.045674,0.184164,0.728735,-0.052482,0.480692,1.133080,0.058824,0.576182,1.187204
-0.003086,0.105309,0.653463,0.497889,-0.692011,0.782425,0.181660,0.009098,0.635034,0.295116,0.102852,0.624230,0.257840,0.055286,0.717901,0.415524,0.068011,0.014115,-0.039090,-0.018710,0.001756,-0.001425,0.312663,0.751230,-0.112485,0.056260,0.675618,0.033657,0.157720,0.743824,0.033856,0.139915,0.826528,0.054654,0.179752,0.785593,-0.066091,0.496955,1.191441,0.057175,0.600224,1.231098
-0.007412,0.069541,0.649886,0.416791,-0.675874,0.764955,0.064656,0.062311,0.674436,0.339588,0.014082,0.588241,0.247805,0.043888,0.711308,0.403840,0.064682,0.013023,-0.034765,-0.017630,-0.000043,0.015192,0.328922,0.780821,-0.084571,0.082606,0.708994,0.107561,0.204111,0.944064,0.111443,0.204352,1.111168,0.062747,0.164397,0.825323,-0.081201,0.495173,1.219068,0.051172,0.599039,1.226646
-0.006323,0.026629,0.639335,0.262982,-0.666046,0.724669,-0.117533,0.177850,0.562700,0.290228,-0.056653,0.398770,0.235331,0.032821,0.695547,0.387744,0.061582,0.012100,-0.030581,-0.015846,-0.001409,0.032831,0.337676,0.791895,-0.055528,0.113797,0.727065,0.167782,0.249367,1.107573,0.175003,0.247400,1.362039,0.069971,0.139781,0.847157,-0.094704,0.473435,1.212629,0.046187,0.571925,1.170056
0.003728,-0.018195,0.630232,0.042925,-0.667548,0.669947,-0.362314,0.358809,0.318640,0.104979,-0.083037,0.092448,0.218711,0.024430,0.678043,0.366929,0.059585,0.011748,-0.024116,-0.013057,-0.001845,0.048994,0.335260,0.787991,-0.026867,0.143851,0.732769,0.216913,0.292013,1.217914,0.228821,0.273227,1.547219,0.074899,0.110094,0.852205,-0.102527,0.429897,1.169341,0.045350,0.519282,1.068944
0.024720,-0.060789,0.627527,-0.205254,-0.679316,0.611375,-0.653859,0.596250,0.042021,-0.193307,-0.029491,-0.222145,0.198263,0.019915,0.663546,0.342405,0.058976,0.013007,-0.014930,-0.008732,-0.000288,0.061214,0.319770,0.773931,0.000854,0.166972,0.729921,0.259000,0.330695,1.263945,0.277490,0.291623,1.640158,0.075756,0.081883,0.842725,-0.099124,0.363883,1.087563,0.047925,0.440773,0.939234
0.055484,-0.097572,0.630894,-0.429769,-0.691972,0.557816,-0.966611,0.868594,-0.134759,-0.524942,0.125956,-0.416752,0.175880,0.018687,0.652676,0.315991,0.059378,0.016821,-0.005082,-0.003182,0.004105,0.068692,0.291314,0.754124,0.028976,0.179451,0.721930,0.297924,0.363666,1.241869,0.323277,0.312987,1.627917,0.071690,0.061733,0.821226,-0.078629,0.276891,0.968972,0.051491,0.335104,0.797933
0.090640,-0.124334,0.636327,-0.593532,-0.688205,0.513526,-1.270325,1.142551,-0.122208,-0.809800,0.363650,-0.411873,0.153874,0.018821,0.643536,0.289766,0.060047,0.022894,0.002359,0.002169,0.010827,0.072666,0.251498,0.731238,0.060130,0.181437,0.711051,0.334984,0.388563,1.157512,0.364900,0.344126,1.514992,0.062912,0.052640,0.790058,-0.038363,0.173568,0.822544,0.057011,0.203390,0.657199
0.121902,-0.136571,0.639522,-0.690203,-0.647996,0.478249,-1.536285,1.378022,0.084886,-1.016413,0.619655,-0.208279,0.134001,0.018131,0.634466,0.265710,0.060268,0.029254,0.005708,0.005585,0.017691,0.075450,0.203297,0.706239,0.096539,0.177228,0.698547,0.368128,0.403253,1.027232,0.397934,0.385193,1.323493,0.050108,0.052483,0.751818,0.018138,0.062274,0.666069,0.069776,0.053428,0.524867
0.141678,-0.131731,0.638979,-0.739077,-0.557846,0.450138,-1.744355,1.538693,0.423855,-1.163613,0.818203,0.133148,0.117015,0.015231,0.626006,0.245366,0.059765,0.033323,0.005401,0.006090,0.021985,0.078943,0.151144,0.679658,0.138450,0.173498,0.685469,0.393625,0.407275,0.875353,0.417178,0.428883,1.089417,0.034043,0.056677,0.709782,0.081954,-0.046098,0.520249,0.092514,-0.100019,0.410564
0.146325,-0.111316,0.637506,-0.769318,-0.419214,0.429087,-1.887834,1.603670,0.808260,-1.287478,0.912488,0.532029,0.102575,0.010075,0.621523,0.229390,0.058939,0.033925,0.002501,0.004093,0.022489,0.083602,0.100395,0.652877,0.183688,0.176342,0.673320,0.408690,0.402560,0.728496,0.419862,0.463311,0.855327,0.015609,0.062725,0.667636,0.143190,-0.141268,0.398180,0.118747,-0.239596,0.327655
0.136671,-0.080574,0.641403,-0.807634,-0.250508,0.417721,-1.972460,1.571526,1.160504,-1.410733,0.899018,0.915167,0.089433,0.003739,0.626394,0.217313,0.058708,0.032475,-0.002847,0.001287,0.020661,0.088405,0.055948,0.628442,0.228458,0.188750,0.664051,0.413101,0.392656,0.609264,0.406952,0.478098,0.661404,-0.004094,0.072320,0.628768,0.195246,-0.216631,0.299993,0.136793,-0.350646,0.284232
0.116230,-0.045539,0.657795,-0.874068,-0.081355,0.419678,-2.010424,1.453944,1.422137,-1.535629,0.800346,1.223620,0.075907,-0.002434,0.646081,0.207823,0.060013,0.032094,-0.011436,-0.000318,0.019698,0.091634,0.020765,0.609429,0.268705,0.209518,0.659546,0.409323,0.381191,0.531574,0.382082,0.470542,0.536133,-0.023927,0.089547,0.595801,0.235869,-0.269825,0.217886,0.141144,-0.424639,0.272348
