pelvis_x,pelvis_y,pelvis_z,left_hip_roll_link_x,left_hip_roll_link_y,left_hip_roll_link_z,left_knee_link_x,left_knee_link_y,left_knee_link_z,left_ankle_roll_link_x,left_ankle_roll_link_y,left_ankle_roll_link_z,right_hip_roll_link_x,right_hip_roll_link_y,right_hip_roll_link_z,right_knee_link_x,right_knee_link_y,right_knee_link_z,right_ankle_roll_link_x,right_ankle_roll_link_y,right_ankle_roll_link_z,torso_link_x,torso_link_y,torso_link_z,left_shoulder_roll_link_x,left_shoulder_roll_link_y,left_shoulder_roll_link_z,left_elbow_link_x,left_elbow_link_y,left_elbow_link_z,left_wrist_yaw_link_x,left_wrist_yaw_link_y,left_wrist_yaw_link_z,right_shoulder_roll_link_x,right_shoulder_roll_link_y,right_shoulder_roll_link_z,right_elbow_link_x,right_elbow_link_y,right_elbow_link_z,right_wrist_yaw_link_x,right_wrist_yaw_link_y,right_wrist_yaw_link_z
0.126780,-0.339968,0.038896,0.125905,-0.392192,-0.007519,0.072685,-0.196696,-0.002539,0.000621,-0.002800,0.008294,0.049425,-0.397046,0.080168,-0.132039,-0.193003,0.010627,-0.001774,-0.013341,-0.035143,0.140579,-0.324267,0.040809,0.150070,-0.332515,0.043689,0.205619,-0.346520,0.044236,0.274703,-0.358088,0.062545,0.083057,-0.326783,0.046127,0.113540,-0.314424,0.040737,0.138501,-0.303853,0.046788
0.123491,-0.339777,0.036275,0.123394,-0.392035,-0.009881,0.076411,-0.193535,-0.004577,0.000918,-0.002837,0.008781,0.047939,-0.396295,0.078056,-0.120419,-0.193272,0.012590,-0.001545,-0.012127,-0.031187,0.137053,-0.324050,0.038059,0.147969,-0.332097,0.040478,0.200166,-0.352584,0.039264,0.266162,-0.371995,0.056775,0.079031,-0.326023,0.043650,0.113684,-0.313148,0.037918,0.143973,-0.302696,0.045346
0.119010,-0.339383,0.032166,0.120762,-0.391640,-0.013581,0.083551,-0.188082,-0.007957,0.001323,-0.003022,0.009502,0.046912,-0.395075,0.074608,-0.104467,-0.193531,0.014433,-0.001220,-0.010575,-0.026653,0.131789,-0.323643,0.033718,0.144395,-0.331311,0.035505,0.191904,-0.360768,0.031877,0.253678,-0.392153,0.048312,0.073636,-0.324836,0.039645,0.113591,-0.312485,0.033827,0.151518,-0.301932,0.043310
0.113761,-0.338686,0.026589,0.118643,-0.390920,-0.018615,0.094470,-0.180193,-0.012651,0.001815,-0.003362,0.010485,0.047194,-0.393335,0.069796,-0.085853,-0.193603,0.015503,-0.000892,-0.008850,-0.022415,0.124980,-0.322955,0.027789,0.139155,-0.330113,0.028891,0.181091,-0.370306,0.022439,0.237708,-0.417595,0.037628,0.067337,-0.323250,0.034024,0.112908,-0.313305,0.028665,0.160122,-0.302384,0.040782
0.108295,-0.337593,0.019940,0.117155,-0.389829,-0.024651,0.108020,-0.170496,-0.018172,0.002360,-0.003780,0.011692,0.049271,-0.391088,0.063949,-0.066956,-0.193298,0.015430,-0.000677,-0.007151,-0.019122,0.117209,-0.321902,0.020688,0.132447,-0.328556,0.021224,0.168670,-0.380129,0.011909,0.219325,-0.446087,0.025808,0.060710,-0.321375,0.027097,0.111214,-0.316014,0.022882,0.168139,-0.304683,0.037947
0.102978,-0.336040,0.012868,0.115565,-0.388311,-0.031085,0.121842,-0.160139,-0.023704,0.002952,-0.004206,0.013044,0.052899,-0.388338,0.057616,-0.049621,-0.192500,0.014333,-0.000620,-0.005651,-0.016868,0.109220,-0.320435,0.013127,0.124809,-0.326694,0.013330,0.155895,-0.389208,0.001468,0.199671,-0.474815,0.014104,0.054279,-0.319293,0.019537,0.108173,-0.320124,0.017032,0.173975,-0.308858,0.035041
0.097828,-0.333993,0.006092,0.112574,-0.386193,-0.037156,0.133514,-0.150183,-0.028361,0.003634,-0.004653,0.014538,0.057159,-0.384973,0.051318,-0.034405,-0.191183,0.012684,-0.000675,-0.004456,-0.015271,0.101624,-0.318559,0.005910,0.116863,-0.324454,0.005968,0.143833,-0.396739,-0.007889,0.179544,-0.501128,0.003516,0.048519,-0.316948,0.012212,0.103735,-0.324396,0.011669,0.176663,-0.314259,0.032336
0.092572,-0.331430,0.000236,0.107009,-0.383165,-0.042079,0.141540,-0.141152,-0.031389,0.004439,-0.005157,0.016356,0.060831,-0.380759,0.045405,-0.020858,-0.189363,0.011017,-0.000775,-0.003574,-0.013796,0.094690,-0.316317,-0.000266,0.109042,-0.321627,-0.000342,0.132994,-0.402237,-0.015565,0.159295,-0.523123,-0.005373,0.043898,-0.314164,0.005950,0.098235,-0.327435,0.007268,0.175956,-0.319801,0.030074
0.086844,-0.328329,-0.004257,0.098423,-0.378883,-0.045210,0.145504,-0.133091,-0.032261,0.005350,-0.005613,0.018818,0.062859,-0.375433,0.040055,-0.008494,-0.187015,0.009701,-0.000888,-0.002908,-0.012055,0.088313,-0.313761,-0.004920,0.101442,-0.318013,-0.005307,0.123237,-0.405561,-0.021323,0.139010,-0.539887,-0.012281,0.040814,-0.310801,0.001318,0.092267,-0.328292,0.004134,0.172053,-0.324279,0.028351
0.080385,-0.324719,-0.007162,0.087287,-0.373136,-0.046151,0.145680,-0.125926,-0.030685,0.006343,-0.005750,0.022237,0.062762,-0.368863,0.035323,0.002493,-0.184047,0.008854,-0.000999,-0.002294,-0.009946,0.082114,-0.310969,-0.007839,0.093829,-0.313595,-0.008805,0.113896,-0.406797,-0.025146,0.118787,-0.551339,-0.017022,0.039484,-0.306917,-0.001496,0.086395,-0.326737,0.002333,0.165297,-0.326649,0.027066
