pelvis_x,pelvis_y,pelvis_z,left_hip_roll_link_x,left_hip_roll_link_y,left_hip_roll_link_z,left_knee_link_x,left_knee_link_y,left_knee_link_z,left_ankle_roll_link_x,left_ankle_roll_link_y,left_ankle_roll_link_z,right_hip_roll_link_x,right_hip_roll_link_y,right_hip_roll_link_z,right_knee_link_x,right_knee_link_y,right_knee_link_z,right_ankle_roll_link_x,right_ankle_roll_link_y,right_ankle_roll_link_z,torso_link_x,torso_link_y,torso_link_z,left_shoulder_roll_link_x,left_shoulder_roll_link_y,left_shoulder_roll_link_z,left_elbow_link_x,left_elbow_link_y,left_elbow_link_z,left_wrist_yaw_link_x,left_wrist_yaw_link_y,left_wrist_yaw_link_z,right_shoulder_roll_link_x,right_shoulder_roll_link_y,right_shoulder_roll_link_z,right_elbow_link_x,right_elbow_link_y,right_elbow_link_z,right_wrist_yaw_link_x,right_wrist_yaw_link_y,right_wrist_yaw_link_z
-0.025380,-0.003497,0.773809,-0.027441,0.113888,0.642357,-0.078477,0.104280,0.339960,-0.162639,0.086786,0.034869,-0.009454,-0.118535,0.640414,0.032651,-0.189338,0.345566,0.007398,-0.255418,0.036005,-0.033413,-0.003640,0.827355,0.017455,0.131013,1.060426,0.030466,0.177686,0.882751,0.077172,0.184250,0.704568,-0.004751,-0.149175,1.057523,-0.018687,-0.196669,0.880101,0.025877,-0.204172,0.701771
-0.022771,-0.010299,0.774636,-0.024850,0.106044,0.642251,-0.077065,0.100298,0.339942,-0.162634,0.086727,0.035023,-0.008414,-0.126490,0.642054,0.029755,-0.193192,0.345716,0.007359,-0.255716,0.035193,-0.030530,-0.010128,0.828222,0.020491,0.124358,1.061361,0.034685,0.170895,0.883735,0.082844,0.177381,0.705936,-0.002995,-0.155725,1.058490,-0.016423,-0.203005,0.880974,0.028530,-0.210288,0.702739
-0.020256,-0.017101,0.775418,-0.022386,0.098192,0.642106,-0.075674,0.096334,0.339919,-0.162597,0.086683,0.035215,-0.007473,-0.134429,0.643673,0.027163,-0.197040,0.346011,0.007304,-0.255941,0.034603,-0.027723,-0.016615,0.829043,0.023505,0.117699,1.062240,0.038798,0.163913,0.884616,0.088313,0.170163,0.707181,-0.001372,-0.162262,1.059420,-0.014146,-0.209248,0.881780,0.031315,-0.216336,0.703665
-0.017932,-0.023903,0.776113,-0.020163,0.090330,0.641874,-0.074370,0.092403,0.339835,-0.162598,0.086652,0.035386,-0.006725,-0.142356,0.645231,0.025230,-0.200945,0.346451,0.007294,-0.256144,0.034247,-0.025068,-0.023097,0.829777,0.026474,0.111034,1.063013,0.042693,0.156561,0.885288,0.093367,0.162267,0.708162,-0.000005,-0.168781,1.060277,-0.011835,-0.215305,0.882452,0.034371,-0.222242,0.704512
-0.015753,-0.030682,0.776582,-0.017873,0.082516,0.641448,-0.072371,0.088886,0.339506,-0.162563,0.086578,0.035580,-0.005867,-0.150209,0.646570,0.023893,-0.204843,0.346815,0.007296,-0.256298,0.033897,-0.022655,-0.029561,0.830269,0.029229,0.104450,1.063499,0.046176,0.149013,0.885593,0.097926,0.153601,0.708745,0.001256,-0.175219,1.060910,-0.009547,-0.221474,0.882951,0.037800,-0.228185,0.705296
-0.013647,-0.037449,0.776938,-0.015552,0.074721,0.640929,-0.069994,0.085566,0.339087,-0.162443,0.086452,0.035832,-0.004955,-0.158020,0.647804,0.022858,-0.208723,0.347172,0.007314,-0.256402,0.033602,-0.020363,-0.036017,0.830638,0.031873,0.097908,1.063840,0.049446,0.141364,0.885719,0.102227,0.144546,0.709144,0.002462,-0.181614,1.061432,-0.007272,-0.227702,0.883369,0.041417,-0.234156,0.706063
-0.011679,-0.044164,0.777061,-0.013096,0.066969,0.640189,-0.067104,0.082636,0.338468,-0.162450,0.086382,0.036139,-0.003806,-0.165762,0.648836,0.022242,-0.212589,0.347417,0.007278,-0.256494,0.033269,-0.018366,-0.042420,0.830752,0.034201,0.091387,1.063949,0.052281,0.133309,0.885510,0.105893,0.134344,0.709162,0.003399,-0.187984,1.061675,-0.005047,-0.234271,0.883601,0.045105,-0.240422,0.706696
-0.009750,-0.050847,0.777094,-0.010715,0.059222,0.639353,-0.064162,0.079754,0.337812,-0.162369,0.086299,0.036455,-0.002589,-0.173470,0.649802,0.021681,-0.216411,0.347657,0.007259,-0.256549,0.032981,-0.016427,-0.048789,0.830771,0.036456,0.084884,1.063975,0.055002,0.125214,0.885217,0.109336,0.123904,0.709094,0.004274,-0.194330,1.061811,-0.002951,-0.240892,0.883758,0.048769,-0.246769,0.707299
-0.007898,-0.057464,0.776945,-0.008474,0.051497,0.638316,-0.061186,0.076984,0.337017,-0.162267,0.086235,0.036695,-0.001229,-0.181124,0.650629,0.021216,-0.220187,0.347816,0.007247,-0.256598,0.032667,-0.014605,-0.055088,0.830601,0.038572,0.078414,1.063837,0.057505,0.117044,0.884747,0.112348,0.112997,0.708827,0.005028,-0.200638,1.061733,-0.001112,-0.247608,0.883750,0.052386,-0.253257,0.707818
-0.006203,-0.064013,0.776752,-0.006544,0.043930,0.637308,-0.058094,0.074456,0.336275,-0.162136,0.086084,0.037059,0.000182,-0.188601,0.651334,0.021302,-0.223919,0.347965,0.007244,-0.256657,0.032420,-0.012926,-0.061345,0.830387,0.040488,0.072075,1.063620,0.059847,0.108847,0.884191,0.114878,0.101841,0.708422,0.005741,-0.206828,1.061647,0.000633,-0.254268,0.883756,0.055854,-0.259920,0.708359
