pelvis_qw,pelvis_qx,pelvis_qy,pelvis_qz,left_hip_roll_link_qw,left_hip_roll_link_qx,left_hip_roll_link_qy,left_hip_roll_link_qz,left_knee_link_qw,left_knee_link_qx,left_knee_link_qy,left_knee_link_qz,left_ankle_roll_link_qw,left_ankle_roll_link_qx,left_ankle_roll_link_qy,left_ankle_roll_link_qz,right_hip_roll_link_qw,right_hip_roll_link_qx,right_hip_roll_link_qy,right_hip_roll_link_qz,right_knee_link_qw,right_knee_link_qx,right_knee_link_qy,right_knee_link_qz,right_ankle_roll_link_qw,right_ankle_roll_link_qx,right_ankle_roll_link_qy,right_ankle_roll_link_qz,torso_link_qw,torso_link_qx,torso_link_qy,torso_link_qz,left_shoulder_roll_link_qw,left_shoulder_roll_link_qx,left_shoulder_roll_link_qy,left_shoulder_roll_link_qz,left_elbow_link_qw,left_elbow_link_qx,left_elbow_link_qy,left_elbow_link_qz,left_wrist_yaw_link_qw,left_wrist_yaw_link_qx,left_wrist_yaw_link_qy,left_wrist_yaw_link_qz,right_shoulder_roll_link_qw,right_shoulder_roll_link_qx,right_shoulder_roll_link_qy,right_shoulder_roll_link_qz,right_elbow_link_qw,right_elbow_link_qx,right_elbow_link_qy,right_elbow_link_qz,right_wrist_yaw_link_qw,right_wrist_yaw_link_qx,right_wrist_yaw_link_qy,right_wrist_yaw_link_qz
0.999129,0.004187,-0.038038,0.016635,0.998779,0.045200,0.011433,0.016355,0.953436,0.007204,0.143662,0.265084,0.965029,-0.004426,0.001502,0.262101,0.980129,-0.120869,-0.157224,-0.004227,0.992018,-0.106874,0.035565,-0.056684,0.998499,0.008449,0.000992,-0.054107,0.996514,0.008121,0.074700,-0.036246,0.988323,0.141688,0.004564,-0.055861,0.734374,0.320763,0.544449,-0.247752,0.754038,0.344377,0.532605,-0.170774,0.987705,-0.137373,0.070713,-0.023811,0.758546,-0.233859,0.582441,0.175160,0.816899,-0.137072,0.560252,-0.002329
0.999277,0.000133,-0.035328,0.014059,0.998482,0.051730,0.013387,0.013368,0.953146,0.013932,0.144042,0.265652,0.965055,-0.003835,0.002467,0.262006,0.981922,-0.114666,-0.150554,-0.003803,0.992817,-0.100907,0.031243,-0.056175,0.998493,0.010510,-0.000352,-0.053869,0.996509,0.008180,0.073613,-0.038527,0.988253,0.141316,0.001907,-0.058157,0.737604,0.319671,0.541985,-0.244957,0.757945,0.342180,0.530295,-0.164983,0.987831,-0.136974,0.068891,-0.026119,0.759000,-0.234245,0.581465,0.175919,0.817937,-0.133485,0.559603,-0.002462
0.999400,-0.003926,-0.032444,0.011437,0.998131,0.058288,0.015206,0.010306,0.952829,0.020634,0.144335,0.266194,0.965072,-0.003357,0.003408,0.261940,0.983526,-0.108408,-0.144604,-0.003679,0.993540,-0.094885,0.027433,-0.055879,0.998472,0.012490,-0.001497,-0.053818,0.996488,0.008216,0.072520,-0.041038,0.988233,0.140417,-0.000519,-0.060646,0.740869,0.318071,0.539602,-0.242433,0.761648,0.339847,0.528036,-0.159921,0.988008,-0.136285,0.066682,-0.028626,0.759905,-0.234192,0.580260,0.176061,0.818904,-0.130512,0.558888,-0.002566
0.999503,-0.007994,-0.029215,0.008721,0.997724,0.064909,0.016813,0.007135,0.952477,0.027292,0.144548,0.266735,0.965068,-0.003091,0.004388,0.261943,0.984849,-0.102103,-0.140114,-0.003931,0.994190,-0.088810,0.024633,-0.055613,0.998449,0.014272,-0.002222,-0.053765,0.996441,0.008214,0.071426,-0.043996,0.988324,0.138478,-0.002466,-0.063509,0.744200,0.315479,0.537434,-0.240426,0.764975,0.337308,0.525937,-0.156289,0.988292,-0.135013,0.063706,-0.031510,0.761703,-0.233255,0.578598,0.174997,0.819739,-0.128761,0.558069,-0.002594
0.999548,-0.011943,-0.026905,0.006098,0.997236,0.072114,0.017417,0.004114,0.951841,0.033555,0.146062,0.267466,0.965016,-0.002763,0.005242,0.262125,0.985989,-0.095865,-0.136441,-0.004313,0.994764,-0.082733,0.022797,-0.055503,0.998427,0.015559,-0.002896,-0.053780,0.996381,0.008088,0.070495,-0.046790,0.988510,0.135823,-0.004041,-0.066211,0.747404,0.312650,0.534729,-0.240213,0.768328,0.334520,0.523348,-0.154514,0.988507,-0.134255,0.060535,-0.034131,0.764006,-0.232734,0.576039,0.174093,0.821329,-0.128571,0.555771,-0.002741
0.999555,-0.015833,-0.025052,0.003521,0.996673,0.079603,0.017488,0.001182,0.951037,0.039591,0.148171,0.268341,0.964926,-0.002425,0.005976,0.262443,0.987016,-0.089651,-0.133187,-0.004789,0.995281,-0.076644,0.021432,-0.055520,0.998403,0.016607,-0.003560,-0.053882,0.996312,0.007898,0.069638,-0.049502,0.988734,0.132807,-0.005430,-0.068837,0.750530,0.309694,0.531755,-0.240896,0.771680,0.331594,0.520521,-0.153665,0.988680,-0.133764,0.057257,-0.036620,0.766553,-0.232437,0.573019,0.173259,0.823290,-0.129179,0.552718,-0.002964
0.999500,-0.019719,-0.024672,0.001220,0.996010,0.087610,0.016934,-0.001427,0.949988,0.045420,0.151467,0.269292,0.964808,-0.001870,0.007161,0.262851,0.987947,-0.083519,-0.130229,-0.005130,0.995740,-0.070607,0.020875,-0.055500,0.998392,0.017104,-0.004369,-0.053864,0.996238,0.007777,0.068767,-0.052160,0.989073,0.128788,-0.006768,-0.071432,0.752859,0.307286,0.528162,-0.244588,0.774745,0.329474,0.516380,-0.156744,0.988723,-0.134460,0.053243,-0.038887,0.768397,-0.234536,0.569345,0.174372,0.825612,-0.132132,0.548547,-0.001699
0.999420,-0.023658,-0.024466,-0.000737,0.995276,0.095661,0.016177,-0.003659,0.948879,0.051168,0.154734,0.270311,0.964673,-0.001405,0.008143,0.263321,0.988833,-0.077429,-0.127231,-0.005213,0.996159,-0.064592,0.020375,-0.055503,0.998377,0.017686,-0.005162,-0.053886,0.996158,0.007695,0.067882,-0.054789,0.989396,0.124707,-0.008104,-0.074012,0.754710,0.305448,0.524279,-0.249491,0.777334,0.327812,0.512073,-0.161471,0.988713,-0.135317,0.049426,-0.041145,0.770491,-0.236422,0.565510,0.175062,0.828069,-0.135437,0.544021,-0.000662
0.999311,-0.027702,-0.024608,-0.002007,0.994470,0.103806,0.015089,-0.005145,0.947696,0.056808,0.158073,0.271401,0.964527,-0.001082,0.008852,0.263835,0.989680,-0.071447,-0.124122,-0.004707,0.996537,-0.058655,0.020022,-0.055433,0.998362,0.018409,-0.005876,-0.053851,0.996074,0.007695,0.066987,-0.057355,0.989711,0.120512,-0.009438,-0.076553,0.755624,0.304774,0.519804,-0.256804,0.778977,0.327106,0.507412,-0.169494,0.988623,-0.136469,0.046022,-0.043386,0.773113,-0.237831,0.561360,0.174950,0.830817,-0.139400,0.538805,-0.000050
0.999201,-0.031374,-0.024614,-0.002503,0.993600,0.112037,0.013222,-0.005660,0.946396,0.062034,0.161672,0.272670,0.964299,-0.000595,0.010048,0.264623,0.990365,-0.065778,-0.121811,-0.003651,0.996849,-0.052857,0.020558,-0.055464,0.998340,0.019227,-0.006544,-0.053888,0.996001,0.007548,0.066117,-0.059614,0.990041,0.116080,-0.011140,-0.078871,0.755334,0.305485,0.515017,-0.266284,0.779188,0.328125,0.502481,-0.180865,0.988507,-0.137697,0.042845,-0.045354,0.775793,-0.238853,0.557563,0.173834,0.833373,-0.142095,0.534133,-0.000016
