joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
0.272487,-0.063258,-0.107057,0.083707,-0.257822,-0.004441,0.496062,-0.061749,0.225069,0.124234,0.222349,-0.130618,-0.017153,-0.269424,-0.056929,0.275765,-0.292394,-0.097781,0.234559,-0.682078,0.603108,1.162773,1.082623,-0.057469,0.369536,0.017836,-0.086411,0.156859,-0.174888
0.270921,-0.055496,-0.106719,0.104607,-0.236039,0.003842,0.501276,-0.066393,0.218235,0.124788,0.199911,-0.133217,-0.019313,-0.265147,-0.051373,0.275327,-0.291604,-0.109384,0.226341,-0.670813,0.609557,1.161772,1.083534,-0.062414,0.376908,0.017925,-0.087588,0.160632,-0.171647
0.268867,-0.049562,-0.106702,0.125581,-0.214266,0.012091,0.506600,-0.070334,0.211084,0.125539,0.179897,-0.135338,-0.022287,-0.260710,-0.046428,0.273884,-0.290148,-0.121124,0.217908,-0.659019,0.614803,1.160870,1.084642,-0.066114,0.381757,0.018140,-0.087673,0.164074,-0.168793
0.265838,-0.047283,-0.107330,0.146699,-0.192514,0.020274,0.512144,-0.072871,0.203298,0.126685,0.164731,-0.136504,-0.026892,-0.255955,-0.042707,0.270431,-0.287362,-0.133136,0.209047,-0.646169,0.617643,1.160167,1.086145,-0.067326,0.381564,0.018607,-0.085574,0.166855,-0.166711
0.262742,-0.044776,-0.107773,0.168780,-0.171226,0.027859,0.517534,-0.074947,0.197681,0.132984,0.153134,-0.137390,-0.032183,-0.254207,-0.040864,0.265749,-0.285329,-0.145087,0.199305,-0.636361,0.620492,1.157893,1.085545,-0.068447,0.379535,0.018988,-0.084248,0.169618,-0.167097
0.259614,-0.042155,-0.108123,0.191341,-0.150169,0.035146,0.522847,-0.076793,0.193148,0.141861,0.143320,-0.138136,-0.037816,-0.253963,-0.039959,0.260451,-0.283674,-0.157007,0.189124,-0.628074,0.623347,1.154833,1.083895,-0.069523,0.376588,0.019325,-0.083310,0.172373,-0.168718
0.258246,-0.037113,-0.108986,0.214984,-0.129380,0.042274,0.527300,-0.078535,0.191573,0.154798,0.135728,-0.138952,-0.044983,-0.255379,-0.041044,0.252991,-0.284471,-0.168535,0.178056,-0.625867,0.631887,1.151285,1.081861,-0.068921,0.374268,0.018052,-0.083864,0.174605,-0.171494
0.256856,-0.031568,-0.110502,0.238867,-0.108681,0.049543,0.530980,-0.080737,0.190392,0.168135,0.128205,-0.139800,-0.051734,-0.257121,-0.042192,0.245334,-0.285653,-0.180203,0.167211,-0.626572,0.639332,1.147409,1.078866,-0.068029,0.370679,0.016883,-0.084426,0.175961,-0.174762
0.255422,-0.025018,-0.113325,0.263227,-0.088165,0.057093,0.533117,-0.083860,0.189999,0.182271,0.120820,-0.140709,-0.057653,-0.259512,-0.043468,0.237282,-0.287605,-0.192150,0.156813,-0.633104,0.644587,1.142878,1.073948,-0.066553,0.364551,0.015921,-0.085005,0.175567,-0.179015
0.251964,-0.020300,-0.117027,0.287093,-0.069221,0.063669,0.533435,-0.087960,0.189346,0.198435,0.116899,-0.142539,-0.063076,-0.261713,-0.046395,0.229079,-0.289428,-0.202930,0.146985,-0.645901,0.647115,1.139376,1.069414,-0.063258,0.359492,0.015322,-0.085219,0.173515,-0.181214
0.247495,-0.016498,-0.121170,0.310712,-0.051063,0.069759,0.532843,-0.092549,0.188563,0.215613,0.114711,-0.144830,-0.068252,-0.263819,-0.050148,0.220802,-0.291185,-0.213125,0.137442,-0.661829,0.648279,1.136389,1.065073,-0.059052,0.354966,0.014905,-0.085250,0.170635,-0.182386
0.238762,-0.017176,-0.125220,0.333230,-0.034030,0.075619,0.529445,-0.097806,0.185411,0.232280,0.114516,-0.147715,-0.071950,-0.264721,-0.054133,0.212013,-0.292322,-0.222658,0.128069,-0.682617,0.646263,1.134436,1.060264,-0.050335,0.350023,0.015278,-0.083698,0.168261,-0.184352
