joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
-0.078298,0.388088,0.016943,1.045030,1.089173,0.414113,0.260683,-0.232203,-0.341697,0.027661,-1.121909,-0.129911,-0.107969,0.213893,0.277840,-0.021902,0.039529,-0.580153,-0.410903,0.563264,0.322455,-0.050054,0.045515,-0.247217,0.368566,0.004437,-0.058848,0.188655,0.162032
-0.102690,0.296713,0.000827,1.048664,1.088642,0.412462,0.266188,-0.197073,-0.357559,0.037546,-1.000699,-0.106044,-0.148725,0.221836,0.247241,-0.072147,0.072785,-0.586977,-0.421629,0.589677,0.262298,-0.045091,0.055398,-0.185017,0.242487,0.010749,-0.004244,0.172115,0.142727
-0.151473,0.113963,-0.031406,1.055933,1.087580,0.409160,0.277199,-0.126813,-0.389282,0.057314,-0.758279,-0.058309,-0.230236,0.237723,0.186044,-0.172636,0.139297,-0.600625,-0.443080,0.642503,0.141984,-0.035166,0.075163,-0.060615,-0.009670,0.023373,0.104963,0.139034,0.104117
-0.154774,0.125350,-0.022135,1.104015,1.064411,0.379263,0.269515,-0.103818,-0.280863,0.314979,-0.579873,-0.044307,-0.264539,0.087402,0.092159,-0.234132,0.101627,-0.597542,-0.487067,0.490398,0.142478,-0.113715,-0.029970,-0.056048,-0.101461,0.019038,0.066271,0.138172,-0.019334
-0.156425,0.131044,-0.017499,1.128056,1.052827,0.364314,0.265673,-0.092320,-0.226653,0.443812,-0.490670,-0.037306,-0.281690,0.012241,0.045217,-0.264880,0.082792,-0.596000,-0.509060,0.414346,0.142726,-0.152990,-0.082537,-0.053764,-0.147356,0.016870,0.046925,0.137742,-0.081059
-0.068403,0.252096,-0.043142,1.182179,1.039476,0.356412,0.222613,-0.087064,-0.078737,0.646885,-0.379588,-0.040812,-0.358358,-0.070846,-0.054237,-0.372988,-0.039850,-0.576399,-0.553419,0.110394,0.427008,-0.177408,-0.101688,0.030066,-0.115992,-0.063655,-0.027696,0.111576,-0.138769
-0.069502,0.277236,-0.075811,1.194120,1.034925,0.363439,0.184023,-0.110094,-0.059046,0.666851,-0.376153,-0.042367,-0.337546,-0.087078,-0.057416,-0.382867,-0.059109,-0.583383,-0.542239,-0.035274,0.372251,-0.193784,-0.149760,0.044630,-0.179452,-0.058468,-0.028110,0.067813,-0.163406
-0.071698,0.327515,-0.141147,1.218002,1.025822,0.377493,0.106843,-0.156153,-0.019663,0.706783,-0.369283,-0.045477,-0.295921,-0.119541,-0.063773,-0.402625,-0.097627,-0.597352,-0.519878,-0.326611,0.262738,-0.226536,-0.245905,0.073759,-0.306372,-0.048093,-0.028938,-0.019714,-0.212678
-0.172876,0.235903,-0.185126,1.193296,0.947202,0.328832,0.015895,-0.205012,-0.032648,0.808206,-0.196026,-0.091506,-0.271172,-0.110056,-0.146360,-0.410120,-0.091120,-0.538975,-0.491403,-0.639814,0.126395,-0.175090,-0.226676,0.164776,-0.252971,-0.029938,-0.010696,-0.102566,-0.109946
-0.223465,0.190096,-0.207115,1.180944,0.907891,0.304501,-0.029579,-0.229442,-0.039140,0.858918,-0.109397,-0.114521,-0.258797,-0.105314,-0.187654,-0.413868,-0.087866,-0.509787,-0.477165,-0.796416,0.058224,-0.149367,-0.217062,0.210285,-0.226271,-0.020861,-0.001574,-0.143992,-0.058579
-0.436649,-0.033893,-0.202506,1.125942,0.851648,0.292996,-0.169923,-0.262847,-0.157604,0.833309,-0.009743,-0.144244,-0.184902,-0.045073,-0.199234,-0.439420,-0.056836,-0.476644,-0.468673,-1.039392,-0.100794,-0.097647,-0.240433,0.435853,-0.247178,0.018669,0.077586,-0.118710,-0.098323
-0.435209,-0.015439,-0.196458,1.072586,0.805353,0.265782,-0.231324,-0.281309,-0.128787,0.805826,-0.007365,-0.163481,-0.164753,0.004919,-0.190582,-0.443101,-0.051763,-0.459462,-0.484732,-1.090657,-0.121768,-0.112191,-0.216762,0.492095,-0.139357,0.043240,0.018432,-0.157705,-0.080556
-0.432329,0.021468,-0.184363,0.965874,0.712765,0.211354,-0.354127,-0.318233,-0.071153,0.750860,-0.002609,-0.201955,-0.124456,0.104901,-0.173277,-0.450462,-0.041617,-0.425096,-0.516848,-1.193188,-0.163715,-0.141281,-0.169419,0.604578,0.076286,0.092382,-0.099877,-0.235694,-0.045022
-0.412963,0.047741,-0.098673,0.877550,0.644281,0.124408,-0.386754,-0.288332,-0.017038,0.733674,0.001050,-0.224096,-0.064036,0.216579,-0.170330,-0.419804,-0.016449,-0.399292,-0.546285,-1.160143,-0.148224,-0.177659,-0.182239,0.700877,0.031739,0.087202,-0.059538,-0.288231,-0.147703
-0.403280,0.060878,-0.055827,0.833388,0.610039,0.080935,-0.403068,-0.273381,0.010020,0.725082,0.002880,-0.235167,-0.033826,0.272419,-0.168856,-0.404474,-0.003865,-0.386391,-0.561003,-1.143621,-0.140478,-0.195848,-0.188649,0.749027,0.009466,0.084613,-0.039369,-0.314500,-0.199043
-0.468029,0.064614,-0.031689,0.689457,0.503020,-0.025640,-0.551316,-0.314850,0.088840,0.682625,0.007828,-0.208411,-0.054079,0.370569,-0.136909,-0.312666,0.039504,-0.172110,-0.600385,-0.922982,0.000488,-0.341184,-0.083188,0.544608,-0.020106,0.070773,-0.028233,-0.234973,-0.135354
-0.510198,0.057633,-0.036711,0.642585,0.466110,-0.048354,-0.619157,-0.354587,0.103608,0.654741,0.010171,-0.200524,-0.063567,0.388984,-0.142957,-0.283835,0.050208,-0.114740,-0.613277,-0.835534,0.068011,-0.355076,-0.048410,0.496908,-0.010644,0.050087,0.007060,-0.164284,-0.097412
-0.594535,0.043670,-0.046754,0.548839,0.392288,-0.093784,-0.754838,-0.434063,0.133143,0.598974,0.014857,-0.184750,-0.082543,0.425813,-0.155052,-0.226174,0.071618,0.000000,-0.639062,-0.660637,0.203058,-0.382859,0.021147,0.401507,0.008279,0.008716,0.077644,-0.022907,-0.021528
-0.745065,-0.017274,-0.067408,0.507717,0.339911,-0.086958,-0.855803,-0.530856,0.121695,0.596286,0.011277,-0.178071,-0.086710,0.405887,-0.145072,-0.153232,0.061475,0.000000,-0.559669,-0.533575,0.325338,-0.379528,0.097486,0.258096,-0.105203,-0.051077,0.022922,0.031940,0.039252
-0.820330,-0.047746,-0.077735,0.487155,0.313722,-0.083545,-0.906286,-0.579253,0.115972,0.594942,0.009487,-0.174732,-0.088794,0.395924,-0.140082,-0.116761,0.056404,0.000000,-0.519973,-0.470045,0.386478,-0.377862,0.135655,0.186391,-0.161945,-0.080974,-0.004440,0.059363,0.069641
-0.967756,-0.118715,-0.006775,0.464772,0.281149,-0.056756,-0.901114,-0.670343,0.082953,0.628588,0.003843,-0.270412,-0.079575,0.352653,-0.133231,-0.102141,0.073796,0.000000,-0.496102,-0.428347,0.472444,-0.049342,0.165743,0.130389,0.085184,-0.174591,0.033805,0.137097,0.140806
-0.960113,-0.116211,0.013887,0.447651,0.260807,-0.052771,-0.818640,-0.704186,0.091615,0.588029,0.003754,-0.285953,-0.074616,0.354505,-0.143460,-0.101261,0.075181,0.000000,-0.471583,-0.349615,0.469842,0.012660,0.180991,0.084688,0.040947,-0.119168,0.044225,0.092956,0.139592
-0.944827,-0.111204,0.055210,0.413407,0.220121,-0.044801,-0.653692,-0.771870,0.108940,0.506912,0.003578,-0.317036,-0.064698,0.358209,-0.163916,-0.099501,0.077952,0.000000,-0.422543,-0.192150,0.464637,0.136664,0.211487,-0.006713,-0.047529,-0.008324,0.065066,0.004673,0.137165
-0.874901,-0.096428,0.106839,0.538678,0.267221,-0.003515,-0.205334,-0.764813,0.179557,0.630251,0.002760,-0.295196,-0.124121,0.182803,-0.136840,-0.080863,0.059274,0.000000,-0.443102,0.079887,0.496082,0.232911,0.252554,-0.034056,-0.028222,0.049869,0.060812,-0.018647,0.201095
-0.839938,-0.089041,0.132653,0.601314,0.290771,0.017128,0.018844,-0.761284,0.214866,0.691921,0.002351,-0.284277,-0.153833,0.095100,-0.123302,-0.071544,0.049936,0.000000,-0.453382,0.215905,0.511805,0.281035,0.273088,-0.047727,-0.018569,0.078965,0.058684,-0.030307,0.233060
-0.698511,-0.017774,0.232171,0.487399,0.270375,0.064548,0.268694,-0.663487,0.364208,1.015041,0.022468,-0.276817,-0.227737,-0.762814,-0.118420,-0.069254,0.029954,0.956097,-0.418873,0.473056,0.457442,0.352113,0.315017,-0.360849,0.069417,0.026205,0.043732,0.109930,0.103855
-0.639371,-0.002080,0.210257,0.170574,0.260119,0.082349,-0.332103,-0.665338,0.369900,0.877493,0.022678,-0.230689,-0.254655,-0.857475,-0.119661,-0.069254,0.016210,0.518741,-0.404627,0.543607,0.435768,0.347047,0.333587,-0.371532,0.141239,0.035448,0.026755,0.148695,0.118115
-0.521090,0.029309,0.166429,-0.463076,0.239607,0.117950,-1.533696,-0.669040,0.381283,0.602396,0.023098,-0.138433,-0.308490,-1.046798,-0.122142,-0.069252,-0.011279,-0.355972,-0.376135,0.684711,0.392420,0.336914,0.370728,-0.392898,0.284881,0.053934,-0.007199,0.226226,0.146636
-0.470816,0.113734,0.121315,-0.812783,0.144941,0.048080,-1.789886,-0.661156,0.415743,1.072297,0.011837,-0.104999,-0.300497,-0.977901,-0.090214,-0.048876,-0.024560,-0.427673,-0.288156,0.610241,0.253397,0.384340,0.310825,-0.412977,0.359895,0.006117,-0.000566,0.255555,0.153969
-0.445679,0.155947,0.098758,-0.987636,0.097608,0.013145,-1.917982,-0.657215,0.432972,1.307248,0.006207,-0.088282,-0.296501,-0.943452,-0.074249,-0.038687,-0.031200,-0.463523,-0.244166,0.573006,0.183885,0.408053,0.280874,-0.423016,0.397402,-0.017791,0.002751,0.270220,0.157636
-0.420383,0.230084,0.049527,-1.066878,-0.019916,-0.087431,-1.286379,-0.607612,0.391863,2.438144,0.002721,-0.032810,-0.124897,-0.929518,-0.083354,0.018476,-0.027329,0.297386,-0.247928,0.274946,-0.227233,0.450490,0.009184,-0.257313,-0.082871,0.030316,0.024469,0.182254,-0.094853
-0.338063,0.210088,0.039709,-1.043756,-0.031353,-0.084276,-0.937018,-0.594752,0.337549,2.539575,0.003772,-0.002499,-0.087169,-0.963462,-0.075663,0.048232,-0.039995,0.335335,-0.230271,0.161321,-0.289196,0.421569,-0.078251,-0.215619,0.016446,0.058986,-0.011449,0.108528,-0.086550
-0.173425,0.170096,0.020074,-0.997513,-0.054228,-0.077967,-0.238297,-0.569031,0.228922,2.742437,0.005874,0.058122,-0.011713,-1.031350,-0.060283,0.107743,-0.065326,0.411232,-0.194959,-0.065929,-0.413123,0.363729,-0.253122,-0.132232,0.215082,0.116326,-0.083284,-0.038923,-0.069943
0.072532,0.080547,0.007366,-0.938130,-0.044322,-0.046080,0.437587,-0.581006,0.097225,2.486343,0.013376,0.144811,0.042201,-0.980582,-0.084369,0.158546,-0.097098,0.168502,-0.203538,-0.188255,-0.386626,0.266972,-0.328844,0.012322,0.071879,0.105074,-0.149430,-0.126072,-0.131194
0.195510,0.035773,0.001012,-0.908438,-0.039369,-0.030136,0.775529,-0.586993,0.031376,2.358297,0.017127,0.188156,0.069158,-0.955198,-0.096413,0.183947,-0.112984,0.047137,-0.207827,-0.249419,-0.373378,0.218593,-0.366704,0.084599,0.000277,0.099448,-0.182503,-0.169646,-0.161819
0.500793,0.003143,-0.098301,-0.910996,-0.032223,0.004325,1.273137,-0.662651,-0.004662,1.814427,0.021700,0.270137,0.149131,-0.641911,-0.083450,0.249114,-0.129254,-0.074204,-0.200087,-0.248491,-0.556673,0.096130,-0.483992,0.075853,-0.433780,0.006404,-0.039719,-0.064661,-0.191487
0.536203,-0.022345,-0.125946,-0.996568,-0.020408,0.020251,1.193328,-0.681105,-0.036967,1.559680,0.021609,0.292192,0.190553,-0.633856,-0.082048,0.266706,-0.123716,-0.117998,-0.212211,-0.221176,-0.585946,0.067933,-0.507708,0.006920,-0.357631,-0.022290,-0.039776,-0.077521,-0.174071
0.607023,-0.073320,-0.181234,-1.167712,0.003223,0.052101,1.033712,-0.718013,-0.101576,1.050185,0.021426,0.336300,0.273399,-0.617747,-0.079242,0.301889,-0.112639,-0.205586,-0.236459,-0.166547,-0.644494,0.011537,-0.555139,-0.130945,-0.205331,-0.079678,-0.039888,-0.103240,-0.139240
0.572308,-0.101552,-0.284904,-1.486375,-0.014865,0.042974,0.576064,-0.863764,-0.130964,0.462768,0.019038,0.330477,0.346924,-0.343978,-0.115627,0.313779,-0.098723,-0.476906,-0.266553,-0.091453,-0.678751,0.057335,-0.566461,-0.097718,-0.316304,-0.062407,-0.022703,-0.090367,-0.117481
0.554950,-0.115667,-0.336739,-1.645707,-0.023908,0.038411,0.347241,-0.936640,-0.145658,0.169060,0.017844,0.327565,0.383687,-0.207094,-0.133820,0.319724,-0.091766,-0.612566,-0.281600,-0.053905,-0.695879,0.080234,-0.572122,-0.081104,-0.371791,-0.053772,-0.014111,-0.083930,-0.106602
0.303294,-0.329277,-0.537447,-2.425058,-0.252422,-0.008864,-0.504184,-1.153045,-0.288586,-0.872426,0.081009,0.210379,0.512086,0.448916,-0.079669,0.302705,-0.080753,0.000000,-0.165815,-0.109187,-0.773442,0.178134,-0.618174,-0.142513,0.038085,-0.030237,-0.196198,-0.049750,-0.020357
0.282360,-0.429326,-0.559028,-2.587352,-0.308981,-0.013036,-0.732186,-1.237877,-0.332919,-1.210179,0.198643,0.168915,0.536590,0.563447,-0.144582,0.290871,-0.075369,0.000000,-0.201494,-0.108250,-0.771015,0.217404,-0.616660,-0.168645,-0.137015,-0.011228,-0.097323,-0.072386,-0.072855
0.240491,-0.629424,-0.602190,-2.911938,-0.422100,-0.021379,-1.188189,-1.407542,-0.421583,-1.885686,0.433911,0.085988,0.585599,0.792510,-0.274407,0.267201,-0.064602,0.000000,-0.272852,-0.106376,-0.766160,0.295944,-0.613632,-0.220909,-0.487213,0.026789,0.100425,-0.117660,-0.177852
0.395840,-0.797242,-0.537944,-3.067377,-0.538891,-0.017466,-1.518602,-1.284019,-0.433630,-2.608913,0.715849,0.027919,0.544212,1.073020,-0.384306,0.218597,-0.058370,0.000000,-0.217433,-0.028368,-0.606292,0.335338,-0.463033,-0.236469,-0.351001,0.009772,0.038906,-0.122877,-0.192110
0.473514,-0.881151,-0.505821,-3.145096,-0.597286,-0.015509,-1.683808,-1.222258,-0.439654,-2.970527,0.856817,-0.001116,0.523519,1.213275,-0.439255,0.194294,-0.055254,0.000000,-0.189724,0.010636,-0.526358,0.355035,-0.387733,-0.244249,-0.282894,0.001263,0.008147,-0.125485,-0.199239
0.931988,-0.802672,-0.435828,-2.698767,-0.503216,0.035614,-1.687296,-1.135646,-0.361221,-3.910752,0.691747,-0.090292,0.455133,1.672875,-0.314342,0.130048,-0.033666,0.000000,-0.179492,0.194342,-0.404631,0.333087,-0.200804,-0.081319,0.202264,0.062147,-0.066912,-0.123157,0.118627
0.959379,-0.710746,-0.411257,-2.172143,-0.366851,0.078358,-1.377421,-1.133420,-0.341057,-3.882955,0.457152,-0.135504,0.448917,1.880442,-0.192416,0.125767,-0.016038,0.000000,-0.202649,0.136253,-0.383955,0.314602,-0.152116,-0.113736,0.119984,0.049216,-0.016679,-0.121234,0.095990
1.014162,-0.526894,-0.362113,-1.118894,-0.094122,0.163847,-0.757672,-1.128970,-0.300730,-3.827362,-0.012036,-0.225927,0.436486,2.295577,0.051436,0.117204,0.019219,0.000000,-0.248964,0.020075,-0.342604,0.277630,-0.054739,-0.178571,-0.044578,0.023354,0.083787,-0.117388,0.050717
0.316366,0.148275,-0.162618,0.241309,0.452867,0.121881,-0.067717,-0.979848,0.002705,-1.328391,-1.076780,-0.263513,0.397843,-0.044923,0.552328,0.175024,0.083447,0.000000,-0.373764,-0.011248,-0.298004,0.124303,0.002897,-0.099683,-0.043029,0.003019,0.078787,-0.088626,0.017703
-0.032533,0.485860,-0.062871,0.921411,0.726361,0.100898,0.277260,-0.905287,0.154422,-0.078905,-1.609152,-0.282306,0.378522,-1.215173,0.802774,0.203935,0.115560,0.000000,-0.436163,-0.026910,-0.275704,0.047640,0.031714,-0.060240,-0.042255,-0.007148,0.076288,-0.074246,0.001197
-0.085841,-0.180341,-0.101044,0.509045,0.181313,-0.008707,-0.367989,-0.931068,0.017726,-0.307340,-0.255689,-0.282293,0.259986,-1.177926,0.153140,0.230478,0.179553,1.103110,-0.313932,0.044560,-0.081373,-0.112921,0.113656,-0.157390,0.013545,-0.066790,0.056166,-0.078676,0.084169
