pelvis_x,pelvis_y,pelvis_z,left_hip_roll_link_x,left_hip_roll_link_y,left_hip_roll_link_z,left_knee_link_x,left_knee_link_y,left_knee_link_z,left_ankle_roll_link_x,left_ankle_roll_link_y,left_ankle_roll_link_z,right_hip_roll_link_x,right_hip_roll_link_y,right_hip_roll_link_z,right_knee_link_x,right_knee_link_y,right_knee_link_z,right_ankle_roll_link_x,right_ankle_roll_link_y,right_ankle_roll_link_z,torso_link_x,torso_link_y,torso_link_z,left_shoulder_roll_link_x,left_shoulder_roll_link_y,left_shoulder_roll_link_z,left_elbow_link_x,left_elbow_link_y,left_elbow_link_z,left_wrist_yaw_link_x,left_wrist_yaw_link_y,left_wrist_yaw_link_z,right_shoulder_roll_link_x,right_shoulder_roll_link_y,right_shoulder_roll_link_z,right_elbow_link_x,right_elbow_link_y,right_elbow_link_z,right_wrist_yaw_link_x,right_wrist_yaw_link_y,right_wrist_yaw_link_z
0.106932,-0.165874,0.362774,0.095110,0.505896,0.390916,0.170505,0.237742,0.041379,0.000759,0.125763,0.047072,0.416714,0.083148,0.564720,-0.416272,-0.800300,2.032158,-0.296649,-0.334602,1.940188,-0.028246,-0.121384,0.534976,-0.329380,1.107196,0.987747,-0.168779,1.057979,1.926441,-0.019047,0.733386,2.395458,-0.277293,-0.567858,0.679224,-0.259376,-0.305369,0.756769,-0.291991,-0.271574,0.719681
0.096985,-0.151696,0.372051,0.115292,0.500276,0.407394,0.189734,0.219592,0.050747,0.000579,0.140719,0.055711,0.414574,0.077898,0.578000,-0.346791,-0.553711,1.905730,-0.100916,-0.048499,1.804682,-0.036368,-0.119250,0.541371,-0.329069,1.027685,0.968515,-0.173199,0.999381,1.835443,-0.020104,0.774296,2.262186,-0.249281,-0.511377,0.666634,-0.233847,-0.298266,0.742355,-0.209552,-0.298846,0.681389
0.089074,-0.129954,0.381435,0.145672,0.488914,0.425030,0.218113,0.200349,0.064336,0.000045,0.161204,0.068785,0.400618,0.063036,0.581893,-0.257410,-0.243011,1.692456,0.153067,0.252868,1.591602,-0.042353,-0.113421,0.545871,-0.318250,0.928150,0.938210,-0.173832,0.927337,1.697450,-0.008011,0.818813,2.049640,-0.207735,-0.425489,0.644444,-0.195041,-0.283966,0.713432,-0.103914,-0.328591,0.625369
0.086439,-0.100371,0.388202,0.185086,0.471575,0.439656,0.254087,0.183579,0.081699,-0.001499,0.185996,0.086234,0.368477,0.038602,0.567693,-0.154716,0.085444,1.384019,0.418295,0.492175,1.298915,-0.043300,-0.102674,0.544624,-0.295560,0.818958,0.895872,-0.168817,0.845638,1.523501,0.019579,0.847443,1.773736,-0.154627,-0.313856,0.610855,-0.144061,-0.259919,0.669517,0.008175,-0.349467,0.556164
0.089164,-0.064215,0.391019,0.229315,0.451713,0.448943,0.293404,0.169057,0.101432,-0.004794,0.213071,0.106934,0.316927,0.012865,0.533826,-0.046295,0.376386,1.003161,0.628101,0.616400,0.949339,-0.038867,-0.087422,0.534799,-0.266119,0.708816,0.842610,-0.158976,0.753036,1.340179,0.056601,0.834865,1.479734,-0.095022,-0.188740,0.566755,-0.085111,-0.225012,0.616580,0.106596,-0.348064,0.483789
0.093536,-0.024323,0.390904,0.272275,0.435824,0.453812,0.330434,0.151921,0.121310,-0.010122,0.240117,0.128749,0.252028,0.000876,0.488505,0.059931,0.586314,0.604575,0.728273,0.620511,0.590560,-0.031683,-0.069983,0.516113,-0.238087,0.601053,0.781210,-0.146768,0.645260,1.176150,0.093030,0.762051,1.218099,-0.034816,-0.066852,0.515809,-0.023792,-0.179910,0.563854,0.178231,-0.313475,0.419141
0.094598,0.015371,0.389977,0.308600,0.429638,0.456873,0.360586,0.126864,0.138650,-0.016855,0.265153,0.148961,0.185042,0.016617,0.445116,0.155838,0.697210,0.254369,0.707789,0.537003,0.279063,-0.025260,-0.053719,0.490506,-0.216390,0.493763,0.714488,-0.133865,0.521330,1.046050,0.122862,0.630001,1.015764,0.021663,0.036899,0.462817,0.034993,-0.126617,0.517689,0.223108,-0.240075,0.367677
0.089571,0.050836,0.388901,0.336030,0.433805,0.459230,0.382331,0.093872,0.150802,-0.023404,0.287206,0.164841,0.127899,0.064237,0.414069,0.234834,0.719088,0.000193,0.603517,0.409005,0.055637,-0.021371,-0.041550,0.460177,-0.199850,0.381951,0.643355,-0.119778,0.385748,0.945417,0.147849,0.462183,0.868471,0.072623,0.113559,0.411345,0.088217,-0.068200,0.477653,0.251949,-0.128917,0.325805
0.079117,0.079116,0.385373,0.355739,0.442768,0.458574,0.397227,0.060003,0.155581,-0.027670,0.306581,0.174081,0.089292,0.135521,0.397711,0.294181,0.680608,-0.145638,0.473272,0.270069,-0.069290,-0.019206,-0.034697,0.425738,-0.184130,0.260824,0.566533,-0.102362,0.243021,0.860990,0.174763,0.287014,0.758515,0.118067,0.160145,0.362434,0.134571,-0.009190,0.437966,0.277024,0.010423,0.283338
0.065912,0.099052,0.375020,0.370573,0.447418,0.450128,0.408121,0.036052,0.151565,-0.027723,0.324296,0.174985,0.072811,0.214883,0.391073,0.335719,0.613509,-0.201708,0.360554,0.138234,-0.112564,-0.016609,-0.032301,0.386037,-0.166858,0.129685,0.482485,-0.079179,0.090944,0.785812,0.209999,0.111847,0.676889,0.158223,0.177332,0.315167,0.173469,0.044570,0.392712,0.303060,0.159084,0.231148
