pelvis_x,pelvis_y,pelvis_z,left_hip_roll_link_x,left_hip_roll_link_y,left_hip_roll_link_z,left_knee_link_x,left_knee_link_y,left_knee_link_z,left_ankle_roll_link_x,left_ankle_roll_link_y,left_ankle_roll_link_z,right_hip_roll_link_x,right_hip_roll_link_y,right_hip_roll_link_z,right_knee_link_x,right_knee_link_y,right_knee_link_z,right_ankle_roll_link_x,right_ankle_roll_link_y,right_ankle_roll_link_z,torso_link_x,torso_link_y,torso_link_z,left_shoulder_roll_link_x,left_shoulder_roll_link_y,left_shoulder_roll_link_z,left_elbow_link_x,left_elbow_link_y,left_elbow_link_z,left_wrist_yaw_link_x,left_wrist_yaw_link_y,left_wrist_yaw_link_z,right_shoulder_roll_link_x,right_shoulder_roll_link_y,right_shoulder_roll_link_z,right_elbow_link_x,right_elbow_link_y,right_elbow_link_z,right_wrist_yaw_link_x,right_wrist_yaw_link_y,right_wrist_yaw_link_z
0.266931,-0.128206,-0.049160,0.223785,-0.111573,-0.035881,0.075295,-0.047818,-0.048179,0.005828,-0.003873,-0.020907,0.322064,-0.108505,-0.062412,0.331217,-0.047795,-0.074283,0.707836,-0.314431,-0.108808,0.258583,-0.134170,-0.050225,0.140891,-0.120865,-0.048951,-0.094803,-0.177887,-0.043406,-0.359734,-0.115428,-0.093363,0.316277,-0.124978,-0.046508,0.447400,-0.179525,-0.040538,0.520014,-0.145142,0.000632
0.263644,-0.136094,-0.051883,0.218458,-0.120854,-0.039719,0.070931,-0.052086,-0.051237,0.005695,-0.004620,-0.025643,0.318495,-0.117364,-0.064014,0.330487,-0.048939,-0.076366,0.641921,-0.287627,-0.099986,0.255918,-0.141664,-0.052886,0.138611,-0.127212,-0.052776,-0.084186,-0.187169,-0.046316,-0.338548,-0.132454,-0.091962,0.314039,-0.130302,-0.047897,0.437131,-0.180169,-0.041905,0.508803,-0.141816,-0.002169
0.258803,-0.147662,-0.052469,0.210897,-0.133883,-0.041379,0.065602,-0.057522,-0.051774,0.005298,-0.004502,-0.028119,0.312966,-0.129783,-0.063416,0.329563,-0.051798,-0.075793,0.549658,-0.251466,-0.085524,0.252074,-0.152865,-0.053378,0.136221,-0.137649,-0.054458,-0.069085,-0.200016,-0.046846,-0.308389,-0.154977,-0.086758,0.310811,-0.139335,-0.047171,0.420709,-0.182139,-0.041458,0.490217,-0.138597,-0.004244
0.252877,-0.162344,-0.048852,0.201845,-0.149655,-0.038371,0.060355,-0.063393,-0.047325,0.004692,-0.002882,-0.025449,0.305647,-0.144778,-0.058926,0.328120,-0.057097,-0.070606,0.439393,-0.208413,-0.065593,0.247560,-0.167356,-0.049634,0.134960,-0.152416,-0.051532,-0.049723,-0.215613,-0.042724,-0.270048,-0.180766,-0.076030,0.306982,-0.152429,-0.042747,0.398306,-0.185981,-0.037798,0.463829,-0.136701,-0.004433
0.246792,-0.178729,-0.040407,0.192490,-0.166529,-0.029860,0.055860,-0.069051,-0.037119,0.004083,0.000143,-0.016658,0.297171,-0.160764,-0.050179,0.324869,-0.065010,-0.060769,0.325193,-0.161958,-0.042748,0.243270,-0.183788,-0.041034,0.136146,-0.170450,-0.043139,-0.026578,-0.232557,-0.033397,-0.224863,-0.207005,-0.059936,0.303189,-0.168701,-0.034280,0.371915,-0.191546,-0.030642,0.431296,-0.136753,-0.002478
0.241396,-0.195054,-0.028488,0.183758,-0.182949,-0.017413,0.051546,-0.074369,-0.022798,0.003612,0.003467,-0.003687,0.288254,-0.176248,-0.038478,0.317369,-0.075004,-0.048655,0.221483,-0.116003,-0.021381,0.239945,-0.200298,-0.028933,0.140313,-0.189503,-0.030752,-0.000342,-0.249147,-0.020664,-0.174198,-0.231179,-0.040873,0.299844,-0.186097,-0.022976,0.344603,-0.197766,-0.021090,0.395760,-0.138197,0.000723
0.236978,-0.209799,-0.015533,0.175887,-0.197924,-0.003999,0.045845,-0.079704,-0.007385,0.003133,0.005547,0.009832,0.279298,-0.190305,-0.025952,0.302926,-0.086047,-0.037736,0.138303,-0.074683,-0.005804,0.237695,-0.215156,-0.015782,0.146734,-0.207020,-0.017196,0.027977,-0.263633,-0.007597,-0.119597,-0.251331,-0.022245,0.296722,-0.202213,-0.010819,0.319149,-0.203091,-0.010912,0.360404,-0.139707,0.003729
0.233211,-0.222120,-0.003715,0.168666,-0.211083,0.007738,0.037652,-0.085450,0.006458,0.002307,0.005440,0.020905,0.270303,-0.202625,-0.014431,0.280245,-0.096991,-0.030637,0.079051,-0.041650,0.001741,0.235983,-0.227344,-0.003763,0.153849,-0.221290,-0.004990,0.057328,-0.274606,0.003166,-0.062753,-0.266057,-0.006735,0.292996,-0.215429,0.000429,0.297052,-0.206401,-0.001650,0.327262,-0.140331,0.005363
0.229496,-0.231955,0.005738,0.162011,-0.222477,0.016432,0.027713,-0.091659,0.017370,0.000950,0.003417,0.028585,0.261034,-0.213332,-0.004974,0.250513,-0.106883,-0.028133,0.041102,-0.018835,0.001718,0.234018,-0.236764,0.005874,0.160222,-0.232065,0.004547,0.087110,-0.281487,0.010320,-0.004817,-0.274666,0.004554,0.287657,-0.225543,0.009622,0.278500,-0.207653,0.005705,0.297104,-0.140334,0.005047
0.225318,-0.239794,0.012353,0.156242,-0.232346,0.021807,0.018666,-0.098052,0.025053,-0.000712,0.000634,0.033649,0.251200,-0.222761,0.001933,0.216945,-0.115159,-0.029484,0.018580,-0.005758,-0.003658,0.231160,-0.243996,0.012640,0.165239,-0.240271,0.011112,0.117208,-0.284745,0.013690,0.054185,-0.277437,0.011797,0.279993,-0.233497,0.016060,0.263028,-0.207792,0.010537,0.270189,-0.141021,0.002700
0.220386,-0.246296,0.015969,0.151893,-0.240967,0.024000,0.013859,-0.104299,0.029571,-0.002099,-0.001727,0.037418,0.240567,-0.231300,0.006047,0.183330,-0.121703,-0.033378,0.005472,0.000029,-0.011886,0.227082,-0.249828,0.016363,0.169116,-0.247162,0.014795,0.147415,-0.285626,0.013624,0.114899,-0.275611,0.015682,0.269833,-0.240557,0.019273,0.250143,-0.208131,0.012420,0.246871,-0.143835,-0.001516
0.214601,-0.252009,0.016498,0.149380,-0.248598,0.023109,0.015985,-0.110235,0.030888,-0.002569,-0.003063,0.040828,0.229066,-0.239301,0.007252,0.152858,-0.126759,-0.038609,-0.002594,0.001727,-0.021015,0.221704,-0.254890,0.016956,0.172418,-0.253610,0.015659,0.176945,-0.285481,0.010572,0.177420,-0.270954,0.016867,0.257417,-0.247589,0.019004,0.239403,-0.209718,0.011136,0.227387,-0.149558,-0.007422
0.207963,-0.257259,0.013944,0.148837,-0.255478,0.019137,0.026316,-0.115872,0.028845,-0.001740,-0.003413,0.044213,0.216865,-0.247052,0.005631,0.127896,-0.130687,-0.044228,-0.008066,0.002041,-0.029594,0.215047,-0.259516,0.014429,0.175541,-0.259848,0.013676,0.204572,-0.285114,0.004936,0.240478,-0.265073,0.015844,0.243017,-0.254811,0.015319,0.230068,-0.212999,0.006785,0.211136,-0.158116,-0.014968
