pelvis_x,pelvis_y,pelvis_z,left_hip_roll_link_x,left_hip_roll_link_y,left_hip_roll_link_z,left_knee_link_x,left_knee_link_y,left_knee_link_z,left_ankle_roll_link_x,left_ankle_roll_link_y,left_ankle_roll_link_z,right_hip_roll_link_x,right_hip_roll_link_y,right_hip_roll_link_z,right_knee_link_x,right_knee_link_y,right_knee_link_z,right_ankle_roll_link_x,right_ankle_roll_link_y,right_ankle_roll_link_z,torso_link_x,torso_link_y,torso_link_z,left_shoulder_roll_link_x,left_shoulder_roll_link_y,left_shoulder_roll_link_z,left_elbow_link_x,left_elbow_link_y,left_elbow_link_z,left_wrist_yaw_link_x,left_wrist_yaw_link_y,left_wrist_yaw_link_z,right_shoulder_roll_link_x,right_shoulder_roll_link_y,right_shoulder_roll_link_z,right_elbow_link_x,right_elbow_link_y,right_elbow_link_z,right_wrist_yaw_link_x,right_wrist_yaw_link_y,right_wrist_yaw_link_z
0.032954,-0.403319,0.777771,0.039871,-0.280721,0.650477,0.063676,-0.292743,0.345502,-0.050481,-0.299698,0.050568,0.043510,-0.513597,0.641347,0.150658,-0.580510,0.362464,0.078720,-0.630974,0.057742,0.028041,-0.405445,0.831649,0.044907,-0.273245,1.070887,0.036917,-0.239222,0.889806,0.084448,-0.206561,0.716198,0.033980,-0.553957,1.061651,0.023877,-0.590639,0.881125,0.123196,-0.629832,0.731855
0.038356,-0.405721,0.776909,0.044457,-0.282751,0.649914,0.065288,-0.293596,0.344676,-0.050368,-0.299735,0.050331,0.050017,-0.515575,0.640190,0.157301,-0.581464,0.361092,0.094299,-0.637900,0.055413,0.033265,-0.407978,0.830765,0.047783,-0.275552,1.070062,0.034783,-0.242568,0.889068,0.076788,-0.208463,0.714358,0.040350,-0.556369,1.060803,0.033008,-0.594235,0.880389,0.133786,-0.632834,0.731966
0.043702,-0.408304,0.775778,0.048923,-0.285028,0.649027,0.066757,-0.294606,0.343554,-0.050235,-0.299887,0.049737,0.056469,-0.517785,0.638813,0.163933,-0.582378,0.359454,0.108281,-0.643723,0.053255,0.038443,-0.410672,0.829613,0.050582,-0.277950,1.068914,0.032975,-0.246240,0.888072,0.069711,-0.211025,0.712436,0.046678,-0.558833,1.059754,0.042004,-0.597775,0.879482,0.144255,-0.635653,0.731896
0.048933,-0.411251,0.774109,0.053155,-0.287792,0.647489,0.067946,-0.295878,0.341808,-0.050061,-0.300154,0.048385,0.062811,-0.520468,0.636995,0.170452,-0.583215,0.357250,0.118490,-0.648321,0.051115,0.043530,-0.413688,0.827925,0.053233,-0.280507,1.067119,0.031791,-0.250360,0.886413,0.063899,-0.214481,0.710042,0.052931,-0.561418,1.058293,0.050704,-0.601275,0.878176,0.154455,-0.638180,0.731389
0.053838,-0.414695,0.772991,0.056972,-0.291046,0.646520,0.068912,-0.297282,0.340668,-0.050005,-0.300272,0.047594,0.068800,-0.523619,0.635730,0.176994,-0.584343,0.355724,0.125363,-0.651957,0.050038,0.048335,-0.417212,0.826793,0.055720,-0.283650,1.065893,0.030895,-0.254840,0.885397,0.058815,-0.218481,0.708464,0.058952,-0.564541,1.057362,0.058388,-0.604950,0.877356,0.163489,-0.640744,0.731229
0.058579,-0.418388,0.772149,0.060581,-0.294552,0.645838,0.069747,-0.298784,0.339852,-0.050041,-0.300360,0.047117,0.074612,-0.526999,0.634743,0.183533,-0.585604,0.354540,0.130572,-0.655285,0.049520,0.052999,-0.420990,0.825938,0.058119,-0.287100,1.064952,0.030154,-0.259551,0.884714,0.054109,-0.222852,0.707332,0.064851,-0.567926,1.056697,0.065562,-0.608706,0.876775,0.171930,-0.643306,0.731240
0.063320,-0.422703,0.771935,0.064178,-0.298538,0.645935,0.071130,-0.300238,0.339864,-0.049918,-0.299927,0.047639,0.080271,-0.530838,0.634283,0.190411,-0.587277,0.354112,0.131901,-0.656342,0.049988,0.057746,-0.425445,0.825717,0.061022,-0.291485,1.064754,0.030633,-0.264968,0.884751,0.051355,-0.228026,0.707089,0.070837,-0.572210,1.056519,0.071803,-0.613002,0.876600,0.179066,-0.646345,0.731394
0.068031,-0.427134,0.771836,0.067677,-0.302673,0.646128,0.072289,-0.301811,0.340006,-0.049820,-0.299621,0.048220,0.085813,-0.534808,0.633944,0.196860,-0.589095,0.353712,0.132932,-0.657070,0.050458,0.062494,-0.430008,0.825614,0.064055,-0.295985,1.064663,0.031455,-0.270554,0.884888,0.049355,-0.233469,0.707019,0.076798,-0.576584,1.056465,0.077830,-0.617273,0.876523,0.185870,-0.649302,0.731570
0.072682,-0.431797,0.771967,0.070982,-0.307094,0.646514,0.073032,-0.303578,0.340380,-0.049719,-0.299485,0.048859,0.091125,-0.539050,0.633845,0.202484,-0.591233,0.353353,0.133374,-0.657016,0.050783,0.067246,-0.434784,0.825747,0.067355,-0.300690,1.064786,0.032935,-0.276379,0.885191,0.048833,-0.239228,0.707201,0.082725,-0.581150,1.056659,0.083433,-0.621511,0.876642,0.192016,-0.652129,0.731779
0.077254,-0.436592,0.772288,0.074080,-0.311722,0.647035,0.073302,-0.305503,0.340934,-0.049703,-0.299495,0.049517,0.096248,-0.543479,0.633950,0.207038,-0.593578,0.352873,0.133553,-0.656818,0.050824,0.071950,-0.439669,0.826076,0.070702,-0.305477,1.065075,0.034993,-0.282196,0.885592,0.049455,-0.245024,0.707527,0.088522,-0.585788,1.057070,0.088730,-0.625658,0.876944,0.197525,-0.654824,0.731942
