pelvis_qw,pelvis_qx,pelvis_qy,pelvis_qz,left_hip_roll_link_qw,left_hip_roll_link_qx,left_hip_roll_link_qy,left_hip_roll_link_qz,left_knee_link_qw,left_knee_link_qx,left_knee_link_qy,left_knee_link_qz,left_ankle_roll_link_qw,left_ankle_roll_link_qx,left_ankle_roll_link_qy,left_ankle_roll_link_qz,right_hip_roll_link_qw,right_hip_roll_link_qx,right_hip_roll_link_qy,right_hip_roll_link_qz,right_knee_link_qw,right_knee_link_qx,right_knee_link_qy,right_knee_link_qz,right_ankle_roll_link_qw,right_ankle_roll_link_qx,right_ankle_roll_link_qy,right_ankle_roll_link_qz,torso_link_qw,torso_link_qx,torso_link_qy,torso_link_qz,left_shoulder_roll_link_qw,left_shoulder_roll_link_qx,left_shoulder_roll_link_qy,left_shoulder_roll_link_qz,left_elbow_link_qw,left_elbow_link_qx,left_elbow_link_qy,left_elbow_link_qz,left_wrist_yaw_link_qw,left_wrist_yaw_link_qx,left_wrist_yaw_link_qy,left_wrist_yaw_link_qz,right_shoulder_roll_link_qw,right_shoulder_roll_link_qx,right_shoulder_roll_link_qy,right_shoulder_roll_link_qz,right_elbow_link_qw,right_elbow_link_qx,right_elbow_link_qy,right_elbow_link_qz,right_wrist_yaw_link_qw,right_wrist_yaw_link_qx,right_wrist_yaw_link_qy,right_wrist_yaw_link_qz
0.999609,0.023981,-0.008658,-0.011491,0.991475,-0.024697,-0.126319,-0.020280,0.980547,-0.016100,0.193468,-0.028960,0.999672,-0.003845,0.000343,-0.025323,0.956808,-0.094400,-0.270390,-0.049970,0.987742,-0.086711,0.115822,-0.058578,0.997841,-0.044357,0.000462,-0.048424,0.999494,0.016794,0.018999,-0.019194,0.994429,0.082225,0.065301,-0.009232,0.804986,0.108911,0.582482,-0.029178,0.484124,0.575771,0.580943,-0.310833,0.993912,-0.083317,0.067735,-0.024699,0.898270,-0.070517,0.431220,-0.046769,0.721797,-0.456378,0.514545,0.077275
0.999595,0.025278,-0.010361,-0.007972,0.992190,-0.023593,-0.121353,-0.016612,0.980063,-0.014757,0.196102,-0.028320,0.999681,-0.003860,0.001423,-0.024937,0.957653,-0.089084,-0.269924,-0.045881,0.989541,-0.093520,0.102678,-0.038991,0.998358,-0.049236,-0.008290,-0.028087,0.999605,0.016586,0.017877,-0.013940,0.993862,0.078311,0.078133,-0.000426,0.798895,0.095577,0.593636,-0.015140,0.487800,0.558923,0.598445,-0.302522,0.994201,-0.086663,0.060897,-0.018575,0.899725,-0.076207,0.427757,-0.041369,0.720606,-0.463269,0.509669,0.079661
0.999572,0.026349,-0.011964,-0.004299,0.992875,-0.022340,-0.116356,-0.012689,0.979634,-0.013313,0.198444,-0.027578,0.999689,-0.003907,0.002656,-0.024483,0.958533,-0.083474,-0.269316,-0.041421,0.990579,-0.099247,0.092339,-0.019391,0.998526,-0.052209,-0.012287,-0.008307,0.999693,0.016173,0.016707,-0.008559,0.993163,0.074013,0.089888,0.008337,0.792924,0.082271,0.603739,-0.001400,0.490940,0.541484,0.615635,-0.294562,0.994396,-0.089823,0.054345,-0.012452,0.901140,-0.081818,0.424230,-0.035806,0.719946,-0.469426,0.504555,0.082111
0.999547,0.026966,-0.013369,-0.000320,0.993537,-0.020746,-0.111290,-0.008302,0.979322,-0.011581,0.200209,-0.026648,0.999697,-0.003939,0.004202,-0.023918,0.959510,-0.077265,-0.268438,-0.036231,0.990727,-0.103629,0.087870,-0.000095,0.998564,-0.052196,-0.006506,0.010134,0.999758,0.015365,0.015458,-0.002918,0.992479,0.069146,0.099588,0.016917,0.787693,0.069023,0.612079,0.011603,0.493782,0.523014,0.632305,-0.287795,0.994500,-0.092655,0.048430,-0.006272,0.902519,-0.087280,0.420656,-0.029831,0.720381,-0.474154,0.499030,0.084843
0.999507,0.027656,-0.014356,0.003756,0.994128,-0.018492,-0.106552,-0.003787,0.979058,-0.009318,0.201784,-0.025345,0.999707,-0.003948,0.006044,-0.023094,0.960190,-0.071576,-0.268207,-0.031245,0.990235,-0.106419,0.088713,0.015492,0.998636,-0.045873,0.001387,0.024897,0.999785,0.014655,0.014412,0.002775,0.991671,0.065348,0.108105,0.025135,0.782357,0.058565,0.619689,0.021751,0.492692,0.509372,0.645878,-0.283963,0.994527,-0.094464,0.044637,-0.000373,0.903746,-0.091401,0.417475,-0.024559,0.722334,-0.476653,0.493382,0.087227
0.999451,0.028383,-0.015135,0.007880,0.994660,-0.015926,-0.101969,0.000788,0.978805,-0.006815,0.203284,-0.023882,0.999714,-0.003979,0.008052,-0.022151,0.960705,-0.066148,-0.268284,-0.026357,0.989374,-0.108583,0.092182,0.029189,0.998566,-0.036556,0.010502,0.037663,0.999775,0.013995,0.013459,0.008493,0.990754,0.062039,0.116011,0.033165,0.776946,0.049455,0.626884,0.030424,0.489682,0.498101,0.657840,-0.281698,0.994507,-0.095762,0.041899,0.005389,0.904892,-0.094836,0.414478,-0.019625,0.725045,-0.478010,0.487660,0.089468
0.999376,0.029714,-0.015148,0.011648,0.995065,-0.012274,-0.098344,0.004912,0.978418,-0.003440,0.205458,-0.021773,0.999720,-0.004091,0.010628,-0.020722,0.960597,-0.062893,-0.269761,-0.022946,0.988521,-0.107152,0.101553,0.032115,0.998764,-0.023674,0.017146,0.040203,0.999726,0.013831,0.012965,0.013705,0.989919,0.059554,0.122075,0.040132,0.772281,0.042589,0.632787,0.036730,0.484757,0.490156,0.667504,-0.281418,0.994449,-0.095993,0.041836,0.010346,0.905707,-0.096839,0.412414,-0.015225,0.727933,-0.477868,0.483096,0.091508
0.999291,0.030966,-0.014873,0.015420,0.995442,-0.008517,-0.094551,0.009065,0.978091,-0.000036,0.207259,-0.019551,0.999718,-0.004308,0.013332,-0.019166,0.960549,-0.060147,-0.270822,-0.019591,0.987734,-0.105077,0.110548,0.033467,0.998800,-0.013615,0.022810,0.041154,0.999653,0.013645,0.012577,0.018693,0.989083,0.056929,0.127626,0.046746,0.768272,0.035626,0.637677,0.043088,0.481259,0.482621,0.676037,-0.280071,0.994380,-0.095907,0.042246,0.015025,0.906412,-0.098498,0.410611,-0.010725,0.730462,-0.477857,0.478870,0.093605
0.999203,0.032060,-0.014026,0.019198,0.995803,-0.004525,-0.090439,0.013272,0.977912,0.003472,0.208286,-0.017089,0.999706,-0.004690,0.016268,-0.017360,0.960646,-0.058426,-0.271070,-0.016348,0.987201,-0.101569,0.118812,0.031659,0.998843,-0.009099,0.026421,0.039131,0.999563,0.013418,0.012424,0.023239,0.988343,0.054113,0.132203,0.052650,0.765673,0.028567,0.640676,0.049622,0.480627,0.476096,0.682549,-0.276510,0.994318,-0.095188,0.043631,0.019149,0.906912,-0.099478,0.409363,-0.006033,0.732289,-0.478145,0.475345,0.095796
0.999106,0.032916,-0.012885,0.023176,0.996143,-0.000422,-0.085934,0.017727,0.977869,0.007032,0.208595,-0.014539,0.999680,-0.005148,0.019362,-0.015430,0.961123,-0.057115,-0.269848,-0.012710,0.986809,-0.097596,0.125749,0.029486,0.998900,-0.005602,0.028456,0.036849,0.999459,0.013121,0.012262,0.027557,0.987754,0.051494,0.135397,0.057955,0.763905,0.022116,0.642544,0.055658,0.481199,0.471291,0.687110,-0.272419,0.994270,-0.094007,0.045431,0.022952,0.907039,-0.099981,0.409001,-0.001223,0.733164,-0.477843,0.473558,0.099390
