joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
-0.062838,-0.363939,-0.016186,-0.095082,-0.238412,-0.015581,-0.004251,0.059858,0.054640,0.468267,0.603096,0.097840,0.095113,-0.388033,-0.227791,0.128986,-0.202099,0.035088,0.097252,-0.146868,0.014755,1.109418,0.757837,1.269304,-0.867794,0.316385,0.274374,-0.143847,0.000333
-0.049091,-0.358462,-0.012672,-0.096378,-0.231855,-0.018314,-0.011376,0.091227,0.055908,0.463764,0.572351,0.125868,0.084452,-0.391315,-0.220716,0.121673,-0.207764,0.032255,0.096328,-0.126565,0.017271,1.111270,0.763767,1.257146,-0.869324,0.321384,0.276497,-0.134277,0.000421
-0.035450,-0.352846,-0.009189,-0.096858,-0.224280,-0.020969,-0.018877,0.121685,0.056923,0.458596,0.547615,0.151902,0.074584,-0.393703,-0.209757,0.114357,-0.212753,0.029095,0.097351,-0.106735,0.020011,1.113192,0.769001,1.245459,-0.869324,0.326096,0.277887,-0.127586,0.000513
-0.022017,-0.346951,-0.005768,-0.095706,-0.214669,-0.023466,-0.027129,0.150322,0.057431,0.452097,0.534896,0.173951,0.066303,-0.394304,-0.191030,0.107037,-0.216390,0.025284,0.102267,-0.087850,0.023195,1.115258,0.772842,1.234715,-0.866263,0.330238,0.277814,-0.126653,0.000614
-0.010091,-0.343377,-0.002438,-0.093294,-0.206348,-0.025898,-0.035213,0.172365,0.057542,0.445819,0.535175,0.193214,0.061972,-0.393948,-0.178864,0.101919,-0.218251,0.020305,0.117864,-0.076118,0.024335,1.117872,0.773464,1.231617,-0.860765,0.335446,0.275279,-0.127517,-0.000176
0.001082,-0.340963,0.000846,-0.090252,-0.198672,-0.028297,-0.043213,0.191112,0.057454,0.439651,0.541952,0.211085,0.059617,-0.393115,-0.169978,0.097901,-0.219223,0.014743,0.138801,-0.067962,0.024451,1.120760,0.772476,1.232342,-0.854048,0.341188,0.271515,-0.129279,-0.001410
0.008713,-0.343337,0.003793,-0.086132,-0.196645,-0.030957,-0.049526,0.190814,0.056766,0.436670,0.564597,0.224315,0.061642,-0.392558,-0.176854,0.094547,-0.219039,0.007061,0.160973,-0.064109,0.023786,1.124008,0.768197,1.237244,-0.846894,0.347837,0.268084,-0.133524,-0.003146
0.016068,-0.345453,0.006284,-0.081598,-0.195512,-0.033536,-0.055676,0.186809,0.055731,0.432551,0.585774,0.236349,0.064353,-0.390973,-0.184485,0.091007,-0.218164,-0.000950,0.176411,-0.059256,0.023568,1.125907,0.763500,1.241093,-0.840596,0.353885,0.265476,-0.135836,-0.005225
0.022868,-0.347050,0.007862,-0.076233,-0.196168,-0.035952,-0.061500,0.175393,0.053998,0.426156,0.604014,0.245991,0.068436,-0.387335,-0.193628,0.087094,-0.215903,-0.009619,0.178383,-0.052404,0.024243,1.125106,0.757963,1.242837,-0.836011,0.358732,0.264516,-0.134283,-0.007991
0.029827,-0.346110,0.008582,-0.070147,-0.197198,-0.038092,-0.067624,0.161438,0.051644,0.417465,0.616557,0.252808,0.073288,-0.381888,-0.203069,0.083660,-0.212541,-0.018592,0.177479,-0.045830,0.025536,1.124211,0.753477,1.244732,-0.832664,0.362328,0.264856,-0.130391,-0.008043
0.036866,-0.343900,0.008872,-0.063699,-0.198415,-0.040092,-0.073898,0.146214,0.048978,0.407624,0.626251,0.258212,0.078525,-0.375537,-0.212660,0.080464,-0.208628,-0.027719,0.175138,-0.039395,0.027138,1.123270,0.749515,1.246702,-0.829935,0.365299,0.265847,-0.125329,-0.006737
0.043890,-0.339086,0.008250,-0.056273,-0.197658,-0.041567,-0.079917,0.133433,0.045780,0.397159,0.630560,0.257672,0.083671,-0.368380,-0.223395,0.078686,-0.203429,-0.037002,0.171724,-0.036124,0.028450,1.125822,0.747972,1.252553,-0.827342,0.372489,0.269563,-0.127616,-0.000549
0.050297,-0.333948,0.007493,-0.048639,-0.196323,-0.042800,-0.085607,0.121072,0.042544,0.387601,0.633543,0.255578,0.087880,-0.361305,-0.234285,0.076355,-0.198151,-0.046190,0.167652,-0.030082,0.029447,1.126116,0.747115,1.255711,-0.824554,0.378956,0.273812,-0.127297,0.005747
0.055467,-0.328162,0.006465,-0.040590,-0.193834,-0.043546,-0.090638,0.109548,0.039232,0.379856,0.633871,0.250375,0.090214,-0.354398,-0.245486,0.072915,-0.192714,-0.055186,0.162262,-0.018501,0.029815,1.121893,0.747632,1.253484,-0.821378,0.383975,0.279125,-0.121766,0.012255
