joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
0.687330,0.273839,0.175680,-0.064800,0.327840,-0.136650,-0.356250,1.568460,0.063420,-0.225150,-1.537260,1.401390,-0.533040,-0.164100,0.353760,-0.365670,-0.283230,-0.141660,-0.046200,1.015140,0.125820,0.092579,0.296520,-0.607921,-0.076500,0.249930,0.106139,0.478500,0.004410
0.682090,0.280810,0.174150,-0.024000,0.378750,-0.132730,-0.375040,1.522910,0.050740,-0.258410,-1.236810,1.301730,-0.493390,-0.119410,0.547950,-0.365780,-0.249450,-0.157970,0.051140,0.991510,0.136960,0.096140,0.261690,-0.584340,0.000010,0.235640,0.069530,0.334550,0.004610
0.671610,0.294751,0.171090,0.057600,0.480570,-0.124890,-0.412620,1.431810,0.025380,-0.324930,-0.635911,1.102410,-0.414090,-0.030030,0.936330,-0.366000,-0.181890,-0.190590,0.245820,0.944250,0.159240,0.103261,0.192030,-0.537179,0.153029,0.207060,-0.003690,0.046650,0.005010
0.596310,0.178710,0.166490,0.120600,0.416050,-0.121590,-0.404200,1.102170,0.005540,-0.313910,0.013930,0.963170,-0.216530,0.017770,0.608310,-0.255920,-0.093030,-0.248930,0.779840,0.586610,0.056960,0.130699,0.031090,-0.154901,0.274910,0.260420,-0.126710,-0.043190,-0.039470
0.558660,0.120690,0.164190,0.152100,0.383790,-0.119940,-0.399990,0.937350,-0.004380,-0.308399,0.338851,0.893550,-0.117750,0.041670,0.444300,-0.200880,-0.048600,-0.278100,1.046850,0.407790,0.005820,0.144417,-0.049379,0.036238,0.335850,0.287100,-0.188220,-0.088110,-0.061710
0.381570,-0.118710,0.147360,0.205980,0.101370,-0.132990,-0.315660,-0.014910,-0.034380,-0.149070,1.132259,0.661500,0.101250,0.027871,-0.343800,-0.167700,0.009180,-0.384120,1.108590,0.192660,-0.033240,0.162420,-0.213931,0.245100,0.357721,0.332429,-0.171570,-0.212250,-0.086790
0.367720,-0.105770,0.124540,0.226730,0.056640,-0.128940,-0.307500,-0.200220,-0.051790,-0.205950,1.058840,0.601700,0.135550,0.079221,-0.381570,-0.177010,0.043790,-0.400550,0.771920,0.242640,-0.010910,0.094930,-0.234891,0.192460,0.314890,0.302410,-0.130380,-0.115610,-0.103960
0.340020,-0.079890,0.078900,0.268230,-0.032820,-0.120840,-0.291180,-0.570840,-0.086610,-0.319710,0.912001,0.482100,0.204150,0.181920,-0.457110,-0.195630,0.113010,-0.433410,0.098580,0.342600,0.033750,-0.040051,-0.276809,0.087179,0.229229,0.242370,-0.048000,0.077670,-0.138300
0.347960,0.047030,0.035980,0.304330,-0.051500,-0.106960,-0.306200,-0.697740,-0.117730,-0.434590,0.627140,0.340840,0.242610,0.272340,-0.472070,-0.171730,0.168110,-0.448690,-0.045180,0.328700,0.064650,-0.044729,-0.224330,0.094739,0.167370,0.179810,0.017020,0.194610,-0.002580
0.351930,0.110490,0.014520,0.322380,-0.060840,-0.100020,-0.313710,-0.761190,-0.133290,-0.492030,0.484709,0.270210,0.261840,0.317549,-0.479550,-0.159780,0.195660,-0.456330,-0.117060,0.321750,0.080100,-0.047067,-0.198090,0.098519,0.136440,0.148530,0.049530,0.253080,0.065280
0.351210,0.240720,-0.031080,0.371310,0.037860,-0.073770,-0.300960,-0.639030,-0.159900,-0.523261,0.215460,-0.027000,0.257310,0.357870,-0.536760,-0.088890,0.259950,-0.464160,-0.170700,0.163560,0.065580,0.127587,-0.077160,0.292532,0.129660,0.359521,0.185820,-0.114330,0.309420
0.320320,0.256900,-0.037860,0.381690,0.066730,-0.061620,-0.284490,-0.618080,-0.161800,-0.477910,0.149120,-0.104710,0.210440,0.353710,-0.544510,-0.116580,0.263910,-0.459380,-0.203620,0.302070,0.049860,0.014689,-0.042830,0.157912,0.139380,0.323330,0.212430,0.015950,0.314760
0.258540,0.289259,-0.051420,0.402450,0.124470,-0.037320,-0.251550,-0.576180,-0.165600,-0.387210,0.016440,-0.260130,0.116700,0.345390,-0.560010,-0.171960,0.271830,-0.449820,-0.269460,0.579090,0.018420,-0.211108,0.025830,-0.111330,0.158821,0.250950,0.265650,0.276510,0.325440
0.157040,0.301200,-0.060500,0.413070,0.190950,-0.012840,-0.237650,-0.535640,-0.149980,-0.163130,-0.031179,-0.367550,0.034960,0.240550,-0.645830,-0.172920,0.243750,-0.423540,-0.342780,0.633530,0.064960,-0.306931,0.118530,-0.164990,0.087181,0.195210,0.274950,0.476790,0.270840
0.106290,0.307170,-0.065040,0.418380,0.224190,-0.000600,-0.230700,-0.515370,-0.142170,-0.051090,-0.054989,-0.421260,-0.005910,0.188130,-0.688740,-0.173400,0.229710,-0.410400,-0.379440,0.660750,0.088230,-0.354842,0.164881,-0.191821,0.051361,0.167339,0.279600,0.576930,0.243540
0.046170,0.250590,-0.098370,0.458130,0.373290,0.036240,-0.165060,-0.377670,-0.090000,0.232020,0.094469,-0.527520,-0.098190,-0.099060,-0.764279,-0.164520,0.202470,-0.365550,-0.439350,0.709140,0.184080,-0.572337,0.324540,-0.282869,-0.098881,0.155970,0.235710,0.738990,0.125160
-0.008980,0.173100,-0.107280,0.476450,0.431990,0.048210,-0.141500,-0.319690,-0.068170,0.391630,0.234510,-0.548360,-0.135280,-0.187860,-0.747310,-0.157260,0.195490,-0.370780,-0.446300,0.681430,0.191130,-0.634929,0.373050,-0.294820,-0.122281,0.090820,0.234680,0.723260,0.108250
-0.119280,0.018120,-0.125100,0.513090,0.549390,0.072150,-0.094380,-0.203730,-0.024510,0.710850,0.514591,-0.590040,-0.209460,-0.365460,-0.713370,-0.142740,0.181530,-0.381240,-0.460200,0.626010,0.205230,-0.760113,0.470070,-0.318722,-0.169081,-0.039480,0.232620,0.691800,0.074430
