pelvis_x,pelvis_y,pelvis_z,left_hip_roll_link_x,left_hip_roll_link_y,left_hip_roll_link_z,left_knee_link_x,left_knee_link_y,left_knee_link_z,left_ankle_roll_link_x,left_ankle_roll_link_y,left_ankle_roll_link_z,right_hip_roll_link_x,right_hip_roll_link_y,right_hip_roll_link_z,right_knee_link_x,right_knee_link_y,right_knee_link_z,right_ankle_roll_link_x,right_ankle_roll_link_y,right_ankle_roll_link_z,torso_link_x,torso_link_y,torso_link_z,left_shoulder_roll_link_x,left_shoulder_roll_link_y,left_shoulder_roll_link_z,left_elbow_link_x,left_elbow_link_y,left_elbow_link_z,left_wrist_yaw_link_x,left_wrist_yaw_link_y,left_wrist_yaw_link_z,right_shoulder_roll_link_x,right_shoulder_roll_link_y,right_shoulder_roll_link_z,right_elbow_link_x,right_elbow_link_y,right_elbow_link_z,right_wrist_yaw_link_x,right_wrist_yaw_link_y,right_wrist_yaw_link_z
-0.041676,-0.074186,0.110935,0.148748,0.199889,0.082369,0.185707,-0.149249,-0.017180,-0.113425,-0.024527,-0.036809,0.160779,-0.020279,0.081732,0.152673,-0.006455,0.017896,0.000175,0.018067,0.016537,-0.039192,-0.099964,-0.031427,-0.018279,-0.044549,-0.046185,0.033423,0.023339,-0.037802,-0.000406,0.037821,-0.094485,0.018553,-0.074238,-0.025784,0.089491,-0.141578,-0.161519,0.082752,-0.149100,-0.124688
-0.047014,-0.062940,0.133170,0.157859,0.231577,0.101441,0.202402,-0.187921,-0.012991,-0.112298,-0.017343,-0.036408,0.176350,-0.029114,0.101763,0.162184,-0.022235,0.016505,0.004683,0.011935,0.016402,-0.046395,-0.099497,-0.010649,-0.013088,-0.034082,-0.027068,0.029462,0.022262,-0.019078,-0.000424,0.038810,-0.058175,0.036854,-0.096096,-0.011312,0.095767,-0.144613,-0.167856,0.102800,-0.152638,-0.129049
-0.057692,-0.045810,0.160544,0.173963,0.246136,0.124479,0.220767,-0.212757,-0.010307,-0.109945,-0.008018,-0.036437,0.198041,-0.039301,0.125687,0.174782,-0.046435,0.013517,0.008673,0.003628,0.015532,-0.054944,-0.095837,0.014301,-0.008363,-0.021264,-0.003421,0.023599,0.019764,-0.000345,-0.003380,0.037948,-0.026541,0.059032,-0.121495,0.005595,0.104327,-0.147911,-0.177278,0.128708,-0.153702,-0.135906
-0.075582,-0.023309,0.188852,0.197908,0.226732,0.147586,0.237295,-0.207329,-0.010910,-0.103464,0.003768,-0.037288,0.225433,-0.046245,0.148949,0.188712,-0.081971,0.008166,0.011161,-0.006957,0.013716,-0.062925,-0.086978,0.039950,-0.006317,-0.008417,0.022143,0.016030,0.016001,0.014622,-0.009146,0.033345,-0.010098,0.081212,-0.146254,0.022206,0.114206,-0.150510,-0.193786,0.156266,-0.148809,-0.148649
-0.101863,0.001968,0.213063,0.228153,0.168365,0.166212,0.249770,-0.166709,-0.015138,-0.089899,0.018242,-0.038934,0.258294,-0.040418,0.165819,0.200564,-0.134526,-0.000399,0.012338,-0.020641,0.011180,-0.068250,-0.072591,0.062990,-0.008840,0.001600,0.046849,0.007046,0.011416,0.024398,-0.015291,0.024055,-0.008908,0.099449,-0.167493,0.036013,0.123373,-0.150763,-0.224870,0.180972,-0.135442,-0.173759
-0.137197,0.025417,0.228237,0.260841,0.080522,0.175903,0.257904,-0.099593,-0.021472,-0.068758,0.034411,-0.040629,0.297168,-0.005551,0.169840,0.204954,-0.214227,-0.013362,0.013833,-0.039662,0.008599,-0.069318,-0.055341,0.080879,-0.016768,0.006005,0.067905,-0.003304,0.005912,0.029793,-0.018371,0.010947,-0.010494,0.111297,-0.185060,0.045232,0.128825,-0.145997,-0.279830,0.201031,-0.113544,-0.220941
-0.182031,0.041664,0.229770,0.291043,-0.019631,0.172457,0.262373,-0.021409,-0.027447,-0.042242,0.049838,-0.041162,0.343090,0.081273,0.153707,0.194527,-0.336033,-0.032373,0.018421,-0.068828,0.006910,-0.064955,-0.040556,0.091628,-0.029839,0.002283,0.082321,-0.015121,-0.001323,0.032639,-0.015997,-0.004343,0.000766,0.116042,-0.200908,0.048657,0.127224,-0.132708,-0.367242,0.216883,-0.084620,-0.302880
-0.235887,0.047038,0.213470,0.314159,-0.115748,0.152067,0.263707,0.052880,-0.031119,-0.013161,0.061932,-0.039656,0.396002,0.244805,0.109707,0.161158,-0.516562,-0.058979,0.029728,-0.117334,0.007014,-0.054104,-0.034175,0.093456,-0.047304,-0.011787,0.087076,-0.028319,-0.011103,0.034841,-0.007838,-0.021956,0.031135,0.113763,-0.217481,0.045241,0.115832,-0.107598,-0.493489,0.226341,-0.048358,-0.433217
-0.295075,0.042192,0.175828,0.326499,-0.195718,0.111808,0.262037,0.109938,-0.031836,0.016110,0.069395,-0.036182,0.451847,0.500100,0.031719,0.099178,-0.764502,-0.093052,0.052716,-0.199917,0.009338,-0.036125,-0.040304,0.084433,-0.068663,-0.037825,0.079369,-0.042701,-0.023830,0.037021,0.004290,-0.044861,0.073360,0.104233,-0.236229,0.033517,0.093200,-0.068871,-0.661507,0.221323,-0.000535,-0.620938
-0.350233,0.032650,0.114693,0.325201,-0.251031,0.050498,0.257355,0.136450,-0.029909,0.042515,0.072468,-0.031579,0.499854,0.837794,-0.081199,0.009754,-1.066698,-0.131312,0.095297,-0.334357,0.013132,-0.011731,-0.059761,0.062216,-0.093875,-0.076168,0.056690,-0.058576,-0.040311,0.036392,0.015623,-0.076210,0.112575,0.086539,-0.256536,0.011269,0.059467,-0.017214,-0.867504,0.193052,0.064058,-0.862768
