pelvis_qw,pelvis_qx,pelvis_qy,pelvis_qz,left_hip_roll_link_qw,left_hip_roll_link_qx,left_hip_roll_link_qy,left_hip_roll_link_qz,left_knee_link_qw,left_knee_link_qx,left_knee_link_qy,left_knee_link_qz,left_ankle_roll_link_qw,left_ankle_roll_link_qx,left_ankle_roll_link_qy,left_ankle_roll_link_qz,right_hip_roll_link_qw,right_hip_roll_link_qx,right_hip_roll_link_qy,right_hip_roll_link_qz,right_knee_link_qw,right_knee_link_qx,right_knee_link_qy,right_knee_link_qz,right_ankle_roll_link_qw,right_ankle_roll_link_qx,right_ankle_roll_link_qy,right_ankle_roll_link_qz,torso_link_qw,torso_link_qx,torso_link_qy,torso_link_qz,left_shoulder_roll_link_qw,left_shoulder_roll_link_qx,left_shoulder_roll_link_qy,left_shoulder_roll_link_qz,left_elbow_link_qw,left_elbow_link_qx,left_elbow_link_qy,left_elbow_link_qz,left_wrist_yaw_link_qw,left_wrist_yaw_link_qx,left_wrist_yaw_link_qy,left_wrist_yaw_link_qz,right_shoulder_roll_link_qw,right_shoulder_roll_link_qx,right_shoulder_roll_link_qy,right_shoulder_roll_link_qz,right_elbow_link_qw,right_elbow_link_qx,right_elbow_link_qy,right_elbow_link_qz,right_wrist_yaw_link_qw,right_wrist_yaw_link_qx,right_wrist_yaw_link_qy,right_wrist_yaw_link_qz
0.009168,-0.005322,0.013362,0.999855,0.007718,0.053111,0.054478,0.997072,-0.080541,-0.090049,0.038475,0.991929,-0.078018,-0.007706,-0.022792,0.996662,0.017207,0.067168,-0.091129,0.993422,0.155400,-0.070282,-0.059057,0.983577,0.150972,0.008964,0.022437,0.988243,0.011865,-0.050152,0.009027,0.998630,0.016433,-0.060235,0.138466,0.988397,0.245268,-0.527496,0.257053,0.771696,0.305807,-0.526901,0.268963,0.746000,-0.004128,0.012107,-0.093398,0.995547,-0.245570,-0.474732,-0.242824,0.809544,-0.283709,-0.527452,-0.323015,0.732779
0.008358,-0.006189,0.013738,0.999852,0.007002,0.054403,0.053102,0.997081,-0.080116,-0.090894,0.036957,0.991945,-0.077659,-0.007970,-0.021602,0.996714,0.016557,0.067153,-0.092510,0.993307,0.155324,-0.069947,-0.060444,0.983529,0.150810,0.009202,0.022555,0.988263,0.012455,-0.051128,0.009344,0.998571,0.017206,-0.060713,0.138762,0.988313,0.245934,-0.527052,0.257182,0.771745,0.306853,-0.526234,0.269928,0.745693,-0.003710,0.011627,-0.093349,0.995559,-0.244279,-0.476411,-0.242430,0.809066,-0.282986,-0.529042,-0.322422,0.732173
0.007261,-0.006991,0.014096,0.999850,0.005980,0.056661,0.051738,0.997034,-0.079739,-0.092808,0.035238,0.991860,-0.077308,-0.008113,-0.020504,0.996763,0.015618,0.067061,-0.094032,0.993185,0.155238,-0.069732,-0.061949,0.983464,0.150632,0.009383,0.022554,0.988288,0.012743,-0.052150,0.009730,0.998511,0.017703,-0.061101,0.138948,0.988254,0.246278,-0.526686,0.257128,0.771903,0.307378,-0.525711,0.270425,0.745665,-0.003543,0.010849,-0.093525,0.995552,-0.242868,-0.478180,-0.242010,0.808573,-0.282128,-0.530776,-0.321886,0.731485
0.005593,-0.007662,0.014418,0.999851,0.004348,0.060852,0.050402,0.996864,-0.079451,-0.096859,0.033127,0.991569,-0.076975,-0.008017,-0.019578,0.996809,0.014101,0.066814,-0.095834,0.993052,0.155134,-0.069755,-0.063694,0.983367,0.150422,0.009449,0.022315,0.988325,0.012426,-0.053266,0.010255,0.998450,0.017648,-0.061308,0.138920,0.988246,0.245972,-0.526474,0.256714,0.772283,0.306857,-0.525482,0.269991,0.746198,-0.003876,0.009480,-0.094146,0.995506,-0.241217,-0.480122,-0.241544,0.808055,-0.280996,-0.532797,-0.321469,0.730634
0.003572,-0.007974,0.015031,0.999849,0.002467,0.064038,0.048659,0.996757,-0.079114,-0.100052,0.030859,0.991352,-0.076655,-0.008002,-0.018233,0.996859,0.012269,0.066432,-0.097945,0.992896,0.155104,-0.070100,-0.065688,0.983216,0.150270,0.009416,0.022167,0.988352,0.011907,-0.054321,0.010945,0.998393,0.017396,-0.061336,0.138855,0.988258,0.245831,-0.526415,0.256506,0.772437,0.306176,-0.525327,0.269858,0.746635,-0.004339,0.007860,-0.095115,0.995426,-0.239652,-0.482033,-0.241278,0.807463,-0.279670,-0.534957,-0.321620,0.729497
0.001374,-0.008107,0.015789,0.999842,0.000472,0.066730,0.046717,0.996677,-0.078733,-0.102803,0.028525,0.991171,-0.076329,-0.008012,-0.016667,0.996911,0.010277,0.065990,-0.100210,0.992722,0.155111,-0.070591,-0.067807,0.983036,0.150145,0.009347,0.022062,0.988374,0.011285,-0.055347,0.011718,0.998335,0.017045,-0.061276,0.138771,0.988280,0.245774,-0.526432,0.256400,0.772479,0.305414,-0.525210,0.269875,0.747024,-0.004872,0.006114,-0.096260,0.995326,-0.238133,-0.483924,-0.241120,0.806828,-0.278251,-0.537182,-0.322061,0.728210
-0.001304,-0.007641,0.017057,0.999824,-0.001836,0.067035,0.044028,0.996777,-0.078165,-0.103595,0.025997,0.991203,-0.075880,-0.007457,-0.016302,0.996956,0.007845,0.065183,-0.102980,0.992514,0.155232,-0.071729,-0.070370,0.982754,0.150100,0.009064,0.021868,0.988387,0.010169,-0.055768,0.012399,0.998315,0.016058,-0.061173,0.138776,0.988302,0.245353,-0.526421,0.256137,0.772707,0.306246,-0.524943,0.270956,0.746479,-0.005730,0.004309,-0.097527,0.995207,-0.236088,-0.486148,-0.240925,0.806150,-0.276104,-0.539277,-0.322294,0.727374
0.003964,0.007021,-0.018593,-0.999795,0.004075,-0.066693,-0.041156,-0.996916,0.077534,0.103944,-0.023416,-0.991280,0.075392,0.006831,0.015968,-0.997003,-0.005518,-0.064738,0.106023,-0.992239,-0.155393,0.073494,0.073014,-0.982406,-0.150066,-0.008649,-0.021720,-0.988400,-0.009045,0.056031,-0.013084,-0.998302,-0.015019,0.061102,-0.138910,-0.988304,-0.244975,0.526467,-0.256008,-0.772838,-0.306804,0.524866,-0.271631,-0.746059,0.006550,-0.002417,0.098779,-0.995085,0.233494,0.488462,0.240392,-0.805666,0.273774,0.541146,0.322391,-0.726823
0.006592,0.006095,-0.020661,-0.999746,0.006202,-0.065038,-0.037908,-0.997143,0.076815,0.103438,-0.020708,-0.991449,0.074854,0.006090,0.015712,-0.997052,-0.003423,-0.064998,0.109600,-0.991842,-0.155661,0.076548,0.075808,-0.981918,-0.150080,-0.007939,-0.021680,-0.988404,-0.007904,0.055977,-0.013778,-0.998306,-0.013876,0.061092,-0.139303,-0.988266,-0.244686,0.526628,-0.256143,-0.772775,-0.306819,0.525167,-0.271493,-0.745891,0.007284,-0.000352,0.099996,-0.994961,0.229795,0.490958,0.239170,-0.805575,0.271075,0.542575,0.322205,-0.726853
0.008775,0.005559,-0.023561,-0.999668,0.007802,-0.062521,-0.034522,-0.997416,0.076240,0.102055,-0.017960,-0.991690,0.074495,0.005312,0.015948,-0.997080,-0.002396,-0.067982,0.113997,-0.991150,-0.156050,0.082263,0.078363,-0.981193,-0.150047,-0.006864,-0.021133,-0.988429,-0.006825,0.056117,-0.014224,-0.998300,-0.012821,0.061404,-0.139873,-0.988180,-0.244293,0.527000,-0.256273,-0.772603,-0.306052,0.525542,-0.271007,-0.746118,0.008011,0.001881,0.101142,-0.994838,0.224726,0.493329,0.236963,-0.806209,0.265745,0.545533,0.321561,-0.726892
