joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
0.058708,0.083517,0.164002,0.121480,-0.155043,-0.135227,0.026944,-0.208309,-0.257797,0.126795,-0.132404,0.185541,-0.006232,-0.009716,0.089511,0.024395,0.259613,-0.663397,0.980440,0.095728,-0.003553,-0.093141,-0.128298,-0.205378,0.673468,1.019331,-0.184156,0.174165,0.065438
0.054295,0.079956,0.161978,0.125420,-0.156668,-0.129857,0.025339,-0.211945,-0.258584,0.126535,-0.131796,0.188478,-0.009072,-0.009867,0.089681,0.023560,0.259590,-0.663036,0.978410,0.097678,-0.003412,-0.092963,-0.129408,-0.205875,0.671767,1.022187,-0.184649,0.173729,0.066029
0.048060,0.076431,0.159327,0.133431,-0.160687,-0.124459,0.024086,-0.215873,-0.259886,0.126448,-0.131316,0.191435,-0.011886,-0.009817,0.090081,0.022362,0.259223,-0.662458,0.976702,0.098855,-0.003325,-0.092724,-0.129945,-0.206996,0.669281,1.024543,-0.185287,0.173498,0.066569
0.038180,0.072979,0.155426,0.149583,-0.169492,-0.119004,0.023534,-0.220387,-0.262217,0.126704,-0.131091,0.194429,-0.014648,-0.009366,0.090939,0.020437,0.258167,-0.661447,0.975636,0.098489,-0.003348,-0.092364,-0.129333,-0.209368,0.665224,1.025896,-0.186214,0.173674,0.067009
0.031013,0.068026,0.151197,0.161924,-0.176502,-0.112243,0.024048,-0.226160,-0.265214,0.127504,-0.131202,0.198173,-0.017733,-0.009153,0.092380,0.018212,0.256714,-0.661442,0.975356,0.097919,-0.003380,-0.091271,-0.128038,-0.212790,0.661232,1.026518,-0.187488,0.174672,0.066961
0.025201,0.062323,0.146804,0.172360,-0.182613,-0.104830,0.025093,-0.232562,-0.268544,0.128575,-0.131479,0.202292,-0.020978,-0.009059,0.094111,0.015836,0.255062,-0.661940,0.975467,0.097248,-0.003418,-0.089810,-0.126402,-0.216736,0.657273,1.026774,-0.188937,0.176080,0.066670
0.025375,0.053991,0.141848,0.173939,-0.185777,-0.099178,0.028196,-0.241064,-0.272782,0.130479,-0.132500,0.207258,-0.024194,-0.010133,0.095803,0.014471,0.253750,-0.662848,0.975313,0.101176,-0.003179,-0.090602,-0.123310,-0.220778,0.651726,1.027652,-0.189828,0.176330,0.065439
0.027197,0.044764,0.137008,0.173331,-0.188199,-0.093411,0.030901,-0.250638,-0.276668,0.134465,-0.134472,0.212637,-0.027363,-0.011736,0.097470,0.013492,0.252682,-0.664095,0.975171,0.103764,-0.003026,-0.091415,-0.119720,-0.224782,0.644881,1.028465,-0.191530,0.175841,0.064283
0.032317,0.033746,0.132398,0.168347,-0.189138,-0.087417,0.032812,-0.262357,-0.279847,0.142618,-0.138345,0.218842,-0.030438,-0.014395,0.099086,0.013282,0.252102,-0.666019,0.975053,0.103670,-0.003047,-0.092270,-0.115131,-0.228711,0.635443,1.029148,-0.194855,0.173876,0.063278
0.038458,0.020885,0.129214,0.159926,-0.188308,-0.082230,0.028310,-0.277421,-0.280083,0.161647,-0.147037,0.224287,-0.032734,-0.019210,0.100271,0.013363,0.252375,-0.667567,0.974710,0.102140,-0.003499,-0.092069,-0.110611,-0.231994,0.622385,1.028931,-0.197517,0.176197,0.060943
0.045109,0.007102,0.126744,0.149787,-0.186594,-0.077447,0.020602,-0.294157,-0.278847,0.186113,-0.158137,0.229351,-0.034640,-0.025102,0.101243,0.013590,0.253076,-0.668926,0.974256,0.099893,-0.004167,-0.091340,-0.106127,-0.234953,0.607517,1.028266,-0.199848,0.180662,0.057944
0.052941,-0.010501,0.126852,0.134738,-0.181836,-0.074052,-0.011287,-0.319656,-0.265236,0.253731,-0.186824,0.232744,-0.034778,-0.036370,0.102057,0.014332,0.256203,-0.667949,0.972615,0.095797,-0.004798,-0.093977,-0.101649,-0.235717,0.582609,1.025827,-0.199486,0.179582,0.054667
0.059837,-0.026715,0.128569,0.124396,-0.180143,-0.070898,-0.045767,-0.343605,-0.247600,0.325594,-0.213569,0.233134,-0.034185,-0.047403,0.104236,0.015365,0.260121,-0.666386,0.970388,0.092185,-0.005056,-0.096901,-0.097674,-0.235601,0.555144,1.022588,-0.198069,0.179038,0.051295
0.064858,-0.040146,0.133505,0.123467,-0.184580,-0.068223,-0.085425,-0.364453,-0.221910,0.405944,-0.236430,0.227521,-0.032129,-0.057966,0.109143,0.016979,0.265624,-0.663653,0.966990,0.089538,-0.004567,-0.100399,-0.094701,-0.233723,0.522565,1.017751,-0.194543,0.179566,0.047733
0.070379,-0.049900,0.140797,0.122667,-0.189316,-0.065926,-0.131915,-0.379192,-0.190867,0.493348,-0.254106,0.208404,-0.028903,-0.066443,0.114958,0.019009,0.272309,-0.661512,0.964179,0.084281,-0.004416,-0.100043,-0.093040,-0.230048,0.488396,1.012729,-0.191367,0.178690,0.041844
0.076150,-0.057814,0.149269,0.121932,-0.194201,-0.063819,-0.181821,-0.390875,-0.157147,0.584279,-0.269191,0.182535,-0.025093,-0.073877,0.121227,0.021247,0.279585,-0.659668,0.961660,0.077719,-0.004434,-0.097760,-0.092034,-0.225475,0.453433,1.007616,-0.188366,0.177111,0.034792
0.082025,-0.060255,0.160094,0.121696,-0.200198,-0.062060,-0.228869,-0.393137,-0.130204,0.662159,-0.276508,0.146827,-0.022822,-0.077482,0.126022,0.025186,0.287682,-0.658477,0.963069,0.076787,-0.003893,-0.097590,-0.092590,-0.218931,0.422752,1.004008,-0.184413,0.172340,0.027396
0.087792,-0.060888,0.169702,0.121552,-0.206201,-0.061431,-0.270470,-0.390754,-0.105746,0.725045,-0.278567,0.122248,-0.022212,-0.080081,0.130222,0.029349,0.295893,-0.657518,0.966112,0.078182,-0.002996,-0.097794,-0.093200,-0.212183,0.394842,0.999906,-0.180020,0.168033,0.019331
