joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
-0.220647,-0.178044,-0.101241,0.197012,-0.081249,0.268504,-0.080225,-0.181784,-0.039347,-0.012971,0.030412,0.146890,-0.141999,-0.007549,0.008520,-0.041745,-0.001159,0.018069,-0.101473,0.097475,0.007054,0.008916,-0.055520,-0.024831,-0.085022,0.142808,-0.024649,-0.021758,0.029504
-0.311754,-0.176234,-0.132516,0.400534,-0.200925,0.269916,-0.062672,-0.196424,-0.065078,-0.004371,0.024012,0.147822,-0.140707,0.002497,0.019984,-0.059912,-0.018360,0.028894,-0.085410,0.058876,0.004327,0.011942,-0.026818,-0.056086,-0.124297,0.117760,-0.031882,-0.011571,0.027008
-0.493967,-0.172613,-0.195066,0.807578,-0.440276,0.272742,-0.027565,-0.225705,-0.116538,0.012828,0.011213,0.149686,-0.138123,0.022590,0.042913,-0.096248,-0.052764,0.050544,-0.053285,-0.018321,-0.001125,0.017992,0.030587,-0.118596,-0.202845,0.067663,-0.046349,0.008804,0.022017
-0.358377,-0.247635,-0.211458,0.617056,-0.350476,0.338022,0.025654,-0.288646,-0.149853,0.039977,-0.005506,0.187209,-0.154209,0.010641,0.072008,-0.111275,-0.072666,0.000248,-0.014034,-0.028475,-0.001625,0.054681,0.064742,-0.171079,-0.199595,0.031102,-0.063724,0.049879,-0.002384
-0.290582,-0.285146,-0.219654,0.521796,-0.305576,0.370663,0.052263,-0.320116,-0.166510,0.053552,-0.013866,0.205970,-0.162252,0.004666,0.086555,-0.118788,-0.082617,-0.024900,0.005592,-0.033552,-0.001876,0.073026,0.081819,-0.197320,-0.197970,0.012821,-0.072412,0.070416,-0.014585
0.008690,-0.416603,-0.247783,0.078980,-0.158188,0.282623,0.155150,-0.425082,-0.211915,0.095179,-0.051051,0.248282,-0.160826,-0.053691,0.084639,-0.068234,-0.065593,-0.045419,-0.007700,0.196406,0.011947,-0.039592,0.154571,-0.202064,-0.277374,0.043906,-0.044551,0.012502,-0.061548
0.091127,-0.461362,-0.242020,-0.030415,-0.121109,0.288319,0.135272,-0.478706,-0.194269,0.199331,-0.098591,0.268942,-0.158467,-0.080118,0.083346,-0.048986,-0.053397,-0.062348,-0.007105,0.129367,0.007629,-0.040646,0.179529,-0.200201,-0.342221,0.040646,-0.085116,-0.024429,-0.057785
0.256002,-0.550878,-0.230496,-0.249204,-0.046952,0.299712,0.095517,-0.585954,-0.158976,0.407634,-0.193670,0.310261,-0.153749,-0.132972,0.080760,-0.010491,-0.029006,-0.096205,-0.005915,-0.004710,-0.001007,-0.042755,0.229444,-0.196476,-0.471915,0.034125,-0.166248,-0.098290,-0.050258
0.307022,-0.643054,-0.159176,-0.421033,0.041488,0.259352,-0.225089,-0.753180,-0.011782,0.951428,-0.434580,0.272233,-0.114777,-0.240729,0.059298,0.004066,0.013677,-0.077370,-0.017130,-0.076480,-0.022615,0.010043,0.225972,-0.164122,-0.652895,-0.010817,-0.133110,0.116080,-0.116731
0.332532,-0.689142,-0.123516,-0.506948,0.085708,0.239172,-0.385393,-0.836793,0.061815,1.223324,-0.555035,0.253220,-0.095291,-0.294608,0.048567,0.011345,0.035018,-0.067953,-0.022738,-0.112365,-0.033418,0.036442,0.224236,-0.147944,-0.743385,-0.033288,-0.116542,0.223265,-0.149968
