pelvis_x,pelvis_y,pelvis_z,left_hip_roll_link_x,left_hip_roll_link_y,left_hip_roll_link_z,left_knee_link_x,left_knee_link_y,left_knee_link_z,left_ankle_roll_link_x,left_ankle_roll_link_y,left_ankle_roll_link_z,right_hip_roll_link_x,right_hip_roll_link_y,right_hip_roll_link_z,right_knee_link_x,right_knee_link_y,right_knee_link_z,right_ankle_roll_link_x,right_ankle_roll_link_y,right_ankle_roll_link_z,torso_link_x,torso_link_y,torso_link_z,left_shoulder_roll_link_x,left_shoulder_roll_link_y,left_shoulder_roll_link_z,left_elbow_link_x,left_elbow_link_y,left_elbow_link_z,left_wrist_yaw_link_x,left_wrist_yaw_link_y,left_wrist_yaw_link_z,right_shoulder_roll_link_x,right_shoulder_roll_link_y,right_shoulder_roll_link_z,right_elbow_link_x,right_elbow_link_y,right_elbow_link_z,right_wrist_yaw_link_x,right_wrist_yaw_link_y,right_wrist_yaw_link_z
-0.294603,-0.055543,0.287907,0.527737,0.145344,-0.000854,0.557155,-0.161767,0.068231,0.072555,-0.013555,0.046514,0.570725,0.036450,0.212946,0.495491,-0.293936,-0.012339,0.026112,-0.015446,-0.007915,0.201625,-0.103771,0.324449,0.190056,0.232986,0.228852,0.164923,0.069243,-0.096397,0.152099,0.054056,-0.056287,0.196145,-0.181152,0.300773,0.278093,-0.104754,-0.041608,0.286754,-0.099594,-0.044219
-0.306260,-0.030726,0.234800,0.513626,0.088960,-0.058882,0.561941,-0.143613,0.060732,0.097818,0.005290,0.039739,0.581670,0.074599,0.155863,0.501835,-0.318503,-0.017358,0.021907,-0.019229,-0.010839,0.189517,-0.100091,0.328936,0.182271,0.224425,0.237944,0.179139,0.088791,-0.072333,0.167336,0.071312,-0.052964,0.176317,-0.193260,0.300499,0.227312,-0.101392,-0.030359,0.239524,-0.107800,-0.048200
-0.324455,-0.000901,0.157616,0.493877,0.012249,-0.141730,0.569009,-0.120101,0.051008,0.118483,0.026333,0.031794,0.596128,0.128743,0.072459,0.510732,-0.351581,-0.024509,0.015456,-0.025557,-0.015119,0.173760,-0.094272,0.326922,0.171060,0.208825,0.243192,0.200589,0.114429,-0.044888,0.192141,0.101721,-0.037224,0.157193,-0.194886,0.296179,0.162751,-0.095581,0.021007,0.168235,-0.109799,-0.025841
-0.350770,0.024180,0.063336,0.471744,-0.076886,-0.242414,0.578374,-0.091127,0.038816,0.125300,0.044377,0.023319,0.613268,0.196258,-0.030840,0.522086,-0.389897,-0.033352,0.006241,-0.034988,-0.020582,0.156598,-0.087733,0.314897,0.158360,0.186242,0.240474,0.226269,0.140878,-0.019319,0.221917,0.142178,-0.009929,0.145150,-0.179013,0.286875,0.093899,-0.088598,0.126700,0.080178,-0.100264,0.043896
-0.384702,0.032808,-0.034104,0.452370,-0.166651,-0.347092,0.589547,-0.055177,0.024442,0.116669,0.055489,0.015202,0.631802,0.271634,-0.140438,0.535488,-0.428314,-0.042494,-0.006261,-0.048774,-0.026477,0.140862,-0.083807,0.291976,0.147950,0.158560,0.227388,0.249712,0.159644,0.000534,0.246873,0.181297,0.021172,0.143989,-0.145647,0.272808,0.032630,-0.082940,0.278737,-0.006419,-0.079287,0.170921
-0.421132,0.018485,-0.121009,0.439713,-0.246630,-0.440965,0.601325,-0.010591,0.010015,0.101990,0.059570,0.009232,0.649565,0.348128,-0.242320,0.550066,-0.460726,-0.049306,-0.022560,-0.070082,-0.031369,0.128382,-0.086865,0.258216,0.143961,0.127169,0.202486,0.263798,0.161682,0.013753,0.257404,0.202885,0.046937,0.152562,-0.101949,0.253335,-0.011155,-0.080323,0.443637,-0.069460,-0.054128,0.340737
-0.449896,-0.015409,-0.191911,0.433996,-0.312209,-0.515390,0.611882,0.042142,-0.000753,0.095794,0.060005,0.007743,0.663098,0.419078,-0.329580,0.564627,-0.480279,-0.050008,-0.043154,-0.104387,-0.033437,0.118619,-0.100681,0.211968,0.148929,0.090953,0.163565,0.264301,0.140528,0.020722,0.249880,0.192875,0.061612,0.165250,-0.057935,0.225045,-0.032920,-0.079851,0.574186,-0.095021,-0.035161,0.511106
-0.458757,-0.057818,-0.251750,0.432039,-0.365370,-0.570949,0.619253,0.099628,-0.005080,0.107068,0.060852,0.011818,0.668100,0.477622,-0.404525,0.578265,-0.478832,-0.040551,-0.068047,-0.157617,-0.031312,0.108548,-0.126812,0.149664,0.162853,0.047095,0.107575,0.251461,0.094212,0.019975,0.228162,0.144934,0.062111,0.174541,-0.021939,0.182364,-0.034820,-0.078022,0.628256,-0.085474,-0.028754,0.624130
-0.438156,-0.097647,-0.310473,0.429949,-0.411254,-0.614189,0.621917,0.156913,-0.003420,0.133291,0.064085,0.019874,0.660749,0.515206,-0.473752,0.590894,-0.446569,-0.018581,-0.095400,-0.231881,-0.025481,0.094322,-0.163591,0.068420,0.183766,-0.005861,0.032595,0.228839,0.025295,0.006528,0.200263,0.061957,0.045192,0.174210,0.001702,0.120532,-0.024127,-0.070524,0.583947,-0.056836,-0.032743,0.630089
-0.385283,-0.130975,-0.375132,0.425454,-0.452927,-0.651598,0.619135,0.209067,0.000886,0.163324,0.068571,0.028362,0.639293,0.521579,-0.541337,0.603001,-0.373438,0.013446,-0.119592,-0.320840,-0.020139,0.073894,-0.206207,-0.030921,0.208856,-0.065635,-0.059846,0.201135,-0.060224,-0.026954,0.173054,-0.045788,0.006733,0.161695,0.013067,0.038832,-0.009403,-0.054515,0.445759,-0.027874,-0.037754,0.510904
-0.305798,-0.162295,-0.445713,0.418246,-0.488180,-0.685962,0.611069,0.251517,0.003997,0.184392,0.070910,0.033886,0.605253,0.488314,-0.605958,0.614600,-0.253544,0.044946,-0.129794,-0.408506,-0.024887,0.048683,-0.248023,-0.142585,0.234929,-0.126467,-0.163906,0.172871,-0.153982,-0.087251,0.149216,-0.163985,-0.057244,0.138511,0.015731,-0.058030,0.002933,-0.029981,0.241009,-0.010184,-0.033202,0.289181
-0.212131,-0.198938,-0.515764,0.409209,-0.510356,-0.716000,0.598718,0.279791,0.003438,0.186727,0.067549,0.034618,0.563942,0.413943,-0.662351,0.623968,-0.091138,0.054071,-0.109472,-0.473795,-0.056566,0.022903,-0.282427,-0.256990,0.258140,-0.181166,-0.270487,0.148283,-0.245902,-0.178238,0.129239,-0.277744,-0.149501,0.108561,0.014561,-0.161114,0.009312,0.000597,0.008111,-0.005734,-0.013767,0.016724
-0.118511,-0.243061,-0.574886,0.399887,-0.511875,-0.736867,0.583603,0.289762,-0.001590,0.165400,0.057212,0.030277,0.524370,0.306448,-0.703597,0.626671,0.094759,0.003989,-0.036772,-0.498216,-0.142476,0.001267,-0.304071,-0.362956,0.273884,-0.222763,-0.369257,0.131352,-0.324823,-0.300138,0.116023,-0.373891,-0.270526,0.075704,0.013174,-0.259867,0.007768,0.033621,-0.217082,-0.010992,0.018410,-0.249789
-0.035097,-0.287412,-0.611052,0.392269,-0.487448,-0.740418,0.567290,0.278184,-0.010427,0.122316,0.042181,0.021745,0.498404,0.180676,-0.722258,0.615103,0.269997,-0.159048,0.112921,-0.471098,-0.322949,-0.012988,-0.309136,-0.449548,0.277670,-0.244772,-0.450365,0.124883,-0.379916,-0.449547,0.115828,-0.441318,-0.417510,0.042407,0.012623,-0.344325,-0.002797,0.065344,-0.409106,-0.022411,0.057084,-0.470367
0.034902,-0.317898,-0.613176,0.388400,-0.435592,-0.716865,0.551096,0.243488,-0.020938,0.067872,0.027398,0.011066,0.498088,0.052129,-0.711394,0.578552,0.389891,-0.495238,0.358721,-0.390785,-0.643319,-0.018658,-0.295481,-0.507307,0.266927,-0.241274,-0.505563,0.128525,-0.403325,-0.618174,0.132854,-0.471197,-0.583481,0.009996,0.011676,-0.406213,-0.021973,0.091892,-0.553076,-0.038716,0.096475,-0.628759
0.092571,-0.320962,-0.575016,0.389789,-0.359782,-0.659575,0.536144,0.187949,-0.030019,0.018621,0.017857,0.001113,0.530123,-0.068761,-0.667246,0.503967,0.408079,-1.038947,0.699032,-0.266627,-1.126762,-0.016199,-0.263387,-0.529690,0.242636,-0.208643,-0.529291,0.137453,-0.392868,-0.789840,0.162484,-0.459499,-0.755847,-0.020526,0.007954,-0.439781,-0.047370,0.109225,-0.641816,-0.059547,0.132230,-0.724579
0.137543,-0.290695,-0.499964,0.396757,-0.270365,-0.571691,0.523399,0.120771,-0.035176,-0.009418,0.016199,-0.005717,0.588798,-0.178601,-0.593312,0.377408,0.288743,-1.756383,1.092803,-0.128281,-1.739758,-0.007419,-0.216127,-0.515158,0.209388,-0.148919,-0.520029,0.143945,-0.352622,-0.938314,0.190675,-0.410652,-0.914273,-0.048247,-0.000462,-0.443146,-0.075425,0.113944,-0.673872,-0.083453,0.159433,-0.760678
0.165717,-0.231346,-0.403869,0.407716,-0.184929,-0.469611,0.513251,0.058192,-0.035968,-0.007422,0.022464,-0.008843,0.652003,-0.278211,-0.502663,0.186146,0.020292,-2.527845,1.448422,-0.037498,-2.381109,0.004562,-0.159255,-0.469143,0.173561,-0.072427,-0.481515,0.141551,-0.290912,-1.030140,0.201270,-0.337676,-1.030445,-0.072664,-0.012913,-0.419773,-0.102667,0.104727,-0.652357,-0.107791,0.171689,-0.737631
0.173352,-0.154438,-0.312029,0.418813,-0.123552,-0.378714,0.504963,0.017400,-0.033648,0.024053,0.035896,-0.009278,0.685552,-0.365755,-0.415056,-0.078140,-0.375797,-3.180457,1.640845,-0.080155,-2.912055,0.015757,-0.098755,-0.404096,0.140876,0.003509,-0.422816,0.128793,-0.217489,-1.034451,0.185733,-0.256476,-1.072630,-0.093764,-0.024900,-0.378679,-0.126286,0.083310,-0.583934,-0.129976,0.162995,-0.657750
0.162098,-0.073462,-0.249614,0.424869,-0.099843,-0.322362,0.496752,0.007482,-0.029480,0.077372,0.056234,-0.008133,0.655236,-0.429413,-0.348940,-0.414938,-0.847799,-3.555266,1.566360,-0.321015,-3.207047,0.022704,-0.039331,-0.336201,0.114954,0.060616,-0.356325,0.109751,-0.141592,-0.936788,0.148317,-0.178158,-1.015015,-0.111527,-0.029668,-0.332219,-0.144222,0.054193,-0.478727,-0.148213,0.131044,-0.530471
0.138638,0.000410,-0.230263,0.421740,-0.113897,-0.310970,0.486679,0.024805,-0.024079,0.141545,0.082546,-0.005920,0.538674,-0.447465,-0.312718,-0.810796,-1.327469,-3.564306,1.201633,-0.746218,-3.191643,0.024226,0.016170,-0.279732,0.097284,0.087481,-0.294034,0.091346,-0.070932,-0.748772,0.103568,-0.105835,-0.849004,-0.125276,-0.022180,-0.291969,-0.155315,0.023210,-0.350825,-0.161191,0.079839,-0.372120
0.110204,0.060391,-0.250042,0.408739,-0.152310,-0.337785,0.473665,0.056127,-0.018583,0.204596,0.111046,-0.003548,0.329310,-0.400640,-0.300496,-1.238558,-1.746487,-3.209529,0.612021,-1.249188,-2.857874,0.022188,0.066352,-0.242187,0.087758,0.084189,-0.243904,0.079002,-0.011050,-0.506172,0.067937,-0.037811,-0.592445,-0.133521,-0.002210,-0.264783,-0.159347,-0.004179,-0.217260,-0.167500,0.019943,-0.201852
0.081483,0.104102,-0.290665,0.389091,-0.194764,-0.383273,0.457913,0.085999,-0.015547,0.254543,0.134988,-0.003089,0.034000,-0.288367,-0.295227,-1.661203,-2.048607,-2.568841,-0.096732,-1.681418,-2.265101,0.020472,0.110366,-0.223298,0.084914,0.060808,-0.208612,0.073270,0.034730,-0.256299,0.050537,0.026591,-0.291088,-0.134722,0.025606,-0.251560,-0.156961,-0.023914,-0.095900,-0.165464,-0.034447,-0.039150
