pelvis_x,pelvis_y,pelvis_z,left_hip_roll_link_x,left_hip_roll_link_y,left_hip_roll_link_z,left_knee_link_x,left_knee_link_y,left_knee_link_z,left_ankle_roll_link_x,left_ankle_roll_link_y,left_ankle_roll_link_z,right_hip_roll_link_x,right_hip_roll_link_y,right_hip_roll_link_z,right_knee_link_x,right_knee_link_y,right_knee_link_z,right_ankle_roll_link_x,right_ankle_roll_link_y,right_ankle_roll_link_z,torso_link_x,torso_link_y,torso_link_z,left_shoulder_roll_link_x,left_shoulder_roll_link_y,left_shoulder_roll_link_z,left_elbow_link_x,left_elbow_link_y,left_elbow_link_z,left_wrist_yaw_link_x,left_wrist_yaw_link_y,left_wrist_yaw_link_z,right_shoulder_roll_link_x,right_shoulder_roll_link_y,right_shoulder_roll_link_z,right_elbow_link_x,right_elbow_link_y,right_elbow_link_z,right_wrist_yaw_link_x,right_wrist_yaw_link_y,right_wrist_yaw_link_z
-0.040955,-0.279910,0.018850,-0.007147,-0.326660,0.050695,-0.053417,-0.172546,0.024751,-0.000686,0.001753,-0.000931,-0.074255,-0.317055,-0.017025,-0.084724,-0.156198,-0.016115,0.000921,-0.002906,0.000636,-0.044760,-0.270360,0.020159,-0.029430,-0.335890,-0.014675,-0.051817,-0.300011,-0.026773,-0.059000,-0.266128,-0.018888,-0.113650,-0.325452,0.046928,-0.105863,-0.291193,0.058053,-0.088014,-0.237447,0.047360
-0.040858,-0.285079,0.017563,-0.012370,-0.332026,0.050726,-0.048180,-0.174210,0.022959,-0.000578,0.001151,-0.002558,-0.071932,-0.323521,-0.019293,-0.091082,-0.157480,-0.017907,0.000466,-0.002937,0.001270,-0.043629,-0.275205,0.018643,-0.026604,-0.338691,-0.014731,-0.047713,-0.304115,-0.026324,-0.058163,-0.269897,-0.016958,-0.112271,-0.328368,0.043912,-0.102446,-0.297110,0.053914,-0.084626,-0.250402,0.044012
-0.040939,-0.292610,0.015765,-0.020485,-0.339944,0.050963,-0.041033,-0.176552,0.020501,-0.000383,0.000485,-0.004807,-0.068157,-0.333081,-0.022682,-0.100094,-0.159314,-0.020517,-0.000026,-0.002957,0.002188,-0.042328,-0.282269,0.016537,-0.023541,-0.342534,-0.014711,-0.042584,-0.309957,-0.025560,-0.057669,-0.274453,-0.013963,-0.109682,-0.332538,0.039754,-0.098283,-0.304786,0.048510,-0.080481,-0.269550,0.039819
-0.041251,-0.302096,0.013700,-0.030733,-0.350277,0.051745,-0.032159,-0.179494,0.017930,-0.000160,-0.000130,-0.007197,-0.062678,-0.345524,-0.027154,-0.111093,-0.161678,-0.023791,-0.000448,-0.002946,0.003424,-0.041266,-0.291113,0.014151,-0.021392,-0.347092,-0.014526,-0.037638,-0.317005,-0.024480,-0.058070,-0.279107,-0.010139,-0.106012,-0.337720,0.034987,-0.094485,-0.313117,0.042737,-0.076493,-0.293807,0.035596
-0.041599,-0.312633,0.011767,-0.040997,-0.362406,0.053396,-0.021497,-0.182865,0.016058,0.000006,-0.000607,-0.009038,-0.055421,-0.360014,-0.032391,-0.122765,-0.164462,-0.027278,-0.000713,-0.002838,0.005105,-0.040800,-0.300815,0.011990,-0.021452,-0.351911,-0.014154,-0.034469,-0.324246,-0.023259,-0.059633,-0.283399,-0.006294,-0.101988,-0.343473,0.030437,-0.092275,-0.320820,0.037741,-0.073576,-0.320235,0.032244
-0.041468,-0.323251,0.010346,-0.048652,-0.375277,0.055872,-0.008698,-0.186397,0.015438,0.000093,-0.000889,-0.009888,-0.046460,-0.375240,-0.037693,-0.133452,-0.167443,-0.030154,-0.000800,-0.002482,0.007601,-0.040878,-0.310482,0.010519,-0.024726,-0.356617,-0.013680,-0.034412,-0.330563,-0.022235,-0.062050,-0.287365,-0.003638,-0.098448,-0.349386,0.026798,-0.092103,-0.327116,0.034316,-0.072015,-0.344810,0.030227
-0.040204,-0.333416,0.009713,-0.052047,-0.387554,0.058575,0.006389,-0.189702,0.015944,0.000183,-0.000928,-0.009863,-0.035906,-0.389703,-0.041869,-0.141361,-0.170325,-0.031163,-0.000785,-0.001675,0.011604,-0.040909,-0.319831,0.010025,-0.031756,-0.361031,-0.013155,-0.038103,-0.335170,-0.021655,-0.064529,-0.291327,-0.003223,-0.095614,-0.355259,0.024325,-0.093088,-0.332093,0.032534,-0.071244,-0.363824,0.029376
-0.037375,-0.343304,0.010141,-0.051487,-0.397968,0.060589,0.023245,-0.192346,0.016849,0.000394,-0.000737,-0.009524,-0.023837,-0.402124,-0.043312,-0.144503,-0.172937,-0.028729,-0.000841,-0.000265,0.017985,-0.040067,-0.329426,0.010708,-0.042722,-0.365154,-0.012298,-0.045522,-0.337843,-0.021305,-0.066264,-0.295418,-0.005267,-0.092860,-0.361125,0.022876,-0.093290,-0.336580,0.031881,-0.070222,-0.375260,0.029156
-0.033085,-0.353594,0.012027,-0.048907,-0.405652,0.061170,0.040685,-0.193969,0.017323,0.000750,-0.000457,-0.009442,-0.010300,-0.411736,-0.040353,-0.140476,-0.175484,-0.021351,-0.001154,0.001673,0.027359,-0.037868,-0.340327,0.012867,-0.057564,-0.369048,-0.010346,-0.056353,-0.338804,-0.020356,-0.066902,-0.299248,-0.008885,-0.089167,-0.367108,0.022255,-0.090655,-0.341636,0.031751,-0.068105,-0.379369,0.029186
-0.027994,-0.364820,0.015785,-0.046510,-0.410193,0.060038,0.057247,-0.194347,0.016908,0.001141,-0.000320,-0.009826,0.004639,-0.418238,-0.031897,-0.126470,-0.178595,-0.008263,-0.001791,0.003612,0.039486,-0.034582,-0.353269,0.016859,-0.075913,-0.372653,-0.006372,-0.070222,-0.338376,-0.017725,-0.066660,-0.301887,-0.012523,-0.083818,-0.373193,0.022497,-0.084026,-0.347936,0.031897,-0.064712,-0.378092,0.029558
