pelvis_x,pelvis_y,pelvis_z,left_hip_roll_link_x,left_hip_roll_link_y,left_hip_roll_link_z,left_knee_link_x,left_knee_link_y,left_knee_link_z,left_ankle_roll_link_x,left_ankle_roll_link_y,left_ankle_roll_link_z,right_hip_roll_link_x,right_hip_roll_link_y,right_hip_roll_link_z,right_knee_link_x,right_knee_link_y,right_knee_link_z,right_ankle_roll_link_x,right_ankle_roll_link_y,right_ankle_roll_link_z,torso_link_x,torso_link_y,torso_link_z,left_shoulder_roll_link_x,left_shoulder_roll_link_y,left_shoulder_roll_link_z,left_elbow_link_x,left_elbow_link_y,left_elbow_link_z,left_wrist_yaw_link_x,left_wrist_yaw_link_y,left_wrist_yaw_link_z,right_shoulder_roll_link_x,right_shoulder_roll_link_y,right_shoulder_roll_link_z,right_elbow_link_x,right_elbow_link_y,right_elbow_link_z,right_wrist_yaw_link_x,right_wrist_yaw_link_y,right_wrist_yaw_link_z
0.027432,-0.008301,0.773951,0.001988,-0.117027,0.636786,-0.052661,-0.186617,0.343713,-0.009964,-0.250054,0.035712,0.027139,0.114422,0.647032,0.052543,0.114184,0.341939,0.113376,0.108225,0.030653,0.037481,-0.011304,0.827066,-0.022306,-0.146887,1.057352,-0.026378,-0.209660,0.884259,-0.094821,-0.186034,0.714819,0.017306,0.131319,1.060271,0.005056,0.190221,0.886370,-0.047910,0.171743,0.710747
0.026606,-0.013792,0.774354,0.001937,-0.123448,0.637800,-0.053852,-0.190030,0.344243,-0.009978,-0.250001,0.035724,0.025611,0.108216,0.646739,0.050986,0.111089,0.341654,0.113408,0.108169,0.030651,0.036558,-0.016611,0.827501,-0.022970,-0.153542,1.057061,-0.027512,-0.215573,0.883716,-0.096030,-0.191259,0.714406,0.015020,0.124872,1.061274,0.002858,0.184536,0.887626,-0.049752,0.167257,0.711774
0.025797,-0.019404,0.774730,0.001827,-0.130002,0.638821,-0.054878,-0.193497,0.344756,-0.010018,-0.249990,0.035734,0.024126,0.101849,0.646390,0.049253,0.107952,0.341330,0.113394,0.108104,0.030678,0.035672,-0.022028,0.827903,-0.023515,-0.160278,1.056765,-0.028515,-0.221587,0.883179,-0.097184,-0.196639,0.714024,0.012710,0.118349,1.062201,0.000761,0.178659,0.888760,-0.051488,0.162482,0.712696
0.025023,-0.025259,0.775050,0.001591,-0.136833,0.639850,-0.055524,-0.197059,0.345177,-0.010004,-0.250013,0.035636,0.022719,0.095171,0.645931,0.047219,0.104743,0.340908,0.113398,0.108042,0.030718,0.034861,-0.027662,0.828239,-0.023845,-0.167178,1.056464,-0.029277,-0.227795,0.882651,-0.098226,-0.202310,0.713694,0.010345,0.111684,1.062985,-0.001124,0.172413,0.889654,-0.052985,0.157151,0.713394
0.024204,-0.031434,0.775261,0.000743,-0.143912,0.640813,-0.056116,-0.200668,0.345401,-0.010019,-0.250025,0.035364,0.021481,0.088156,0.645358,0.044822,0.101504,0.340386,0.113359,0.107993,0.030779,0.034113,-0.033627,0.828446,-0.024120,-0.174191,1.056153,-0.029824,-0.234265,0.882162,-0.099318,-0.207992,0.713550,0.008334,0.104856,1.063559,-0.002809,0.165951,0.890334,-0.054351,0.150942,0.713959
0.023362,-0.037769,0.775419,-0.000411,-0.151114,0.641746,-0.056637,-0.204299,0.345548,-0.009959,-0.250021,0.035053,0.020324,0.080971,0.644731,0.042270,0.098250,0.339854,0.113351,0.107934,0.030927,0.033397,-0.039756,0.828586,-0.024356,-0.181265,1.055835,-0.030264,-0.240865,0.881689,-0.100442,-0.213675,0.713505,0.006518,0.097938,1.064032,-0.004384,0.159379,0.890913,-0.055651,0.144295,0.714465
0.022436,-0.044501,0.775601,-0.001863,-0.158961,0.642968,-0.056795,-0.208124,0.345828,-0.010007,-0.250071,0.034826,0.019524,0.073068,0.643822,0.039251,0.094802,0.339082,0.113299,0.107852,0.031004,0.032530,-0.046199,0.828764,-0.024796,-0.188497,1.055632,-0.030819,-0.247704,0.881358,-0.101792,-0.219441,0.713682,0.004618,0.090843,1.064469,-0.006248,0.152678,0.891490,-0.057105,0.136502,0.715020
0.021546,-0.051279,0.775775,-0.003134,-0.166923,0.644235,-0.056628,-0.211986,0.346179,-0.009984,-0.250116,0.034669,0.018831,0.065035,0.642844,0.036206,0.091333,0.338324,0.113308,0.107786,0.031186,0.031637,-0.052671,0.828941,-0.025342,-0.195764,1.055401,-0.031488,-0.254530,0.880983,-0.103180,-0.225261,0.713784,0.002715,0.083692,1.064921,-0.008193,0.145990,0.892113,-0.058582,0.128673,0.715616
0.020728,-0.058150,0.775930,-0.004040,-0.175123,0.645583,-0.055909,-0.215912,0.346619,-0.010015,-0.250138,0.034544,0.018361,0.056751,0.641719,0.033050,0.087824,0.337510,0.113320,0.107777,0.031421,0.030690,-0.059199,0.829122,-0.026137,-0.203092,1.055117,-0.032391,-0.261328,0.880527,-0.104625,-0.231191,0.713713,0.000754,0.076449,1.065392,-0.010325,0.139336,0.892812,-0.060111,0.120768,0.716271
0.020134,-0.065261,0.776096,-0.004840,-0.183420,0.646860,-0.054822,-0.219847,0.347003,-0.010018,-0.250112,0.034357,0.018319,0.048314,0.640697,0.029891,0.084317,0.336901,0.113273,0.107812,0.031915,0.029933,-0.066007,0.829315,-0.027376,-0.210524,1.054794,-0.033569,-0.268133,0.879994,-0.105970,-0.237297,0.713381,-0.001075,0.069041,1.065802,-0.012301,0.132523,0.893452,-0.061493,0.113087,0.716838
0.019652,-0.072490,0.776268,-0.005594,-0.191762,0.648105,-0.053490,-0.223798,0.347397,-0.009880,-0.250082,0.034216,0.018487,0.039795,0.639739,0.026812,0.080834,0.336478,0.113350,0.107889,0.032682,0.029272,-0.072954,0.829512,-0.028825,-0.218006,1.054450,-0.034875,-0.274942,0.879424,-0.107260,-0.243492,0.712920,-0.002834,0.061553,1.066174,-0.014200,0.125630,0.894056,-0.062800,0.105517,0.717354
0.019349,-0.080306,0.776760,-0.006492,-0.200147,0.649243,-0.051698,-0.227695,0.347662,-0.009925,-0.250076,0.033918,0.019056,0.031186,0.639537,0.024494,0.077209,0.336929,0.113157,0.108165,0.034093,0.028838,-0.080628,0.830022,-0.031103,-0.225615,1.054521,-0.036826,-0.281699,0.879208,-0.108551,-0.249698,0.712525,-0.004237,0.053841,1.066590,-0.015448,0.118369,0.894632,-0.063872,0.098169,0.717891
