pelvis_qw,pelvis_qx,pelvis_qy,pelvis_qz,left_hip_roll_link_qw,left_hip_roll_link_qx,left_hip_roll_link_qy,left_hip_roll_link_qz,left_knee_link_qw,left_knee_link_qx,left_knee_link_qy,left_knee_link_qz,left_ankle_roll_link_qw,left_ankle_roll_link_qx,left_ankle_roll_link_qy,left_ankle_roll_link_qz,right_hip_roll_link_qw,right_hip_roll_link_qx,right_hip_roll_link_qy,right_hip_roll_link_qz,right_knee_link_qw,right_knee_link_qx,right_knee_link_qy,right_knee_link_qz,right_ankle_roll_link_qw,right_ankle_roll_link_qx,right_ankle_roll_link_qy,right_ankle_roll_link_qz,torso_link_qw,torso_link_qx,torso_link_qy,torso_link_qz,left_shoulder_roll_link_qw,left_shoulder_roll_link_qx,left_shoulder_roll_link_qy,left_shoulder_roll_link_qz,left_elbow_link_qw,left_elbow_link_qx,left_elbow_link_qy,left_elbow_link_qz,left_wrist_yaw_link_qw,left_wrist_yaw_link_qx,left_wrist_yaw_link_qy,left_wrist_yaw_link_qz,right_shoulder_roll_link_qw,right_shoulder_roll_link_qx,right_shoulder_roll_link_qy,right_shoulder_roll_link_qz,right_elbow_link_qw,right_elbow_link_qx,right_elbow_link_qy,right_elbow_link_qz,right_wrist_yaw_link_qw,right_wrist_yaw_link_qx,right_wrist_yaw_link_qy,right_wrist_yaw_link_qz
0.035791,0.057367,-0.024901,0.997401,0.006259,0.176632,0.118691,0.977074,-0.050791,-0.067001,0.103921,0.991025,-0.040155,0.018635,-0.021761,0.998783,0.035561,0.045333,-0.012538,0.998260,0.082123,-0.102302,0.001762,0.991356,0.081901,0.000435,0.020598,0.996428,0.075188,-0.073479,0.000237,0.994458,0.089598,-0.037677,0.185831,0.977763,0.306141,-0.445734,0.311437,0.781413,0.222839,-0.513316,0.293526,0.775043,0.049571,0.022802,-0.181467,0.981882,-0.358245,-0.465195,-0.373525,0.718146,-0.315876,-0.519072,-0.328241,0.723218
0.032524,0.056506,-0.021924,0.997631,0.004458,0.178638,0.113513,0.977335,-0.051011,-0.069207,0.098490,0.991417,-0.040737,0.018241,-0.022027,0.998761,0.032603,0.045505,-0.017977,0.998270,0.082692,-0.104530,-0.003287,0.991072,0.081950,0.000336,0.020282,0.996430,0.072272,-0.074374,-0.002218,0.994606,0.087180,-0.035568,0.184032,0.978400,0.307689,-0.444493,0.310968,0.781698,0.223769,-0.512528,0.292736,0.775595,0.046344,0.021981,-0.183705,0.981642,-0.356944,-0.467232,-0.375522,0.716428,-0.314312,-0.520749,-0.330297,0.721757
0.029588,0.055836,-0.018837,0.997824,0.003164,0.180202,0.108334,0.977641,-0.051090,-0.071121,0.093023,0.991806,-0.041167,0.018090,-0.022818,0.998728,0.030000,0.046021,-0.023555,0.998212,0.083316,-0.106969,-0.008417,0.990730,0.082026,0.000251,0.020007,0.996429,0.069068,-0.075281,-0.004574,0.994757,0.084465,-0.033462,0.182260,0.979044,0.308915,-0.443218,0.310371,0.782176,0.224999,-0.511696,0.292200,0.775991,0.042901,0.020680,-0.185601,0.981470,-0.355401,-0.469351,-0.376754,0.715161,-0.312585,-0.522699,-0.331868,0.720375
0.027315,0.055548,-0.015530,0.997961,0.002803,0.180821,0.103119,0.978091,-0.051016,-0.072532,0.087428,0.992216,-0.041421,0.018369,-0.024709,0.998667,0.028108,0.047163,-0.029420,0.998058,0.084038,-0.109929,-0.013722,0.990285,0.082159,0.000096,0.019801,0.996422,0.065309,-0.076237,-0.006730,0.994926,0.081207,-0.031377,0.180531,0.979709,0.309553,-0.441890,0.309497,0.783021,0.226875,-0.510787,0.292162,0.776058,0.039044,0.018389,-0.186819,0.981446,-0.353372,-0.471687,-0.376445,0.714792,-0.310525,-0.525250,-0.332454,0.719139
0.027047,0.056272,-0.012233,0.997974,0.004573,0.180124,0.098200,0.978719,-0.051001,-0.073829,0.081741,0.992606,-0.041690,0.019069,-0.026666,0.998593,0.028288,0.049249,-0.035485,0.997755,0.084835,-0.113410,-0.019154,0.989735,0.082328,-0.000211,0.019657,0.996411,0.062135,-0.076937,-0.008506,0.995062,0.078392,-0.029912,0.179122,0.980242,0.310039,-0.439919,0.308105,0.784486,0.227612,-0.509123,0.290494,0.777560,0.035790,0.016810,-0.187940,0.981384,-0.353415,-0.472452,-0.376615,0.714177,-0.309884,-0.526854,-0.331966,0.718467
0.027781,0.057502,-0.008940,0.997919,0.007370,0.178730,0.093427,0.979425,-0.051069,-0.075137,0.076008,0.992960,-0.042046,0.019918,-0.028651,0.998506,0.029544,0.051777,-0.041652,0.997352,0.085757,-0.117193,-0.024648,0.989093,0.082591,-0.000637,0.019533,0.996392,0.059268,-0.077483,-0.010106,0.995179,0.075806,-0.028727,0.177860,0.980711,0.310452,-0.437592,0.306454,0.786269,0.227786,-0.507049,0.288004,0.779787,0.032854,0.015612,-0.189026,0.981298,-0.354470,-0.472423,-0.377035,0.713451,-0.309928,-0.527978,-0.330953,0.718091
0.030408,0.058099,-0.004494,0.997837,0.012499,0.176086,0.088386,0.980319,-0.050409,-0.075711,0.069970,0.993394,-0.041865,0.020475,-0.028860,0.998496,0.032897,0.055807,-0.048329,0.996728,0.086891,-0.121654,-0.030509,0.988291,0.082986,-0.001162,0.019730,0.996355,0.056664,-0.078019,-0.011418,0.995275,0.073450,-0.027862,0.176798,0.981107,0.311035,-0.434875,0.304618,0.788257,0.228132,-0.504054,0.286095,0.782327,0.030097,0.015395,-0.190430,0.981119,-0.359717,-0.470217,-0.379096,0.711187,-0.313763,-0.525967,-0.330916,0.717918
0.032950,0.058081,0.000225,0.997768,0.017573,0.173287,0.083194,0.981194,-0.049740,-0.075848,0.063850,0.993829,-0.041753,0.020957,-0.029101,0.998484,0.036334,0.060117,-0.055125,0.996005,0.088130,-0.126242,-0.036472,0.987404,0.083452,-0.001828,0.019990,0.996310,0.054273,-0.078608,-0.012788,0.995345,0.071303,-0.027013,0.175595,0.981505,0.311555,-0.432400,0.302800,0.790111,0.228245,-0.501326,0.284156,0.784749,0.027485,0.015502,-0.192057,0.980876,-0.365606,-0.467684,-0.381643,0.708486,-0.318885,-0.523340,-0.332413,0.716889
0.035322,0.056835,0.005492,0.997743,0.022617,0.170263,0.077681,0.982072,-0.048953,-0.074976,0.057541,0.994319,-0.041626,0.021417,-0.029448,0.998470,0.039858,0.065051,-0.062158,0.995146,0.089396,-0.130994,-0.042639,0.986423,0.083912,-0.002690,0.020400,0.996261,0.052279,-0.079385,-0.014249,0.995370,0.069568,-0.026279,0.174124,0.981912,0.311959,-0.430499,0.301000,0.791676,0.227906,-0.499221,0.282151,0.786910,0.025125,0.016184,-0.194097,0.980527,-0.372837,-0.464533,-0.385141,0.704889,-0.326627,-0.519462,-0.336948,0.714101
0.038529,0.055265,0.010364,0.997674,0.028292,0.166840,0.072251,0.982926,-0.048539,-0.073510,0.051149,0.994798,-0.041889,0.021968,-0.031000,0.998400,0.044453,0.070843,-0.069102,0.994098,0.090395,-0.135591,-0.048857,0.985422,0.084241,-0.004640,0.021215,0.996209,0.051374,-0.080888,-0.015552,0.995277,0.069020,-0.026231,0.172330,0.982268,0.312462,-0.429570,0.299111,0.792698,0.227837,-0.498312,0.280627,0.788050,0.023607,0.016889,-0.196087,0.980157,-0.378802,-0.462100,-0.388345,0.701542,-0.333596,-0.516407,-0.341634,0.710861
0.042152,0.053532,0.015039,0.997563,0.034239,0.163156,0.066865,0.983736,-0.048415,-0.071849,0.044746,0.995234,-0.042447,0.022464,-0.033115,0.998297,0.049702,0.076990,-0.076032,0.992885,0.091481,-0.140220,-0.055152,0.984341,0.084754,-0.007232,0.022152,0.996129,0.051003,-0.082743,-0.016771,0.995124,0.069050,-0.026518,0.170376,0.982599,0.312999,-0.429124,0.297175,0.793456,0.227888,-0.498000,0.279344,0.788689,0.022498,0.017621,-0.198043,0.979777,-0.384140,-0.460016,-0.391395,0.698306,-0.340179,-0.513740,-0.346382,0.707368
0.046935,0.052281,0.017812,0.997370,0.040784,0.158552,0.061352,0.984598,-0.048132,-0.069140,0.038411,0.995705,-0.042821,0.023406,-0.035219,0.998187,0.055996,0.082755,-0.082295,0.991586,0.091010,-0.142975,-0.061657,0.983602,0.084320,-0.012569,0.023737,0.996077,0.052742,-0.085614,-0.017103,0.994784,0.071333,-0.027657,0.167901,0.982831,0.314461,-0.430031,0.295484,0.793017,0.229508,-0.499421,0.277469,0.787982,0.023300,0.017537,-0.199372,0.979490,-0.385325,-0.459604,-0.392074,0.697543,-0.342349,-0.513751,-0.347557,0.705735
0.052233,0.050782,0.019709,0.997148,0.047525,0.153708,0.055901,0.985388,-0.047973,-0.066350,0.032219,0.996122,-0.043305,0.024208,-0.037516,0.998064,0.062697,0.087582,-0.088295,0.990254,0.090652,-0.144382,-0.068213,0.982997,0.084306,-0.018366,0.025151,0.995953,0.055222,-0.088666,-0.017187,0.994381,0.074365,-0.028962,0.165232,0.983021,0.316587,-0.431279,0.294018,0.792038,0.231640,-0.501231,0.275979,0.786732,0.024796,0.017322,-0.200506,0.979225,-0.385289,-0.459705,-0.392175,0.697440,-0.342658,-0.514157,-0.347508,0.705313
0.058564,0.048789,0.019855,0.996893,0.054770,0.148500,0.050556,0.986099,-0.047822,-0.063206,0.026251,0.996508,-0.043768,0.024911,-0.040277,0.997919,0.070000,0.090675,-0.093716,0.988987,0.090072,-0.142868,-0.074730,0.982798,0.084603,-0.024871,0.026424,0.995754,0.059194,-0.092094,-0.016784,0.993848,0.078912,-0.030612,0.162169,0.983126,0.320055,-0.433202,0.293007,0.789967,0.234808,-0.503815,0.275270,0.784386,0.027695,0.016830,-0.201265,0.979001,-0.382791,-0.460840,-0.391130,0.698652,-0.339229,-0.515355,-0.345019,0.707316
0.065435,0.045653,0.019141,0.996628,0.062263,0.143884,0.045321,0.986594,-0.047490,-0.060324,0.020473,0.996838,-0.044062,0.025247,-0.041760,0.997836,0.077432,0.091655,-0.098676,0.987860,0.089961,-0.138144,-0.080992,0.982987,0.085655,-0.030512,0.026747,0.995498,0.064269,-0.095658,-0.016200,0.993205,0.084546,-0.032420,0.159007,0.983116,0.325178,-0.435308,0.292660,0.786840,0.239708,-0.506663,0.275689,0.780915,0.031644,0.016157,-0.201691,0.978805,-0.378696,-0.462431,-0.389097,0.700964,-0.334533,-0.517044,-0.341842,0.709857
