joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
-0.059711,0.199878,-0.079326,0.300537,0.023871,0.025828,0.060944,-0.092099,0.266470,0.324897,0.122829,-0.041038,-0.218547,-0.161753,-0.202060,0.378928,-0.354598,-0.259568,0.054442,-0.667728,1.145805,0.821834,0.964210,-0.146119,0.146627,0.147082,0.073007,0.079390,0.012589
-0.066501,0.197183,-0.078812,0.283463,0.007179,0.015906,0.059565,-0.097575,0.265437,0.332700,0.128274,-0.048008,-0.217664,-0.165613,-0.205554,0.380594,-0.354915,-0.249410,0.064292,-0.675407,1.139756,0.823420,0.967032,-0.147728,0.146632,0.147515,0.072547,0.080248,0.012294
-0.071815,0.194268,-0.077117,0.266140,-0.010028,0.006059,0.059188,-0.102345,0.264855,0.339132,0.134905,-0.055125,-0.215715,-0.169375,-0.209484,0.382073,-0.354834,-0.240212,0.074433,-0.682877,1.131764,0.824794,0.969421,-0.147862,0.146030,0.148221,0.072863,0.080229,0.012113
-0.074178,0.190914,-0.073060,0.248320,-0.028269,-0.003640,0.060817,-0.105707,0.265178,0.342824,0.143907,-0.062538,-0.211632,-0.172945,-0.214282,0.383174,-0.353955,-0.232933,0.085157,-0.689931,1.119885,0.825745,0.970943,-0.145046,0.144213,0.149473,0.074729,0.078456,0.012158
-0.071309,0.187669,-0.066262,0.231439,-0.046941,-0.012731,0.067227,-0.104836,0.267139,0.344058,0.155791,-0.068001,-0.208704,-0.177128,-0.219794,0.384021,-0.353444,-0.225653,0.096337,-0.694825,1.113556,0.823677,0.969918,-0.145265,0.146359,0.149537,0.076014,0.078169,0.012442
-0.065824,0.184479,-0.058092,0.215028,-0.065830,-0.021516,0.076028,-0.101848,0.269919,0.344064,0.169115,-0.072491,-0.206354,-0.181617,-0.225663,0.384739,-0.353116,-0.218373,0.107743,-0.698640,1.110002,0.820098,0.967619,-0.147001,0.150488,0.149006,0.077009,0.078626,0.012845
-0.058762,0.176703,-0.046668,0.196107,-0.087946,-0.031783,0.088591,-0.094603,0.271369,0.340222,0.186679,-0.076237,-0.206090,-0.184347,-0.232578,0.385239,-0.353889,-0.206715,0.120672,-0.701919,1.116780,0.814822,0.961960,-0.147284,0.156800,0.147985,0.074300,0.080080,0.011599
-0.052822,0.166971,-0.035815,0.176321,-0.110770,-0.042706,0.101101,-0.087092,0.271804,0.335051,0.205000,-0.079989,-0.206669,-0.186045,-0.239439,0.385576,-0.354942,-0.194919,0.133958,-0.704791,1.125775,0.810319,0.955954,-0.147852,0.160471,0.147027,0.071753,0.081750,0.010474
-0.049125,0.153330,-0.026106,0.154807,-0.135010,-0.054944,0.113502,-0.079051,0.270209,0.327222,0.224834,-0.083750,-0.208936,-0.185681,-0.246191,0.385587,-0.356556,-0.182847,0.147962,-0.706846,1.139203,0.807362,0.949251,-0.148993,0.158860,0.146195,0.069532,0.083854,0.009590
-0.045321,0.137053,-0.017007,0.134435,-0.158135,-0.066475,0.127963,-0.067964,0.269558,0.317416,0.245789,-0.087214,-0.213089,-0.184146,-0.250421,0.384738,-0.358176,-0.173052,0.162613,-0.706869,1.151720,0.806042,0.943977,-0.149102,0.155624,0.146363,0.068271,0.085631,0.009591
