joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
-0.339490,-0.853710,-0.068962,0.390142,-0.192958,0.507897,-0.134787,-0.834588,-0.273761,0.272230,-0.174740,0.492474,0.025690,-0.496097,-0.051650,-0.348454,0.083341,-0.383930,0.079286,-0.080439,0.021647,0.042918,0.044117,-0.015858,-0.302417,0.141098,0.000284,-0.022981,-0.014737
-0.265705,-0.866143,-0.018836,0.321622,-0.188140,0.459912,-0.145755,-0.860396,-0.238533,0.331533,-0.196468,0.507054,0.084744,-0.492382,-0.029063,-0.355852,0.073920,-0.373514,0.068710,-0.006688,0.035302,-0.000944,0.097462,0.004068,-0.399603,0.119436,-0.030103,0.015783,-0.009066
-0.118135,-0.891011,0.081416,0.184582,-0.178504,0.363944,-0.167692,-0.912014,-0.168076,0.450138,-0.239924,0.536213,0.202851,-0.484953,0.016111,-0.370648,0.055077,-0.352684,0.047559,0.140814,0.062612,-0.088669,0.204152,0.043921,-0.593973,0.076110,-0.090877,0.093310,0.002274
0.143446,-0.844040,0.320508,0.061711,-0.209134,0.363986,-0.162232,-0.933632,0.043553,0.594187,-0.275599,0.558967,0.339939,-0.454508,0.098051,-0.273195,0.042306,-0.244724,-0.103442,-0.010954,0.003196,-0.014334,0.146389,0.025566,-0.316447,-0.051260,0.107326,0.064265,0.014186
0.274236,-0.820554,0.440054,0.000276,-0.224449,0.364007,-0.159502,-0.944442,0.149367,0.666211,-0.293436,0.570344,0.408483,-0.439286,0.139021,-0.224468,0.035921,-0.190744,-0.178943,-0.086838,-0.026513,0.022834,0.117508,0.016388,-0.177684,-0.114945,0.206427,0.049743,0.020142
0.353104,-0.946058,0.628163,-0.192097,-0.136501,0.582899,-0.388812,-1.105800,0.362298,0.878204,-0.345737,0.646405,0.571206,-0.513324,0.072491,-0.187329,0.024979,-0.163965,-0.263804,-0.014123,-0.051053,0.072689,0.013229,-0.038642,0.338895,-0.282910,0.315608,-0.135463,-0.062292
0.297014,-0.989277,0.625469,-0.258553,-0.084919,0.589798,-0.486569,-1.141196,0.375537,0.916032,-0.343038,0.664328,0.542629,-0.546171,0.021746,-0.187569,0.016848,-0.143570,-0.225148,-0.028432,-0.047911,0.083522,-0.028965,-0.052651,0.449736,-0.300328,0.183557,-0.127325,-0.056265
0.184835,-1.075716,0.620081,-0.391466,0.018244,0.603595,-0.682083,-1.211986,0.402015,0.991689,-0.337642,0.700172,0.485476,-0.611866,-0.079743,-0.188049,0.000587,-0.102779,-0.147836,-0.057050,-0.041627,0.105187,-0.113351,-0.080669,0.671418,-0.335162,-0.080546,-0.111050,-0.044212
0.190189,-1.018569,0.723043,-0.490298,0.076749,0.489777,-0.813817,-1.156255,0.554373,1.047772,-0.211494,0.732559,0.454925,-0.576580,-0.032528,-0.173203,-0.042462,-0.001155,-0.065984,-0.005411,0.008406,0.088853,-0.207637,-0.081009,0.625846,-0.263685,-0.161788,-0.063049,0.000066
0.192866,-0.989996,0.774524,-0.539714,0.106002,0.432868,-0.879684,-1.128389,0.630552,1.075813,-0.148420,0.748752,0.439650,-0.558937,-0.008921,-0.165780,-0.063987,0.049657,-0.025057,0.020409,0.033423,0.080686,-0.254779,-0.081179,0.603061,-0.227947,-0.202409,-0.039048,0.022205
0.335645,-0.806511,0.818956,-0.744554,0.164282,0.431085,-0.801937,-0.865822,0.888553,0.814792,0.311423,0.776603,0.326328,-0.324185,0.147007,-0.150410,-0.192624,0.152698,0.113477,-0.032593,0.023588,-0.034385,-0.311662,-0.085636,0.232440,-0.148453,-0.099842,0.050865,0.099986
0.331464,-0.708779,0.838174,-0.783331,0.187958,0.397571,-0.741146,-0.745978,0.910969,0.571105,0.494878,0.752510,0.294306,-0.224905,0.142447,-0.142087,-0.232124,0.144915,0.159947,-0.035875,0.033395,-0.022868,-0.330243,-0.082068,0.145842,-0.111524,-0.008269,0.020708,0.055602
0.323100,-0.513315,0.876611,-0.860885,0.235311,0.330545,-0.619565,-0.506289,0.955799,0.083731,0.861787,0.704324,0.230264,-0.026345,0.133326,-0.125440,-0.311124,0.129349,0.252888,-0.042438,0.053010,0.000166,-0.367405,-0.074934,-0.027355,-0.037667,0.174876,-0.039605,-0.033166
0.149206,-0.401508,0.866965,-0.782334,0.238603,0.441682,-0.522896,-0.368314,0.865032,-0.456683,1.099195,0.571579,0.160736,0.062430,0.031774,-0.108535,-0.331966,0.036015,0.290962,-0.015409,0.072207,-0.005962,-0.383316,-0.044504,-0.144745,-0.019105,0.114734,-0.002071,-0.008049
0.062259,-0.345605,0.862142,-0.743058,0.240249,0.497251,-0.474562,-0.299326,0.819648,-0.726890,1.217899,0.505207,0.125972,0.106818,-0.019002,-0.100082,-0.342388,-0.010652,0.309999,-0.001895,0.081806,-0.009026,-0.391272,-0.029290,-0.203440,-0.009824,0.084663,0.016695,0.004510
-0.070914,-0.314348,0.758140,-0.629972,0.217328,0.633536,-0.360356,-0.309536,0.180832,-0.955794,1.074244,-0.173740,0.043004,0.121550,-0.125398,-0.058379,-0.279903,-0.281219,0.122232,-0.098265,0.088071,-0.066706,-0.323752,0.036280,-0.308247,-0.020996,0.000115,-0.000363,-0.007667
-0.105361,-0.233158,0.640237,-0.431466,0.099834,0.616085,-0.251638,-0.345767,-0.762496,-0.679203,0.764457,-0.559015,-0.022571,0.179998,-0.102815,-0.073043,-0.229714,-0.441862,0.080886,-0.091104,0.024553,-0.064267,-0.274435,0.057456,-0.300045,-0.021909,0.070918,-0.011453,-0.047263
-0.174254,-0.070780,0.404432,-0.034456,-0.135153,0.581183,-0.034201,-0.418229,-2.649152,-0.126019,0.144883,-1.329564,-0.153721,0.296893,-0.057649,-0.102371,-0.129335,-0.763147,-0.001806,-0.076783,-0.102482,-0.059389,-0.175801,0.099809,-0.283642,-0.023736,0.212523,-0.033633,-0.126454
-0.172702,-0.201596,0.243123,0.078716,-0.148820,0.501388,0.102786,-0.693611,-3.623743,1.017440,-1.699746,-2.032599,-0.193409,0.174348,-0.030517,-0.177449,-0.048634,-0.910078,0.013928,-0.026953,-0.068175,-0.059532,-0.015630,0.136589,-0.316455,-0.051095,0.055301,-0.057408,-0.121420
-0.171927,-0.267004,0.162469,0.135301,-0.155654,0.461490,0.171279,-0.831302,-4.111039,1.589170,-2.622060,-2.384116,-0.213253,0.113076,-0.016952,-0.214988,-0.008284,-0.983543,0.021796,-0.002038,-0.051021,-0.059603,0.064456,0.154979,-0.332862,-0.064775,-0.023309,-0.069296,-0.118904
0.084633,-0.360366,0.153382,-0.099697,-0.076262,0.316589,0.712450,-0.691550,-3.891499,2.376311,-1.738682,-1.464069,-0.089787,0.085869,0.042462,-0.146709,-0.001722,-0.586694,0.051309,0.279455,0.040673,-0.199310,0.114237,0.158466,-0.057693,-0.030418,0.075265,-0.066782,-0.088559
0.161902,-0.368463,0.256770,-0.199702,-0.070620,0.266409,0.629311,-0.549982,-3.243817,2.710408,-1.488342,-1.435720,-0.016330,0.084026,0.037492,-0.079576,-0.030556,-0.368674,0.036482,0.228059,0.058815,-0.139965,0.119138,0.156045,0.017446,-0.027411,0.018334,-0.033131,-0.031409
0.316440,-0.384656,0.463546,-0.399711,-0.059334,0.166048,0.463034,-0.266847,-1.948452,3.378603,-0.987661,-1.379022,0.130584,0.080340,0.027553,0.054691,-0.088223,0.067365,0.006827,0.125266,0.095099,-0.021275,0.128939,0.151204,0.167724,-0.021397,-0.095528,0.034172,0.082891
0.388619,-0.405048,0.487351,-0.470945,-0.044919,0.056363,0.316544,0.297388,-0.550624,3.346087,-0.816781,-0.979200,0.185224,0.053688,-0.000505,0.149832,-0.122415,0.332727,-0.005685,-0.104064,0.018808,0.085796,0.111010,0.132879,0.386134,-0.005572,-0.069333,0.009746,0.103744
0.424708,-0.415244,0.499253,-0.506562,-0.037711,0.001521,0.243298,0.579506,0.148290,3.329829,-0.731341,-0.779289,0.212544,0.040363,-0.014534,0.197402,-0.139511,0.465408,-0.011941,-0.218730,-0.019337,0.139332,0.102046,0.123716,0.495340,0.002341,-0.056236,-0.002468,0.114171
0.291739,-0.429060,0.419530,-0.290107,-0.058456,0.194245,0.124270,1.413372,1.280310,2.733850,-0.458954,0.045518,0.153493,-0.040254,-0.055154,0.239791,-0.117868,0.518982,0.022902,-0.142069,-0.078947,0.170493,0.139102,0.116504,0.412409,-0.046180,-0.256211,0.046077,0.129649
0.242482,-0.411920,0.385146,-0.260519,-0.059002,0.194890,0.146860,1.599501,1.301963,2.407994,-0.275102,0.233678,0.118965,-0.046456,-0.076423,0.236495,-0.099733,0.478939,0.052277,-0.155441,-0.082340,0.167333,0.142103,0.120523,0.357386,-0.044310,-0.269395,0.040393,0.090385
